religion,age_group,pop_persons,pop_males,pop_females,unmarried_persons,unmarried_males,unmarried_females,married_persons,married_males,married_females,divorced_persons,divorced_males,divorced_females,widowed_persons,widowed_males,widowed_females
all,total,95472,50522,44950,53217,30934,22283,36928,18724,18204,307,122,185,5020,742,4278
all,0-1,3192,1720,1472,3192,1720,1472,0,0,0,0,0,0,0,0,0
all,1-2,2723,1385,1338,2723,1385,1338,0,0,0,0,0,0,0,0,0
all,2-3,3263,1678,1585,3263,1678,1585,0,0,0,0,0,0,0,0,0
all,3-4,3106,1592,1514,3106,1592,1514,0,0,0,0,0,0,0,0,0
all,4-5,3011,1523,1488,3011,1523,1488,0,0,0,0,0,0,0,0,0
all,0-5,15295,7898,7397,15295,7898,7397,0,0,0,0,0,0,0,0,0
all,5-10,12407,6450,5957,12407,6450,5957,0,0,0,0,0,0,0,0,0
all,10-15,7379,3983,3396,7365,3981,3384,13,1,12,0,0,0,1,1,0
all,15-20,6754,3651,3103,5919,3555,2364,809,93,716,9,1,8,17,2,15
all,20-25,10476,5692,4784,6069,4424,1645,4297,1234,3063,35,13,22,75,21,54
all,25-30,11342,6193,5149,3570,2850,720,7563,3264,4299,49,21,28,160,58,102
all,30-35,8282,4574,3708,1179,930,249,6859,3573,3286,51,19,32,193,52,141
all,35-40,6020,3339,2681,496,347,149,5184,2901,2283,53,24,29,287,67,220
all,40-45,4562,2403,2159,292,182,110,3772,2147,1625,28,8,20,470,66,404
all,45-50,3229,1683,1546,188,102,86,2558,1527,1031,22,10,12,461,44,417
all,50-55,3027,1473,1554,138,76,62,2135,1322,813,22,9,13,732,66,666
all,55-60,1669,851,818,62,28,34,1178,786,392,11,5,6,418,32,386
all,60-65,1964,901,1063,82,40,42,1151,786,365,8,3,5,723,72,651
all,65-70,1017,514,503,49,24,25,559,419,140,6,2,4,403,69,334
all,70-75,956,428,528,35,12,23,445,346,99,2,0,2,474,70,404
all,75+,1051,456,595,50,17,33,390,316,74,5,1,4,606,122,484
all,not_recorded,42,33,9,21,18,3,15,9,6,6,6,0,0,0,0
moslems,total,52830,28181,24649,29555,17434,12121,20068,10165,9903,161,70,91,3046,512,2534
moslems,0-1,1876,994,882,1876,994,882,0,0,0,0,0,0,0,0,0
moslems,1-2,1608,810,798,1608,810,798,0,0,0,0,0,0,0,0,0
moslems,2-3,2079,1044,1035,2079,1044,1035,0,0,0,0,0,0,0,0,0
moslems,3-4,1967,1005,962,1967,1005,962,0,0,0,0,0,0,0,0,0
moslems,4-5,1848,902,946,1848,902,946,0,0,0,0,0,0,0,0,0
moslems,0-5,9378,4755,4623,9378,4755,4623,0,0,0,0,0,0,0,0,0
moslems,5-10,7568,3974,3594,7568,3974,3594,0,0,0,0,0,0,0,0,0
moslems,10-15,4442,2492,1950,4429,2490,1939,12,1,11,0,0,0,1,1,0
moslems,15-20,3645,2090,1555,3057,2007,1050,569,80,489,6,1,5,13,2,11
moslems,20-25,5210,2835,2375,2585,2086,499,2546,725,1821,18,8,10,61,16,45
moslems,25-30,5353,2971,2382,1453,1249,204,3779,1671,2108,18,10,8,103,41,62
moslems,30-35,4113,2190,1923,486,430,56,3472,1708,1764,23,11,12,132,41,91
moslems,35-40,3354,1893,1461,217,181,36,2918,1634,1284,33,18,15,186,60,126
moslems,40-45,2695,1443,1252,137,105,32,2231,1280,951,17,5,12,310,53,257
moslems,45-50,1764,947,817,72,57,15,1405,852,553,10,5,5,277,33,244
moslems,50-55,1714,844,870,47,32,15,1197,755,442,11,5,6,459,52,407
moslems,55-60,768,426,342,27,17,10,534,386,148,9,4,5,198,19,179
moslems,60-65,1107,507,600,41,22,19,624,441,183,5,1,4,437,43,394
moslems,65-70,496,262,234,15,9,6,276,219,57,4,1,3,201,33,168
moslems,70-75,562,245,317,12,6,6,243,198,45,2,0,2,305,41,264
moslems,75+,650,299,351,24,9,15,258,212,46,5,1,4,363,77,286
moslems,not_recorded,11,8,3,7,5,2,4,3,1,0,0,0,0,0,0
jews,total,23367,12286,11081,12154,6917,5237,10343,5222,5121,95,35,60,775,112,663
jews,0-1,740,399,341,740,399,341,0,0,0,0,0,0,0,0,0
jews,1-2,609,314,295,609,314,295,0,0,0,0,0,0,0,0,0
jews,2-3,638,339,299,638,339,299,0,0,0,0,0,0,0,0,0
jews,3-4,590,302,288,590,302,288,0,0,0,0,0,0,0,0,0
jews,4-5,628,330,298,628,330,298,0,0,0,0,0,0,0,0,0
jews,0-5,3205,1684,1521,3205,1684,1521,0,0,0,0,0,0,0,0,0
jews,5-10,2510,1272,1238,2510,1272,1238,0,0,0,0,0,0,0,0,0
jews,10-15,1449,753,696,1449,753,696,0,0,0,0,0,0,0,0,0
jews,15-20,1449,750,699,1386,746,640,61,4,57,1,0,1,1,0,1
jews,20-25,2823,1389,1434,1790,1090,700,1015,295,720,12,2,10,6,2,4
jews,25-30,4052,2140,1912,1293,975,318,2711,1154,1557,22,8,14,26,3,23
jews,30-35,2726,1598,1128,352,282,70,2333,1304,1029,18,5,13,23,7,16
jews,35-40,1471,837,634,81,58,23,1337,771,566,15,5,10,38,3,35
jews,40-45,935,507,428,37,19,18,833,480,353,6,2,4,59,6,53
jews,45-50,664,339,325,19,11,8,577,321,256,5,2,3,63,5,58
jews,50-55,614,302,312,7,6,1,506,288,218,8,3,5,93,5,88
jews,55-60,466,218,248,1,0,1,371,211,160,0,0,0,94,7,87
jews,60-65,451,217,234,3,3,0,300,193,107,1,1,0,147,20,127
jews,65-70,254,130,124,6,4,2,159,106,53,1,1,0,88,19,69
jews,70-75,162,78,84,0,0,0,93,61,32,0,0,0,69,17,52
jews,75+,106,48,58,2,2,0,36,28,8,0,0,0,68,18,50
jews,not_recorded,30,24,6,13,12,1,11,6,5,6,6,0,0,0,0
christians,total,16492,8629,7863,9972,5720,4252,5448,2808,2640,34,10,24,1038,91,947
christians,0-1,473,267,206,473,267,206,0,0,0,0,0,0,0,0,0
christians,1-2,421,217,204,421,217,204,0,0,0,0,0,0,0,0,0
christians,2-3,434,237,197,434,237,197,0,0,0,0,0,0,0,0,0
christians,3-4,453,230,223,453,230,223,0,0,0,0,0,0,0,0,0
christians,4-5,442,244,198,442,244,198,0,0,0,0,0,0,0,0,0
christians,0-5,2223,1195,1028,2223,1195,1028,0,0,0,0,0,0,0,0,0
christians,5-10,1946,1005,941,1946,1005,941,0,0,0,0,0,0,0,0,0
christians,10-15,1201,589,612,1200,589,611,1,0,1,0,0,0,0,0,0
christians,15-20,1483,727,756,1336,722,614,143,5,138,1,0,1,3,0,3
christians,20-25,2209,1346,863,1584,1167,417,617,176,441,3,2,1,5,1,4
christians,25-30,1691,961,730,764,576,188,894,372,522,5,0,5,28,13,15
christians,30-35,1238,682,556,318,201,117,883,475,408,7,3,4,30,3,27
christians,35-40,1026,522,504,183,97,86,787,420,367,4,1,3,52,4,48
christians,40-45,806,391,415,114,55,59,601,331,270,4,1,3,87,4,83
christians,45-50,691,341,350,89,31,58,487,303,184,5,2,3,110,5,105
christians,50-55,618,290,328,80,38,42,376,244,132,1,0,1,161,8,153
christians,55-60,363,170,193,33,11,22,222,156,66,1,0,1,107,3,104
christians,60-65,339,150,189,34,12,22,183,129,54,2,1,1,120,8,112
christians,65-70,228,100,128,26,10,16,100,78,22,1,0,1,101,12,89
christians,70-75,190,80,110,20,5,15,86,66,20,0,0,0,84,9,75
christians,75+,239,79,160,21,5,16,68,53,15,0,0,0,150,21,129
christians,not_recorded,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
others,total,2783,1426,1357,1536,863,673,1069,529,540,17,7,10,161,27,134
others,0-1,103,60,43,103,60,43,0,0,0,0,0,0,0,0,0
others,1-2,85,44,41,85,44,41,0,0,0,0,0,0,0,0,0
others,2-3,112,58,54,112,58,54,0,0,0,0,0,0,0,0,0
others,3-4,96,55,41,96,55,41,0,0,0,0,0,0,0,0,0
others,4-5,93,47,46,93,47,46,0,0,0,0,0,0,0,0,0
others,0-5,489,264,225,489,264,225,0,0,0,0,0,0,0,0,0
others,5-10,383,199,184,383,199,184,0,0,0,0,0,0,0,0,0
others,10-15,287,149,138,287,149,138,0,0,0,0,0,0,0,0,0
others,15-20,177,84,93,140,80,60,36,4,32,1,0,1,0,0,0
others,20-25,234,122,112,110,81,29,119,38,81,2,1,1,3,2,1
others,25-30,246,121,125,60,50,10,179,67,112,4,3,1,3,1,2
others,30-35,205,104,101,23,17,6,171,86,85,3,0,3,8,1,7
others,35-40,169,87,82,15,11,4,142,76,66,1,0,1,11,0,11
others,40-45,126,62,64,4,3,1,107,56,51,1,0,1,14,3,11
others,45-50,110,56,54,8,3,5,89,51,38,2,1,1,11,1,10
others,50-55,81,37,44,4,0,4,56,35,21,2,1,1,19,1,18
others,55-60,72,37,35,1,0,1,51,33,18,1,1,0,19,3,16
others,60-65,67,27,40,4,3,1,44,23,21,0,0,0,19,1,18
others,65-70,39,22,17,2,1,1,24,16,8,0,0,0,13,5,8
others,70-75,42,25,17,3,1,2,23,21,2,0,0,0,16,3,13
others,75+,56,30,26,3,1,2,28,23,5,0,0,0,25,6,19
others,not_recorded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
