religion,industry,column,staff_category,breakdown,value
all religions,Haifa Town total,2,total population engaged,persons,1881
all religions,Haifa Town total,3,total population engaged,males,1760
all religions,Haifa Town total,4,total population engaged,females,121
all religions,Haifa Town total,5,Directional & supervising staff — managers,"persons, total",76
all religions,Haifa Town total,6,Directional & supervising staff — managers,"persons, males",75
all religions,Haifa Town total,7,Directional & supervising staff — managers,"persons, females",1
all religions,Haifa Town total,8,Directional & supervising staff — managers,"Palestinian Arabs, males",2
all religions,Haifa Town total,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
all religions,Haifa Town total,10,Directional & supervising staff — managers,"Palestinian Jews, males",32
all religions,Haifa Town total,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
all religions,Haifa Town total,12,Directional & supervising staff — managers,"Palestinian others, males",1
all religions,Haifa Town total,13,Directional & supervising staff — managers,"Palestinian others, females",0
all religions,Haifa Town total,14,Directional & supervising staff — managers,"non-Palestinian, males",40
all religions,Haifa Town total,15,Directional & supervising staff — managers,"non-Palestinian, females",1
all religions,Haifa Town total,16,Directional & supervising staff — supervising & technical,"persons, total",70
all religions,Haifa Town total,17,Directional & supervising staff — supervising & technical,"persons, males",68
all religions,Haifa Town total,18,Directional & supervising staff — supervising & technical,"persons, females",2
all religions,Haifa Town total,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",4
all religions,Haifa Town total,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
all religions,Haifa Town total,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",45
all religions,Haifa Town total,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",2
all religions,Haifa Town total,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",2
all religions,Haifa Town total,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
all religions,Haifa Town total,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",17
all religions,Haifa Town total,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
all religions,Haifa Town total,27,Clerical staff — clerical,"persons, total",200
all religions,Haifa Town total,28,Clerical staff — clerical,"persons, males",174
all religions,Haifa Town total,29,Clerical staff — clerical,"persons, females",26
all religions,Haifa Town total,30,Clerical staff — clerical,"Palestinian Arabs, males",38
all religions,Haifa Town total,31,Clerical staff — clerical,"Palestinian Arabs, females",1
all religions,Haifa Town total,32,Clerical staff — clerical,"Palestinian Jews, males",90
all religions,Haifa Town total,33,Clerical staff — clerical,"Palestinian Jews, females",14
all religions,Haifa Town total,34,Clerical staff — clerical,"Palestinian others, males",4
all religions,Haifa Town total,35,Clerical staff — clerical,"Palestinian others, females",0
all religions,Haifa Town total,36,Clerical staff — clerical,"non-Palestinian, males",42
all religions,Haifa Town total,37,Clerical staff — clerical,"non-Palestinian, females",11
all religions,Haifa Town total,38,Operatives under 17 years,"persons, total",140
all religions,Haifa Town total,39,Operatives under 17 years,"persons, males",124
all religions,Haifa Town total,40,Operatives under 17 years,"persons, females",16
all religions,Haifa Town total,41,Operatives under 17 years,"Palestinian Arabs, males",115
all religions,Haifa Town total,42,Operatives under 17 years,"Palestinian Arabs, females",13
all religions,Haifa Town total,43,Operatives under 17 years,"Palestinian Jews, males",3
all religions,Haifa Town total,44,Operatives under 17 years,"Palestinian Jews, females",0
all religions,Haifa Town total,45,Operatives under 17 years,"Palestinian others, males",3
all religions,Haifa Town total,46,Operatives under 17 years,"Palestinian others, females",1
all religions,Haifa Town total,47,Operatives under 17 years,"non-Palestinian, males",3
all religions,Haifa Town total,48,Operatives under 17 years,"non-Palestinian, females",2
all religions,Haifa Town total,49,Operatives 17 years and over,"persons, total",1395
all religions,Haifa Town total,50,Operatives 17 years and over,"persons, males",1319
all religions,Haifa Town total,51,Operatives 17 years and over,"persons, females",76
all religions,Haifa Town total,52,Operatives 17 years and over,"Palestinian Arabs, males",754
all religions,Haifa Town total,53,Operatives 17 years and over,"Palestinian Arabs, females",38
all religions,Haifa Town total,54,Operatives 17 years and over,"Palestinian Jews, males",304
all religions,Haifa Town total,55,Operatives 17 years and over,"Palestinian Jews, females",11
all religions,Haifa Town total,56,Operatives 17 years and over,"Palestinian others, males",32
