religion,district,subdistrict,pop_p,pop_m,pop_f,cases_p,cases_m,cases_f,ins_p,ins_pb,ins_m,ins_mb,ins_f,ins_fb,b1_p,b1_pb,b1_m,b1_mb,b1_f,b1_fb,bl_p,bl_pb,bl_m,bl_mb,bl_f,bl_fb,df_p,df_pb,df_m,df_mb,df_f,df_fb,dd_p,dd_pb,dd_m,dd_mb,dd_f,dd_fb
all,Palestine,ALL,969268,491258,478010,30017,15291,14726,809,20,459,13,350,7,19076,131,10277,68,8799,63,8172,316,3483,184,4689,132,1541,64,819,45,722,19,419,128,253,83,166,45
all,Southern,ALL,304532,155983,148549,12683,6342,6341,157,2,99,2,58,0,8534,47,4472,19,4062,28,3462,78,1475,44,1987,34,429,17,232,14,197,3,101,26,64,17,37,9
all,Southern,Gaza,94104,46802,47302,6488,3041,3447,51,1,34,1,17,0,4387,43,2135,15,2252,28,1819,37,747,18,1072,19,192,9,101,7,91,2,39,11,24,7,15,4
all,Southern,Beersheba,3101,1667,1434,130,79,51,0,0,0,0,0,0,69,0,43,0,26,0,47,0,26,0,21,0,2,0,1,0,1,0,12,3,9,2,3,1
all,Southern,Jaffa,140534,72707,67827,2487,1368,1119,76,0,44,0,32,0,1693,3,980,3,713,0,552,10,249,8,303,2,135,3,78,2,57,1,31,7,17,4,14,3
all,Southern,Ramle,66793,34807,31986,3578,1854,1724,30,1,21,1,9,0,2385,1,1314,1,1071,0,1044,31,453,18,591,13,100,5,52,5,48,0,19,7,14,6,5,1
all,Jerusalem,ALL,257490,128536,128954,8606,4309,4297,350,3,169,2,181,1,5445,38,2897,21,2548,17,2242,75,950,48,1292,27,435,13,222,6,213,7,134,31,71,19,63,12
all,Jerusalem,Hebron,65630,32987,32643,3207,1612,1595,44,1,23,1,21,0,2105,13,1138,7,967,6,883,22,355,14,528,8,140,7,77,3,63,4,35,7,19,4,16,3
all,Jerusalem,Bethlehem,16781,8023,8758,654,331,323,95,0,56,0,39,0,345,0,176,0,169,0,173,1,83,1,90,0,26,0,11,0,15,0,15,2,5,1,10,1
all,Jerusalem,Jerusalem,132661,66612,66049,3020,1525,1495,190,2,80,2,110,0,1788,23,967,13,821,10,786,26,353,17,433,9,185,1,89,0,96,1,71,17,36,10,35,7
all,Jerusalem,Jericho,3356,2111,1245,36,19,17,2,0,0,0,2,0,23,0,13,0,10,0,7,0,2,0,5,0,3,0,3,0,0,0,1,0,1,0,0,0
all,Jerusalem,Ramallah,39062,18803,20259,1689,822,867,19,0,10,0,9,0,1184,2,603,1,581,1,393,27,157,17,236,10,81,5,42,3,39,2,12,5,10,4,2,1
all,Northern,ALL,407246,206739,200507,8728,4640,4088,302,15,191,9,111,6,5097,46,2908,28,2189,18,2468,163,1058,92,1410,71,677,34,365,25,312,9,184,71,118,47,66,24
all,Northern,Tulkarm,46328,23466,22862,1558,847,711,28,4,20,4,8,0,1013,4,598,1,415,3,428,25,176,9,252,16,72,2,43,2,29,0,17,5,10,4,7,1
all,Northern,Nablus,68490,33670,34820,1398,767,631,53,2,34,1,19,1,818,13,477,10,341,3,397,45,185,27,212,18,93,6,48,4,45,2,37,19,23,13,14,6
all,Northern,Jenin,41411,20268,21143,1269,619,650,33,2,20,0,13,2,832,3,430,2,402,1,329,15,130,8,199,7,60,1,29,1,31,0,15,10,10,8,5,2
all,Northern,Nazareth,28592,14077,14515,697,332,365,20,1,11,1,9,0,399,4,191,3,208,1,196,20,88,13,108,7,70,5,32,5,38,0,12,4,10,3,2,1
all,Northern,Beisan,15123,8045,7078,267,143,124,14,0,9,0,5,0,153,4,91,3,62,1,69,6,28,4,41,2,22,1,11,1,11,0,9,4,4,2,5,2
all,Northern,Tiberias,26975,13736,13239,424,217,207,28,1,17,0,11,1,212,0,114,0,98,0,123,5,52,2,71,3,48,1,28,0,20,1,13,6,6,3,7,3
all,Northern,Haifa,95472,50522,44950,1395,775,620,54,5,30,3,24,2,804,5,472,2,332,3,383,15,173,10,210,5,123,11,75,9,48,2,31,9,25,7,6,2
all,Northern,Acre,45142,23177,21965,1105,632,473,45,0,36,0,9,0,567,5,370,4,197,1,357,16,155,7,202,9,104,2,52,1,52,1,32,9,19,3,13,6
all,Northern,Safad,39713,19778,19935,615,308,307,27,0,14,0,13,0,299,6,165,3,134,3,186,16,71,12,115,4,85,5,47,2,38,3,18,5,11,4,7,1
moslems,Palestine,ALL,693159,352172,340987,26735,13655,13080,453,16,279,10,174,6,17415,116,9409,60,8006,56,7356,299,3111,175,4245,124,1197,61,653,43,544,18,314,109,203,74,111,35
moslems,Southern,ALL,210322,107931,102391,12077,6014,6063,97,1,65,1,32,0,8192,46,4272,18,3920,28,3354,77,1427,44,1927,33,351,16,194,13,157,3,83,22,56,14,27,8
moslems,Southern,Gaza,92785,46117,46668,6470,3030,3440,51,1,34,1,17,0,4372,43,2124,15,2248,28,1816,37,747,18,1069,19,192,9,101,7,91,2,39,11,24,7,15,4
moslems,Southern,Beersheba,2926,1578,1348,124,74,50,0,0,0,0,0,0,65,0,40,0,25,0,45,0,24,0,21,0,2,0,1,0,1,0,12,3,9,2,3,1
moslems,Southern,Jaffa,60510,32480,28030,2047,1146,901,21,0,14,0,7,0,1461,2,859,2,602,0,480,10,218,8,262,2,68,2,44,1,24,1,17,6,11,3,6,3
moslems,Southern,Ramle,54101,27756,26345,3436,1764,1672,25,0,17,0,8,0,2294,1,1249,1,1045,0,1013,30,438,18,575,12,89,5,48,5,41,0,15,4,12,4,3,0
moslems,Jerusalem,ALL,163947,83012,80935,6945,3531,3414,105,2,54,1,51,1,4673,31,2524,18,2149,13,1795,68,749,43,1046,25,295,13,157,6,138,7,77,23,47,15,30,8
moslems,Jerusalem,Hebron,65363,32851,32512,3204,1609,1595,44,1,23,1,21,0,2103,13,1136,7,967,6,882,22,354,14,528,8,140,7,77,3,63,4,35,7,19,4,16,3
moslems,Jerusalem,Bethlehem,6103,3158,2945,209,121,88,19,0,12,0,7,0,127,0,80,0,47,0,54,0,24,0,30,0,5,0,2,0,3,0,4,0,3,0,1,0
moslems,Jerusalem,Jerusalem,57762,29782,27980,2035,1075,960,27,1,14,1,13,0,1391,16,772,10,619,6,511,21,232,13,279,8,78,1,40,0,38,1,28,12,17,8,11,4
moslems,Jerusalem,Jericho,2822,1691,1131,35,18,17,2,0,0,0,2,0,22,0,12,0,10,0,7,0,2,0,5,0,3,0,3,0,0,0,1,0,1,0,0,0
moslems,Jerusalem,Ramallah,31897,15530,16367,1462,708,754,13,0,5,0,8,0,1030,2,524,1,506,1,341,25,137,16,204,9,69,5,35,3,34,2,9,4,7,3,2,1
moslems,Northern,ALL,318890,161229,157661,7713,4110,3603,251,13,160,8,91,5,4550,39,2613,24,1937,15,2207,154,935,88,1272,66,551,32,302,24,249,8,154,64,100,45,54,19
moslems,Northern,Tulkarm,45290,22820,22470,1554,844,710,28,4,20,4,8,0,1010,4,595,1,415,3,427,25,176,9,251,16,72,2,43,2,29,0,17,5,10,4,7,1
moslems,Northern,Nablus,67098,32966,34132,1379,760,619,53,2,34,1,19,1,806,11,472,8,334,3,392,44,183,27,209,17,91,6,48,4,43,2,37,19,23,13,14,6
