district,religion,age_group,total_p,total_m,total_f,literate_p,literate_m,literate_f,illiterate_p,illiterate_m,illiterate_f
Palestine,all,total,969268,491258,478010,247316,163714,83602,721952,327544,394408
Palestine,all,0-7,229046,117239,111807,6088,3534,2554,222958,113705,109253
Palestine,all,7-14,141788,77102,64686,49829,33342,16487,91959,43760,48199
Palestine,all,14-21,108495,55534,52961,40067,25557,14510,68428,29977,38451
Palestine,all,21+,489490,241097,248393,151232,101199,50033,338258,139898,198360
Palestine,all,not_recorded,449,286,163,100,82,18,349,204,145
Palestine,moslems,total,693159,352172,340987,75659,66711,8948,617500,285461,332039
Palestine,moslems,0-7,177219,90541,86678,1495,1095,400,175724,89446,86278
Palestine,moslems,7-14,104396,57770,46626,21420,18110,3310,82976,39660,43316
Palestine,moslems,14-21,76291,39791,36500,13738,11594,2144,62553,28197,34356
Palestine,moslems,21+,335130,164003,171127,39000,35906,3094,296130,128097,168033
Palestine,moslems,not_recorded,123,67,56,6,6,0,117,61,56
Palestine,jews,total,174610,88100,86510,126092,68710,57382,48518,19390,29128
Palestine,jews,0-7,32059,16423,15636,3512,1867,1645,28547,14556,13991
Palestine,jews,7-14,22903,11711,11192,19982,10409,9573,2921,1302,1619
Palestine,jews,14-21,19448,9396,10052,17841,9015,8826,1607,381,1226
Palestine,jews,21+,99894,50362,49532,84664,47344,37320,15230,3018,12212
Palestine,jews,not_recorded,306,208,98,93,75,18,213,133,80
Palestine,christians,total,91398,45896,45502,43695,26848,16847,47703,19048,28655
Palestine,christians,0-7,17503,9116,8387,1040,548,492,16463,8568,7895
Palestine,christians,7-14,12935,6794,6141,8013,4506,3507,4922,2288,2634
Palestine,christians,14-21,11737,5853,5884,8251,4763,3488,3486,1090,2396
Palestine,christians,21+,49204,24123,25081,26390,17030,9360,22814,7093,15721
Palestine,christians,not_recorded,19,10,9,1,1,0,18,9,9
Palestine,others,total,10101,5090,5011,1870,1445,425,8231,3645,4586
Palestine,others,0-7,2265,1159,1106,41,24,17,2224,1135,1089
Palestine,others,7-14,1554,827,727,414,317,97,1140,510,630
Palestine,others,14-21,1019,494,525,237,185,52,782,309,473
Palestine,others,21+,5262,2609,2653,1178,919,259,4084,1690,2394
Palestine,others,not_recorded,1,1,0,0,0,0,1,1,0
Southern,all,total,304532,155983,148549,87881,53939,33942,216651,102044,114607
Southern,all,0-7,73007,37323,35684,2216,1304,912,70791,36019,34772
Southern,all,7-14,41901,22851,19050,15540,9941,5599,26361,12910,13451
Southern,all,14-21,32938,16843,16095,13165,7830,5335,19773,9013,10760
Southern,all,21+,156397,78772,77625,56868,34790,22078,99529,43982,55547
Southern,all,not_recorded,289,194,95,92,74,18,197,120,77
Southern,moslems,total,210322,107931,102391,19122,16693,2429,191200,91238,99962
Southern,moslems,0-7,56894,29075,27819,576,439,137,56318,28636,27682
Southern,moslems,7-14,30442,16980,13462,5660,4759,901,24782,12221,12561
Southern,moslems,14-21,22057,11524,10533,3442,2857,585,18615,8667,9948
Southern,moslems,21+,100893,50328,50565,9444,8638,806,91449,41690,49759
Southern,moslems,not_recorded,36,24,12,0,0,0,36,24,12
Southern,jews,total,78723,39827,38896,60704,32327,28377,18019,7500,10519
Southern,jews,0-7,13055,6650,6405,1329,701,628,11726,5949,5777
Southern,jews,7-14,9432,4759,4673,8531,4421,4110,901,338,563
Southern,jews,14-21,8943,4378,4565,8376,4238,4138,567,140,427
Southern,jews,21+,47043,23871,23172,42376,22893,19483,4667,978,3689
Southern,jews,not_recorded,250,169,81,92,74,18,158,95,63
Southern,christians,total,15155,8059,7096,7779,4783,2996,7376,3276,4100
Southern,christians,0-7,3015,1577,1438,308,163,145,2707,1414,1293
Southern,christians,7-14,2006,1103,903,1331,755,576,675,348,327
Southern,christians,14-21,1916,931,985,1327,726,601,589,205,384
Southern,christians,21+,8215,4447,3768,4813,3139,1674,3402,1308,2094
Southern,christians,not_recorded,3,1,2,0,0,0,3,1,2
Southern,others,total,332,166,166,276,136,140,56,30,26
Southern,others,0-7,43,21,22,3,1,2,40,20,20
Southern,others,7-14,21,9,12,18,6,12,3,3,0
Southern,others,14-21,22,10,12,20,9,11,2,1,1
Southern,others,21+,246,126,120,235,120,115,11,6,5
Southern,others,not_recorded,0,0,0,0,0,0,0,0,0
Jerusalem,all,total,257490,128536,128954,72402,45800,26602,185088,82736,102352
