unit,unit_type,district,class,class_label,sub_class,sub_class_label,order,order_label,book_page,total,earners_males,earners_females,partly_agriculturists_males,partly_agriculturists_females,dependants_and_working_dependants
Palestine,country,,,,,,0,TOTAL ALL CLASSES,315,969268,246921,34017,6360,344,688330
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1,Pasture and agriculture,315,517032,122206,11593,4284,243,383233
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1a,Pasture and agriculture — (a) Ordinary cultivation,315,440084,99277,9488,1939,94,331319
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1b,Pasture and agriculture — (b) Growers of special products and market gardening,317,51476,14427,1583,2000,136,35466
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1c,Pasture and agriculture — (c) Forestry,318,1670,428,26,24,0,1216
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1d,Pasture and agriculture — (d) Raising of farm stock and stud service,319,23179,7904,322,318,11,14953
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1e,Pasture and agriculture — (e) Raising of small animals,321,430,85,174,3,2,171
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1f,Pasture and agriculture — (f) Agricultural machines service,322,193,85,0,0,0,108
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,2,Fishing and hunting,323,2905,787,5,14,0,2113
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,2a,Nomads,324,0,0,0,0,0,0
Palestine,country,,A,Production of raw materials,II,Extraction of minerals,3,Mines,324,11,1,0,0,0,10
Palestine,country,,A,Production of raw materials,II,Extraction of minerals,4,Quarries of hard rocks,325,7794,2219,17,124,1,5558
Palestine,country,,A,Production of raw materials,II,Extraction of minerals,5,"Salt, etc.",326,208,133,1,9,0,74
Palestine,country,,B,Preparation and supply of material substances,III,Industry,6,Textiles,327,5418,1378,460,19,2,3580
Palestine,country,,B,Preparation and supply of material substances,III,Industry,7,"Hides, skins and hard material from the animal kingdom",331,1594,393,74,6,0,1127
Palestine,country,,B,Preparation and supply of material substances,III,Industry,8,Wood,333,14634,4476,59,62,0,10099
Palestine,country,,B,Preparation and supply of material substances,III,Industry,9,Metals,334,9887,3014,59,14,0,6814
Palestine,country,,B,Preparation and supply of material substances,III,Industry,10,Ceramics,337,3023,852,107,8,2,2064
Palestine,country,,B,Preparation and supply of material substances,III,Industry,11,Chemical products properly so called and analogous,339,2601,649,59,16,0,1893
Palestine,country,,B,Preparation and supply of material substances,III,Industry,12,Food industries,341,18135,4926,350,65,0,12859
Palestine,country,,B,Preparation and supply of material substances,III,Industry,13,Industries of dress and the toilet,345,28980,6880,4264,68,11,17836
Palestine,country,,B,Preparation and supply of material substances,III,Industry,14,Furniture industries,347,1478,437,22,0,0,1019
Palestine,country,,B,Preparation and supply of material substances,III,Industry,15,Building industries,348,37232,11947,117,226,0,25168
Palestine,country,,B,Preparation and supply of material substances,III,Industry,16,Construction of means of transport,350,1271,367,4,2,0,900
Palestine,country,,B,Preparation and supply of material substances,III,Industry,17,Production and transmission of physical forces,352,1815,761,16,4,0,1038
Palestine,country,,B,Preparation and supply of material substances,III,Industry,18,Industries of luxury and those pertaining to literature and the arts and sciences,352,6120,1979,241,3,0,3900
Palestine,country,,B,Preparation and supply of material substances,III,Industry,19,Industries concerned with refuse matter,356,1205,391,1,0,0,813
Palestine,country,,B,Preparation and supply of material substances,III,Industry,20,Other industries,356,205,66,15,1,0,124
Palestine,country,,B,Preparation and supply of material substances,IV,Transport,21,Transport by water,357,5520,1779,19,4,0,3722
Palestine,country,,B,Preparation and supply of material substances,IV,Transport,22,Transport by road,359,36141,11344,105,253,1,24692
Palestine,country,,B,Preparation and supply of material substances,IV,Transport,23,Transport by rail,360,6650,1977,30,29,0,4643
Palestine,country,,B,Preparation and supply of material substances,IV,Transport,24,"Post office, telegraph and telephone",361,2309,791,97,2,0,1421
Palestine,country,,B,Preparation and supply of material substances,V,Trade,25,"Banks, establishments of credit, exchange and insurance",362,2963,982,142,2,0,1839
Palestine,country,,B,Preparation and supply of material substances,V,Trade,26,"Brokerage, commission and export",363,4803,1344,40,14,0,3419
Palestine,country,,B,Preparation and supply of material substances,V,Trade,27,Trade in textiles,363,8939,1880,79,64,0,6980
Palestine,country,,B,Preparation and supply of material substances,V,Trade,28,"Trade in skins, leather and furs",364,587,127,5,0,0,455
Palestine,country,,B,Preparation and supply of material substances,V,Trade,29,Trade in wood,365,387,102,2,0,0,283
Palestine,country,,B,Preparation and supply of material substances,V,Trade,30,Trade in metals,365,434,131,3,0,0,300
Palestine,country,,B,Preparation and supply of material substances,V,Trade,31,Trade in pottery,366,520,128,18,1,0,374
Palestine,country,,B,Preparation and supply of material substances,V,Trade,32,Trade in chemical products,367,1451,275,17,1,0,1159
Palestine,country,,B,Preparation and supply of material substances,V,Trade,33,"Hotels, cafés, restaurants",367,11103,3496,524,17,0,7083
Palestine,country,,B,Preparation and supply of material substances,V,Trade,34,Other trade in foodstuffs,368,49096,11577,924,381,28,36595
Palestine,country,,B,Preparation and supply of material substances,V,Trade,35,Trade in clothing and toilet articles,372,3429,916,55,6,0,2458
Palestine,country,,B,Preparation and supply of material substances,V,Trade,36,Trade in furniture,373,853,225,10,0,0,618
Palestine,country,,B,Preparation and supply of material substances,V,Trade,37,Trade in building materials,374,751,184,4,5,0,563
Palestine,country,,B,Preparation and supply of material substances,V,Trade,38,Trade in means of transport,375,1036,250,3,10,0,783
Palestine,country,,B,Preparation and supply of material substances,V,Trade,39,Trade in fuel,375,578,148,11,1,0,419
Palestine,country,,B,Preparation and supply of material substances,V,Trade,40,Trade in articles of luxury and those pertaining to letters and arts and sciences,376,1697,494,60,2,0,1143
Palestine,country,,B,Preparation and supply of material substances,V,Trade,41,Trade in refuse matter,377,323,96,10,2,0,217
Palestine,country,,B,Preparation and supply of material substances,V,Trade,42,Trade in other sorts,378,7647,2118,115,33,0,5414
Palestine,country,,C,Public administration and liberal arts,VI,Public force,43,Army and air force,380,3119,2633,1,2,0,485
Palestine,country,,C,Public administration and liberal arts,VI,Public force,44,Navy,381,14,4,0,0,0,10
Palestine,country,,C,Public administration and liberal arts,VI,Public force,45,Police,381,9569,3433,29,43,0,6107
Palestine,country,,C,Public administration and liberal arts,VII,Public administration,46,Public administration,382,11716,3384,144,52,1,8188
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,47,Religion,384,11912,3092,182,44,0,8638
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,48,Law,386,2527,670,29,22,0,1828
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,49,Medicine,387,5313,994,1782,10,6,2537
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,50,Instruction,388,10468,2604,1583,43,5,6281
