unit,unit_type,religion,age_group,persons,males,females
Palestine,palestine,all,total,969268,491258,478010
Palestine,palestine,all,0-1,36893,19220,17673
Palestine,palestine,all,1-2,29820,15142,14678
Palestine,palestine,all,2-3,35563,18075,17488
Palestine,palestine,all,3-4,34240,17314,16926
Palestine,palestine,all,4-5,32086,16263,15823
Palestine,palestine,all,0-5,168602,86014,82588
Palestine,palestine,all,5-10,133280,70470,62810
Palestine,palestine,all,10-15,78476,42879,35597
Palestine,palestine,all,15-20,63212,33570,29642
Palestine,palestine,all,20-25,87717,44305,43412
Palestine,palestine,all,25-30,93234,46566,46668
Palestine,palestine,all,30-35,73275,35757,37518
Palestine,palestine,all,35-40,60356,30480,29876
Palestine,palestine,all,40-45,49141,22973,26168
Palestine,palestine,all,45-50,37049,18909,18140
Palestine,palestine,all,50-55,35652,16777,18875
Palestine,palestine,all,55-60,19747,10127,9620
Palestine,palestine,all,60-65,26033,11837,14196
Palestine,palestine,all,65-70,13071,6511,6560
Palestine,palestine,all,70-75,14136,6256,7880
Palestine,palestine,all,75+,15838,7541,8297
Palestine,palestine,all,not_recorded,449,286,163
Palestine,palestine,moslems,total,693159,352172,340987
Palestine,palestine,moslems,0-1,28462,14803,13659
Palestine,palestine,moslems,1-2,23012,11628,11384
Palestine,palestine,moslems,2-3,27771,14060,13711
Palestine,palestine,moslems,3-4,26797,13503,13294
Palestine,palestine,moslems,4-5,24666,12489,12177
Palestine,palestine,moslems,0-5,130708,66483,64225
Palestine,palestine,moslems,5-10,100281,53510,46771
Palestine,palestine,moslems,10-15,57156,31814,25342
Palestine,palestine,moslems,15-20,41384,22829,18555
Palestine,palestine,moslems,20-25,56818,28262,28556
Palestine,palestine,moslems,25-30,61983,30534,31449
Palestine,palestine,moslems,30-35,49928,23440,26488
Palestine,palestine,moslems,35-40,43847,22194,21653
Palestine,palestine,moslems,40-45,36172,16769,19403
Palestine,palestine,moslems,45-50,26971,14181,12790
Palestine,palestine,moslems,50-55,25815,12156,13659
Palestine,palestine,moslems,55-60,12676,6756,5920
Palestine,palestine,moslems,60-65,18557,8427,10130
Palestine,palestine,moslems,65-70,8423,4383,4040
Palestine,palestine,moslems,70-75,10061,4406,5655
Palestine,palestine,moslems,75+,12256,5961,6295
Palestine,palestine,moslems,not_recorded,123,67,56
Palestine,palestine,jews,total,174610,88100,86510
Palestine,palestine,jews,0-1,5149,2703,2446
Palestine,palestine,jews,1-2,4309,2200,2109
Palestine,palestine,jews,2-3,4799,2427,2372
Palestine,palestine,jews,3-4,4582,2346,2236
Palestine,palestine,jews,4-5,4668,2368,2300
Palestine,palestine,jews,0-5,23507,12044,11463
Palestine,palestine,jews,5-10,20095,10259,9836
Palestine,palestine,jews,10-15,13252,6787,6465
Palestine,palestine,jews,15-20,13489,6568,6921
Palestine,palestine,jews,20-25,19771,9750,10021
Palestine,palestine,jews,25-30,22047,11241,10806
Palestine,palestine,jews,30-35,16200,8741,7459
Palestine,palestine,jews,35-40,10331,5364,4967
Palestine,palestine,jews,40-45,7969,3985,3984
Palestine,palestine,jews,45-50,5816,2812,3004
Palestine,palestine,jews,50-55,5823,2796,3027
Palestine,palestine,jews,55-60,4385,2097,2288
Palestine,palestine,jews,60-65,4623,2164,2459
Palestine,palestine,jews,65-70,2826,1303,1523
Palestine,palestine,jews,70-75,2436,1147,1289
Palestine,palestine,jews,75+,1734,834,900
