person_node	name	source	source_node	note
61546	Adma Faris	Official Gazette	60051	
61503	Alice Butrus Shumali	Official Gazette	60051	
61591	Alice Keredjian	Official Gazette	60051	
61213	Alice Tannus ʻAtiyya	Official Gazette	60051	16.4.1932,issue 305, p. 296
61650	Asa Zaybak	Official Gazette	60051	
60771	Da’ud Sulayman Bulus	Official Gazette	60051	15.11.1920, issue 31, p. 9
61320	Dhahbiya Habib ʻAbdu	Official Gazette	60051	19.10.1939,issue 955, p. 1162
61711	Fawzi Salim Bishara	AUB Alumni	60052	
61711	Fawzi Salim Bishara	Official Gazette	60051	17.8.1933, issue 382, p. 1099
61500	Gassia Shamlian	Official Gazette	60051	
61656	Georgetti Dafunia	Official Gazette	60051	
61363	Helen Nasif Haddad Hutchins	Official Gazette	60051	18.2.1943,issue 1251, p. 145
60988	Ibrahim Salim Ayyub	AUB Alumni	60052	
60988	Ibrahim Salim Ayyub	Official Gazette	60051	
61522	Ida Ansar	Official Gazette	60051	
61710	Ilyas Bisharah ʻAtallah	AUB Alumni	60052	
61710	Ilyas Bisharah ʻAtallah	Official Gazette	60051	17.8.1933, issue 382, p. 1099
61527	Jalila ʻAwwad	Official Gazette	60051	
60960	Jubran ʻAwdah ʻAtallah	al-Shakhsiyat	60084	P. 159
60960	Jubran ʻAwdah ʻAtallah	Official Gazette	60051	13.10.1938, issue 825, p. 1171
60960	Jubran ʻAwdah ʻAtallah	Muʿajam al-Atibbaʾ wa-l-Sayadlah al-Filastiniyyin	116769	vol. 3, pp. 117.
86521	Judith Eliashberg	AUB Alumni	60052	
61692	Kamil ʻIsa Haddad	Official Gazette	60051	
61398	Kamilah Musa Nqula	Official Gazette	60051	11.10.1945, issue 1445, p. 1179
61300	Latifa Tuza	Official Gazette	60051	28.4.1938,issue 778, p. 460
61453	Lourie Ekyakchian	Official Gazette	60051	
61491	Maryam Rizq	Official Gazette	60051	
61496	Maryam Samʿan	Official Gazette	60051	
61143	Milada Qubti	Official Gazette	60051	
61544	Musayan Musbah Dudar	Official Gazette	60051	
61286	Nabiha Salama Wirr	Official Gazette	60051	13.5.1937,issue 690, p. 481
61304	Nahil Nimr	Official Gazette	60051	13.10.1938, issue 825, p. 1171
61153	Nasima ʻAwwad	Official Gazette	60051	16.12.1926, issue 177
60836	Na’if Amin Hamzah	al-Shakhsiyat	60084	p. 36
60836	Na’if Amin Hamzah	Official Gazette	60051	1.4.1921, issue 40, p. 16
61017	Nimr ʻAbd al-Fattah Tuqan	AUB Alumni	60052	p. 350
61017	Nimr ʻAbd al-Fattah Tuqan	Official Gazette	60051	11.10.1945, issue 1445, p. 1179
61140	Salima Shibli	Official Gazette	60051	15.11.1920, issue 31, p. 14
60948	Sami Nimr Musallam	al-Shakhsiyat	60084	p. 134
60948	Sami Nimr Musallam	Official Gazette	60051	23.9.1937, issue 721, 899
61034	Sami Salim Khuri	AUB Alumni	60052	
61034	Sami Salim Khuri	Official Gazette	60051	15.8.1946, issue 1516, p. 758
61622	Saʻda Ibrahim Nassar	Official Gazette	60051	
60711	Saʻid ʻAbdalla al-Dajani	al-Shakhsiyat	60084	p. 56
60930	Shafiq Nasr Hana Haddad	AUB Alumni	60052	
60930	Shafiq Nasr Hana Haddad	Official Gazette	60051	23.7.1936,issue 614, p. 793
61690	Tawfiq Musa Zaynun	Official Gazette	60051	15.11.1920, issue 31, p. 12
61375	Victoria Yaʻqub ʻAranki	Official Gazette	60051	10.2.1944,issue 1317, p. 154
61216	Wadiʻa Habibi	Official Gazette	60051	16.4.1932,issue 305, p. 296
61326	Warda Salfiti Ashkar	Official Gazette	60051	25.1.1940,issue 981, p. 120
61421	Yvone Tawfiq Haddad	Official Gazette	60051	24.6.1947, issue 1597, p. 800
61240	Zahra Hannush	Official Gazette	60051	25.1.1934, issue 417
61236	Zakia Chabishian	Official Gazette	60051	29.6.1933,issue 371, p. 831
61369	Zakia Khalil Husni	Official Gazette	60051	26.8.1943,issue 1286, p. 739
61523	Zuha ʿAranki	Official Gazette	60051	
60982	ʻAbd al-Latif Ibrahim Yashruti	al-Shakhsiyat	60084	p. 154
60982	ʻAbd al-Latif Ibrahim Yashruti	Official Gazette	60051	
60982	ʻAbd al-Latif Ibrahim Yashruti	AUB Alumni	60052	p. 309
60982	ʻAbd al-Latif Ibrahim Yashruti	Muʿajam al-Atibbaʾ wa-l-Sayadlah al-Filastiniyyin	116769	vol. 3, p. 273.
61016	ʻAtalla Asʻad Shiban	Official Gazette	60051	9.8.1945, issue 1430, p. 870
61016	ʻAtalla Asʻad Shiban	AUB Alumni	60052	p. 349
