node	name	name_arabic	year_of_birth	year_of_death	profession	city_of_birth	religion	gender	n_activities	photo_url	url
61546	Adma Faris	فارس			Nurse				1		https://www.mideastmed.org/node/61546
61503	Alice Butrus Shumali	أليس بطرس شمالي			Midwife				4		https://www.mideastmed.org/node/61503
61591	Alice Keredjian	اليس كيريدجيان			Nurse		Armenian		1		https://www.mideastmed.org/node/61591
61213	Alice Tannus ʻAtiyya	اليس طنوس عطية		1937	Midwife				3		https://www.mideastmed.org/node/61213
61650	Asa Zaybak	اسا زيبك			Nurse				1		https://www.mideastmed.org/node/61650
60771	Da’ud Sulayman Bulus	داود سليمان بولس	1883		Doctor	Kfar Yasif	Protestant		12		https://www.mideastmed.org/node/60771
61320	Dhahbiya Habib ʻAbdu	ذهبية حبيب عبده			Midwife				3		https://www.mideastmed.org/node/61320
66538	Faris Khalil Haddad	فارس خليل حداد	1916	1986	Nurse	Hurfeish	Christian		2		https://www.mideastmed.org/node/66538
61711	Fawzi Salim Bishara	فوزي سليم بشارة	1911		Pharmacist	Nazareth			16		https://www.mideastmed.org/node/61711
61500	Gassia Shamlian	غاسيا شامليان			Midwife		Armenian		3		https://www.mideastmed.org/node/61500
61656	Georgetti Dafunia	جورجيت دفونيا			Nurse				1		https://www.mideastmed.org/node/61656
61363	Helen Nasif Haddad Hutchins				Midwife				3		https://www.mideastmed.org/node/61363
60988	Ibrahim Salim Ayyub	ابراهيم ايوب	1915		Doctor	Jaffa			7		https://www.mideastmed.org/node/60988
61522	Ida Ansar				Nurse				1		https://www.mideastmed.org/node/61522
61710	Ilyas Bisharah ʻAtallah	الياس بشارة عطالله	1910		Pharmacist	Jenin			12		https://www.mideastmed.org/node/61710
61527	Jalila ʻAwwad	جليلة عواد			Nurse				1		https://www.mideastmed.org/node/61527
60960	Jubran ʻAwdah ʻAtallah	جبران عودة عطالله	1915	2000	Doctor	Jerusalem	Christian		9	https://www.mideastmed.org/sites/default/files/field/photo/image/jubran_awda_atalla.jpg	https://www.mideastmed.org/node/60960
86521	Judith Eliashberg				Nurse				2		https://www.mideastmed.org/node/86521
61692	Kamil ʻIsa Haddad	كامل عيسى حداد			Pharmacist				5		https://www.mideastmed.org/node/61692
61398	Kamilah Musa Nqula	كاملة موسى نقولا			Midwife				2		https://www.mideastmed.org/node/61398
61300	Latifa Tuza	لطيفة طوزة			Midwife				4		https://www.mideastmed.org/node/61300
61453	Lourie Ekyakchian	لوري إكياكشيان			Midwife		Armenian		4		https://www.mideastmed.org/node/61453
61491	Maryam Rizq	مريم رزق			Midwife				5		https://www.mideastmed.org/node/61491
61496	Maryam Samʿan	مريم سمعان			Midwife				5		https://www.mideastmed.org/node/61496
61143	Milada Qubti	ملادة قبطي	1897		Midwife				6		https://www.mideastmed.org/node/61143
61544	Musayan Musbah Dudar				Nurse				1		https://www.mideastmed.org/node/61544
61286	Nabiha Salama Wirr	نبيهة سلامة وير			Midwife				3		https://www.mideastmed.org/node/61286
61304	Nahil Nimr	نهيل نمر			Midwife				4		https://www.mideastmed.org/node/61304
61153	Nasima ʻAwwad	نسيمة عواد		1934	Midwife				2		https://www.mideastmed.org/node/61153
60836	Na’if Amin Hamzah	نايف أمين حمزة	1895	1977	Doctor	ʿAbey	Druze		15		https://www.mideastmed.org/node/60836
61017	Nimr ʻAbd al-Fattah Tuqan	نمر عبد الفتاح طوقان	1922	1963	Doctor	Nablus			4		https://www.mideastmed.org/node/61017
61140	Salima Shibli	سليمة شبلي	1892		Midwife				6		https://www.mideastmed.org/node/61140
60948	Sami Nimr Musallam	سامي نمر مسلم	1913		Doctor	Judaydat Marj-ʿUyun			14	https://www.mideastmed.org/sites/default/files/field/photo/image/sami_nimr_musallam.jpg	https://www.mideastmed.org/node/60948
61034	Sami Salim Khuri	سامي سالم خوري	1922		Doctor, Surgeon	Nablus	Christian		10		https://www.mideastmed.org/node/61034
61622	Saʻda Ibrahim Nassar	سعدة ابراهيم نصار			Nurse				1		https://www.mideastmed.org/node/61622
60711	Saʻid ʻAbdalla al-Dajani	سعيد عبدالله دجاني	1910		Doctor	Jaffa			9	https://www.mideastmed.org/sites/default/files/field/photo/image/said_abdalla_al-dajani.jpg	https://www.mideastmed.org/node/60711
60930	Shafiq Nasr Hana Haddad	شفيق ن. حنا حداد	1910		Doctor	Haifa			11		https://www.mideastmed.org/node/60930
61690	Tawfiq Musa Zaynun	توفيق موسى زينون	1888		Pharmacist	Roumieh			8		https://www.mideastmed.org/node/61690
61375	Victoria Yaʻqub ʻAranki	فيكتوريا يعقوب عرنكي			Midwife				3		https://www.mideastmed.org/node/61375
61216	Wadiʻa Habibi	وديعة حبيبي			Midwife				5		https://www.mideastmed.org/node/61216
61326	Warda Salfiti Ashkar	وردة سلفيتي اشكر			Midwife				3		https://www.mideastmed.org/node/61326
61421	Yvone Tawfiq Haddad	ايفون توفيق حداد			Midwife				2		https://www.mideastmed.org/node/61421
61240	Zahra Hannush	زهر ة هنوش			Midwife				4		https://www.mideastmed.org/node/61240
