issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12945341	MB	Tel-Aviv	1997-08	65	129	12945419	Seite 5	1	048258784
12845872	MB	Tel-Aviv	1975-10-10	43	39	12845876	Seite 4	1	048258784
12843633	MB	Tel-Aviv	1969-09-26	37	39	12843635	Seite 2	1	048258784
12766403	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-07-03	6	27	12741588	Seite 6	1	048258792
12935534	MB	Tel-Aviv	1984-11-23	52	45	12935539	Seite 5	1	048258784
12938438	MB	Tel-Aviv	1994-02	62	96	12938456	Seite 8	1	048258784
12892969	MB	Tel-Aviv	1973-03-09	41	10	12892987	Seite 8	1	048258784
12892499	MB	Tel-Aviv	1974-06-14	42	24	12892509	Seite 10	1	048258784
12749870	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-07-04	5	27	12741127	Seite 7	1	048258792
12663251	MB	Tel-Aviv	1945-10-26	9	43	12663253	Seite 2	1	048258784
12688578	MB	Tel-Aviv	1946-08-09	10	32	12688588	Seite 10	1	048258784
12937629	MB	Tel-Aviv	1988	56	34/35	12937661	Seite 9	1	048258784
12755943	MB	Tel-Aviv	1947-03-14	11	11	12745309	Seite 9	1	048258784
12765404	MB	Tel-Aviv	1950-06-02	14	22	12760137	Seite 6	1	048258784
12762989	MB	Tel-Aviv	1949-12-16	13	50	12758630	Seite 7	1	048258784
12662844	MB	Tel-Aviv	1945-01-05	9	1	12662853	Seite 9	1	048258784
12780189	MB	Tel-Aviv	1961-10-27	29	43	12780268	Seite 2	1	048258784
7497326	Yediʿot shel Irgun ʿOle Breslau be-Yiśraʾel	Tel-Aviv	2008		83	7413357	Seite 15	1	363669892
12762956	MB	Tel-Aviv	1949-04-12	13	15-16	12758266	Seite 14	1	048258784
12765402	MB	Tel-Aviv	1950-05-19	14	20	12760119	Seite 16	1	048258784
10407107	Jüdische Weltrundschau	Jerusalem	1939-03-17	1	Fragment Nr. 2 Einzelnummer = Pariser Ausgabe	10407085	Seite 4	1	126389322
12775416	MB	Tel-Aviv	1958-05-23	26	21	12775426	Seite 8	1	048258784
12930699	MB	Tel-Aviv	1983-09-07	51	34/35	12930878	Seite 31	1	048258784
