issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12865361	MB	Tel-Aviv	1955-09-23	23	38	12865711	Seite 3	1	MB_1955_20221022_B_1955_38
12663213	MB	Tel-Aviv	1945-09-28	9	39	12663219	Seite 6	1	048258784
12860979	MB	Tel-Aviv	1954-12-03	22	49	12860985;12860986	Seite 6;Seite 7	2	048258784
12663012	MB	Tel-Aviv	1945-05-04	9	18	12663016;12663019	Seite 4;Seite 7	2	048258784
12762868	MB	Tel-Aviv	1948-05-07	12	19	12757767	Seite 4	1	048258784
12724072	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1937-06			12723243	Seite 10	1	048258784
12935534	MB	Tel-Aviv	1984-11-23	52	45	12935541	Seite 7	1	048258784
7371048	Bericht des Hauptbüros des Keren Hajessod an den XVIII. Zionistenkongreß in Prag, August 1933, für die Jahre 5691-5693 (1931-1933)	Jerusalem				7371072;7371073	Seite 21;Seite 22	2	348354851
12762946	MB	Tel-Aviv	1949-02-04	13	5	12758148	Seite 4	1	048258784
12926980	MB	Tel-Aviv	1979-07-20	47	27	12926985	Seite 5	1	048258784
12663251	MB	Tel-Aviv	1945-10-26	9	43	12663253	Seite 2	1	048258784
12930511	MB	Tel-Aviv	1983-03-11	51	10	12930619	Seite 3	1	048258784
12688226	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1935-12			12688243	Seite 14	1	048258784
12710807	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1936-01		1	12710819	Seite 11	1	048258784
12762874	MB	Tel-Aviv	1948-06-18	12	25	12757822	Seite 5	1	048258784
12688715	MB	Tel-Aviv	1946-11-08	10	45	12688720;12688721	Seite 3;Seite 4	2	048258784
12762867	MB	Tel-Aviv	1948-04-29	12	18	12757755	[Seite]	1	048258784
12927644	MB	Tel-Aviv	1982-01-22	50	4	12927645;12927648	[Seite];Seite 4	2	048258784
12779557	MB	Tel-Aviv	1958-12-12	26	50	12779621	Seite 4	1	048258784
12892091	MB	Tel-Aviv	1972-10-20	40	42	12892097	Seite 6	1	048258784
12749824	MB	Tel-Aviv	1944-04-07	8	14	12744842	Seite 10	1	048258784
12938317	MB	Tel-Aviv	1993-12	61	94	12938422	Seite 7	1	048258784
12745776	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-03-07	5	10	12740960	Seite 3	1	048258792
12688682	MB	Tel-Aviv	1946-10-16	10	42	12688690	Seite 8	1	048258784
12727513	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1939		7	12724853	Seite 9	1	048258784
12688344	MB	Tel-Aviv	1946-03-01	10	9	12688347	Seite 3	1	048258784
12742436	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-11-08	4	44	12740789;12740797	Seite 3;Seite 11	2	048258792
12749770	MB	Tel-Aviv	1943-09-24	7	39	12744509	[Seite]	1	048258784
12742407	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-07-26	4	30	12740656	Seite 3	1	048258792
12749845	MB	Tel-Aviv	1944-08-04	8	31	12745021	Seite 2	1	048258784
12749825	MB	Tel-Aviv	1944-04-13	8	15	12744849	Seite 4	1	048258784
12762853	MB	Tel-Aviv	1948-01-23	12	4	12757606	Seite 4	1	048258784
12946133	MB	Tel-Aviv	2002-02	70	170	12946159;12946161	Seite 3;Seite 4	2	048258784
12749844	MB	Tel-Aviv	1944-07-28	8	30	12745016	Seite 8	1	048258784
12866357	MB	Tel-Aviv	1957-02-22	25	8	12865884	Seite 4	1	048258784
12930699	MB	Tel-Aviv	1983-09-07	51	34/35	12930856;12930857	Seite 9;Seite 10	2	048258784
12769072	MB	Tel-Aviv	1951-04-06	15	14	12760588	Seite 2	1	048258784
12663195	MB	Tel-Aviv	1945-09-14	9	37	12663199	Seite 4	1	048258784
12663260	MB	Tel-Aviv	1945-11-02	9	44	12663262	Seite 2	1	048258784
12765442	MB	Tel-Aviv	1950-11-27	14	47	12760391	Seite 10	1	048258784
12933363	MB	Tel-Aviv	1984-07-13	52	28	12933370	Seite 7	1	048258784
12724075	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1937-07			12723264	Seite 10	1	048258784
12663088	MB	Tel-Aviv	1945-06-29	9	26	12663098	Seite 10	1	048258784
12749787	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-05-02	5	18	12741029	Seite 2	1	048258792
12749779	MB	Tel-Aviv	1943-11-26	7	48	12744630	Seite 5	1	048258784
12712220	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1936-02		2	12710918	Seite 19	1	048258784
12836660	MB	Tel-Aviv	1964-03-13	32	11	12836662;12836667	Seite 2;Seite 7	2	048258784
12688393	MB	Tel-Aviv	1946-04-05	10	14	12688401	Seite 8	1	048258784
12849407	MB	Tel-Aviv	1952-05-16	16	19	12849410	Seite 3	1	048258784
12866979	MB	Tel-Aviv	1959-02-27	27	9	12866981;12866983	Seite 2;Seite 4	2	048258784
12688286	MB	Tel-Aviv	1946-01-18	10	3	12688294	Seite 8	1	048258784
12762888	MB	Tel-Aviv	1948-09-24	12	39	12757948	Seite 3	1	048258784
12762817	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-01-14	6	3	12741365	Seite 4	1	048258792
12867006	MB	Tel-Aviv	1959-03-20	27	12	12867013	Seite 7	1	048258784
12865327	MB	Tel-Aviv	1955-01-14	23	2	12865415;12865418	[Seite];Seite 4	2	MB_1955_20221022_B_1955_02
12662956	MB	Tel-Aviv	1945-03-23	9	12	12662959	Seite 3	1	048258784
12849389	MB	Tel-Aviv	1952-05-02	16	17	12849391	Seite 2	1	048258784
12769114	MB	Tel-Aviv	1951-12-21	15	51	12760965	Seite 9	1	048258784
12663068	MB	Tel-Aviv	1945-06-15	9	24	12663076	Seite 8	1	048258784
12762983	MB	Tel-Aviv	1949-11-04	13	44	12758557	Seite 2	1	048258784
12762980	MB	Tel-Aviv	1949-10-12	13	40-41	12758531	Seite 11	1	048258784
12663173	MB	Tel-Aviv	1945-08-31	9	35	12663179	Seite 6	1	048258784
12893828	MB	Tel-Aviv	1977-03-18	45	11	12893954	Seite 2	1	048258784
12849320	MB	Tel-Aviv	1952-03-07	16	10	12849322	Seite 2	1	048258784
12755934	MB	Tel-Aviv	1947-01-10	11	2	12745212	Seite 7	1	048258784
12765389	MB	Tel-Aviv	1950-03-24	14	12	12760020	Seite 2	1	048258784
12933345	MB	Tel-Aviv	1984-06-29	52	26	12933352	Seite 7	1	048258784
12762815	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-01-02	6	1	12741346	Seite 3	1	048258792
12762942	MB	Tel-Aviv	1949-01-07	13	1	12758105;12758108	Seite 5;Seite 8	2	048258784
12842969	MB	Tel-Aviv	1969-04-11	37	15	12842975;12842980	Seite 3;Seite 6	2	048258784
12742426	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-09-20	4	38	12740735	Seite 2	1	048258792
12762949	MB	Tel-Aviv	1949-02-25	13	8	12758183	Seite 6	1	048258784
12755933	MB	Tel-Aviv	1947-01-03	11	1	12745198	Seite 4	1	048258784
12749382	MB	Tel-Aviv	1943-09-03	7	36	12744478	Seite 9	1	048258784
12762818	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-01-23	6	4	12741375	Seite 5	1	048258792
12866366	MB	Tel-Aviv	1957-03-29	25	13	12865930	Seite 5	1	048258784
12853609	MB	Tel-Aviv	1952-08-15	20	32	12853640	Seite 2	1	048258784
12688569	MB	Tel-Aviv	1946-08-02	10	31	12688576	Seite 7	1	048258784
12755958	MB	Tel-Aviv	1947-04-11	11	15	12745350	Seite 2	1	048258784
12688724	MB	Tel-Aviv	1946-11-15	10	46	12688729	Seite 5	1	048258784
12688362	MB	Tel-Aviv	1946-03-15	10	11	12688367	Seite 5	1	048258784
12937476	MB	Tel-Aviv	1987-02	55	21	12937497	Seite 4	1	048258784
12769079	MB	Tel-Aviv	1951-05-25	15	21	12760666	Seite 5	1	048258784
12762870	MB	Tel-Aviv	1948-05-21	12	21	12757783	Seite 2	1	048258784
12849246	MB	Tel-Aviv	1952-01-25	16	4	12849268	Seite 2	1	048258784
12853421	MB	Tel-Aviv	1952-09-18	20	37	12853436	Seite 15	1	048258784
12755988	MB	Tel-Aviv	1947-10-10	11	41	12745646	Seite 3	1	048258784
12755956	MB	Tel-Aviv	1947-03-28	11	13	12745324	Seite 2	1	048258784
12755993	MB	Tel-Aviv	1947-10-24	11	43	12745669	Seite 4	1	048258784
12762961	MB	Tel-Aviv	1949-05-27	13	21	12758313	Seite 2	1	048258784
12662918	MB	Tel-Aviv	1945-02-23	9	8	12662920	Seite 2	1	048258784
12885863	MB	Tel-Aviv	1967-12-15	35	49	12885936;12885938;12885944	Seite 2;Seite 4;Seite 10	3	048258784
12766410	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-08-07	6	32	12741634	Seite 7	1	048258792
12663128	MB	Tel-Aviv	1945-07-27	9	30	12663130	Seite 2	1	048258784
12688693	MB	Tel-Aviv	1946-10-25	10	43	12688698	Seite 5	1	048258784
7411858	Yediʿot shel Irgun ʿOle Breslau be-Yiśraʾel	Tel-Aviv	1998		65	7411860;7411863;7411865	Seite 2;Seite 5;Seite 7	3	363669892
12885975	MB	Tel-Aviv	1970-02-27	38	9	12886058	Seite 2	1	048258784
12843605	MB	Tel-Aviv	1969-09-05	37	36	12843606;12843609	[Seite];Seite 4	2	048258784
12749834	MB	Tel-Aviv	1944-06-02	8	22	12744926	Seite 8	1	048258784
12769076	MB	Tel-Aviv	1951-05-04	15	18	12760633	Seite 5	1	048258784
12900085	MB	Tel-Aviv	1978-09-08	46	34	12900170	Seite 8	1	048258784
12885130	MB	Tel-Aviv	1962-07-20	30	29	12885134	Seite 4	1	048258784
12769121	MB	Tel-Aviv	1956-01-06	24	1	12766418	Seite 4	1	048258784
12762969	MB	Tel-Aviv	1949-07-22	13	29	12758407	Seite 6	1	048258784
12769097	MB	Tel-Aviv	1951-09-07	15	36	12760824	Seite 2	1	048258784
12663322	MB	Tel-Aviv	1945-12-14	9	50	12663332	Seite 10	1	048258784
12843614	MB	Tel-Aviv	1969-09-12	37	37/38	12843629	Seite 15	1	048258784
12727524	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1939-12-22			12724982	Seite 5	1	048258792
12769099	MB	Tel-Aviv	1951-09-14	15	37	12760835	Seite 4	1	048258784
12755967	MB	Tel-Aviv	1947-05-16	11	20	12745414	Seite 9	1	048258784
12755955	MB	Tel-Aviv	1947-03-21	11	12	12745319	Seite 8	1	048258784
12765397	MB	Tel-Aviv	1950-04-21	14	16	12760061	Seite 2	1	048258784
12765417	MB	Tel-Aviv	1950-07-28	14	30	12760230	Seite 7	1	048258784
12688760	MB	Tel-Aviv	1946-12-13	10	50	12688770	Seite 10	1	048258784
12945341	MB	Tel-Aviv	1997-08	65	129	12945415	[Seite]	1	048258784
12929816	MB	Tel-Aviv	1982-07-02	50	25	12929844	Seite 5	1	048258784
12853575	MB	Tel-Aviv	1952-12-26	20	51	12853577	Seite 2	1	048258784
12769152	MB	Tel-Aviv	1956-07-27	24	30	12766693	Seite 2	1	048258784
12937480	MB	Tel-Aviv	1987-07	55	26	12937551	Seite 6	1	048258784
12935571	MB	Tel-Aviv	1984-12-28	52	49	12935576	Seite 5	1	048258784
12899886	MB	Tel-Aviv	1978-06-09	46	22/23	12900067	Seite 11	1	048258784
12755957	MB	Tel-Aviv	1947-04-04	11	14	12745338	Seite III	1	048258784
12885032	MB	Tel-Aviv	1960-11-25	28	48	12885034;12885035	Seite 2;Seite 3	2	048258784
12933498	MB	Tel-Aviv	1984-09-14	52	37	12933506	Seite 8	1	048258784
12927399	MB	Tel-Aviv	1981-07-17	49	28	12927436	Seite 8	1	048258784
12938313	MB	Tel-Aviv	1993-06	61	90	12938371	Seite 7	1	048258784
12933309	MB	Tel-Aviv	1984-06-01	52	22	12933317	Seite 8	1	048258784
12762984	MB	Tel-Aviv	1949-11-11	13	45	12758572	Seite 6	1	048258784
2424668	Jüdische Weltrundschau	Jerusalem	1939-05-19	1	10	2424850	Seite 8	1	issue-35429
12937016	MB	Tel-Aviv	1985-01-18	53	3	12937049	Seite 8	1	048258784
2424667	Jüdische Weltrundschau	Jerusalem	1939-05-12	1	9	2424877	[Seite]	1	issue-35431
12937929	MB	Tel-Aviv	1990-06	58	59	12937980	Seite 2	1	048258784
12885986	MB	Tel-Aviv	1970-05-22	38	21	12886178	Seite 10	1	048258784
12866408	MB	Tel-Aviv	1957-06-21	25	25	12866069	Seite 6	1	048258784
12749816	MB	Tel-Aviv	1944-02-11	8	6	12744766	Seite 8	1	048258784
12866941	MB	Tel-Aviv	1959-01-30	27	5	12866948	Seite 7	1	048258784
12885658	MB	Tel-Aviv	1967-06-23	35	24	12885660	Seite 2	1	048258784
12865343	MB	Tel-Aviv	1955-05-20	23	20	12865550	Seite 4	1	MB_1955_20221022_B_1955_20
12892002	MB	Tel-Aviv	1972-08-04	40	30/31	12892007;12892008;12892009	Seite 5;Seite 6;Seite 7	3	048258784
12779575	MB	Tel-Aviv	1958-12-26	26	52	12779634	Seite 8	1	048258784
12762963	MB	Tel-Aviv	1949-06-10	13	23	12758338;12758342	Seite 3;Seite 7	2	048258784
12781034	MB	Tel-Aviv	1963-09-18	31	37/38	12786488	Seite 4	1	048258784
12775521	MB	Tel-Aviv	1958-09-21	26	39	12775647	Seite 2	1	048258784
12867093	MB	Tel-Aviv	1959-05-22	27	21	12867099;12867102	Seite 5;Seite 8	2	048258784
