issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12744453	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-01-17	5	3	12740899	Seite 5	1	048258792
7497286	Yediʿot shel Irgun ʿOle Breslau be-Yiśraʾel	Tel-Aviv	2005		78	7413201;7413212	Seite 9;Seite 20	2	363669892
12885971	MB	Tel-Aviv	1970-01-30	38	5	12886024	Seite 10	1	048258784
12885448	MB	Tel-Aviv	1967-02-03	35	5	12885458	Seite 10	1	048258784
12755993	MB	Tel-Aviv	1947-10-24	11	43	12745669	Seite 4	1	048258784
12688446	MB	Tel-Aviv	1946-05-10	10	19	12688456	Seite 10	1	048258784
12945616	MB	Tel-Aviv	1999-11	67	149	12945726	Seite 5	1	048258784
12840279	MB	Tel-Aviv	1965-06-25	33	26	12840281	Seite 2	1	048258784
12840539	MB	Tel-Aviv	1965-11-12	33	46	12840541	Seite 2	1	048258784
2424668	Jüdische Weltrundschau	Jerusalem	1939-05-19	1	10	2424850	Seite 8	1	issue-35429
