issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12887573	MB	Tel-Aviv	1971-06-25	39	26	12887884;12887885	Seite 6;Seite 7	2	048258784
12845476	MB	Tel-Aviv	1969-12-05	37	49	12845478	Seite 2	1	048258784
12710807	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1936-01		1	12710818;12710819;12710827	Seite 10;Seite 11;Seite 19	3	048258784
12769163	MB	Tel-Aviv	1956-10-26	24	43	12766814	Seite 2	1	048258784
12931107	MB	Tel-Aviv	1984-04-06	52	14	12931112	Seite 5	1	048258784
12837386	MB	Tel-Aviv	1964-12-18	32	51	12837388	Seite 2	1	048258784
12957522	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1934-08			12957275	Seite 6	1	048258784
12892091	MB	Tel-Aviv	1972-10-20	40	42	12892094	Seite 3	1	048258784
12769075	MB	Tel-Aviv	1951-04-26	15	17	12760621	Seite 2	1	048258784
12769131	MB	Tel-Aviv	1956-03-09	24	10	12766498	Seite 2	1	048258784
12843515	MB	Tel-Aviv	1969-06-27	37	26	12843517	Seite 2	1	048258784
12853587	MB	Tel-Aviv	1953-07-17	21	29	12853595	[Seite]	1	048258784
12769138	MB	Tel-Aviv	1956-04-27	24	17	12766568	Seite 2	1	048258784
12885636	MB	Tel-Aviv	1967-06-02	35	22	12885638	Seite 2	1	048258784
12769077	MB	Tel-Aviv	1951-05-11	15	19	12760648;12760649	Seite 9;Seite 10	2	048258784
12841752	MB	Tel-Aviv	1966-08-12	34	32	12841754	Seite 2	1	048258784
12887561	MB	Tel-Aviv	1971-03-12	39	11	12887724	Seite 2	1	048258784
12865330	MB	Tel-Aviv	1955-02-04	23	5	12865440	Seite 2	1	MB_1955_20221022_B_1955_05
12769080	MB	Tel-Aviv	1951-06-01	15	22	12760675	Seite 3	1	048258784
12765441	MB	Tel-Aviv	1950-11-17	14	46	12760374;12760376	Seite 2;Seite 4	2	048258784
12957169	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1934-08			12957262	Seite 7	1	048258784
12769106	MB	Tel-Aviv	1951-11-09	15	45	12760904;12760906	Seite 2;Seite 4	2	048258784
12775478	MB	Tel-Aviv	1958-06-27	26	26	12775506	Seite 2	1	048258784
12769078	MB	Tel-Aviv	1951-05-18	15	20	12760654	Seite 4	1	048258784
12711274	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1936-11		2	12711283	Seite 7	1	048258784
12930514	MB	Tel-Aviv	1983-04-15	51	14	12930665	Seite 8	1	048258784
12843605	MB	Tel-Aviv	1969-09-05	37	36	12843607	Seite 2	1	048258784
12843533	MB	Tel-Aviv	1969-07-11	37	28	12843535	Seite 2	1	048258784
12841719	MB	Tel-Aviv	1966-07-22	34	29	12841726	Seite 7	1	048258784
