issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12902738	MB	Tel-Aviv	1980-05-16	48	19	12902900	Seite 6	1	048258784
12773216	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-09-25	6	39	12741698	Seite 8	1	048258792
12945339	MB	Tel-Aviv	1997-06	65	127	12945395	Seite 5	1	048258784
12769122	MB	Tel-Aviv	1956-01-13	24	2	12766429	Seite 6	1	048258784
12765428	MB	Tel-Aviv	1950-10-06	14	40	12760322	Seite 4	1	048258784
12836872	MB	Tel-Aviv	1964-07-03	32	27	12836881	Seite 9	1	048258784
12885021	MB	Tel-Aviv	1960-11-18	28	47	12885030	Seite 9	1	048258784
7411686	Yediʿot shel Irgun ʿOle Breslau be-Yiśraʾel	Tel-Aviv	1988		52	7411693	Seite 7	1	363669892
2424665	Jüdische Weltrundschau	Jerusalem	1939-04-28	1	7	2424815	Seite 5	1	issue-35427
12860997	MB	Tel-Aviv	1954-12-20	22	51-52	12861008	Seite 11	1	048258784
2424675	Jüdische Weltrundschau	Jerusalem	1939-07-07	1	17	2424985	Seite 7	1	issue-35438
