issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12892338	MB	Tel-Aviv	1974-04-19	42	16	12892340	Seite 2	1	048258784
12892778	MB	Tel-Aviv	1974-10-18	42	41	12892780	Seite 2	1	048258784
12853557	MB	Tel-Aviv	1952-12-19	20	50	12853563	Seite 6	1	048258784
12945340	MB	Tel-Aviv	1997-07	65	128	12945404	Seite 2	1	048258784
12853511	MB	Tel-Aviv	1952-11-21	20	46	12853518	Seite 7	1	048258784
12853522	MB	Tel-Aviv	1952-11-28	20	47	12853530	Seite 8	1	048258784
12865327	MB	Tel-Aviv	1955-01-14	23	2	12865420	Seite 6	1	MB_1955_20221022_B_1955_02
12853533	MB	Tel-Aviv	1952-12-05	20	48	12853541	Seite 8	1	048258784
12836885	MB	Tel-Aviv	1964-07-10	32	28	12836887	Seite 2	1	048258784
12762947	MB	Tel-Aviv	1949-02-11	13	6	12758164	Seite 9	1	048258784
7489384	Yediʿot shel Irgun ʿOle Breslau be-Yiśraʾel	Tel-Aviv	1990		54	7411738	Seite 14	1	363669892
12769134	MB	Tel-Aviv	1956-03-25	24	12/13	12766534	Seite 20	1	048258784
