n	id	date	publication	title	snippet
1	wartedestempels19310330-01.1.6	30 March 1931	wartedestempels	Page 6	"<div class=""txtsearchsnippet"">... Orients. In der Poliklinik wurden 19212 Patienten behandelt. Das <b class=""highlightcolor"">Hoſpital</b> war durchſchnittlich täglich mit 50 Patienten belegt. Während die ...</div>"
2	wartedestempels19260415-01.1.5	15 April 1926	wartedestempels	Page 5	"<div class=""txtsearchsnippet"">... unter allgemeiner Wertſchätzung der verſchiedenen Konfeſſionen und Nationalitäten das <b class=""highlightcolor"">Hoſpital</b> leitet. : Das ruhige Wirken wurde durch den Krieg ...</div>"
3	wartedestempels19380331-01.1.5	31 March 1938	wartedestempels	Page 5	"<div class=""txtsearchsnippet"">... geburten. Eine deutſche Geburt mußte durch Kaiſerſchnitt im Feruſalemer <b class=""highlightcolor"">Hoſpital</b> beendet werden. An Todesfällen hatten wir nur ein deutſches ...</div>"
4	wartedestempels19320731-01.1.1	31 July 1932	wartedestempels	Page 1	"<div class=""txtsearchsnippet"">... Johanniter-Hoſpital zu erwerben und an deſſen Stelle ein neues <b class=""highlightcolor"">Hoſpital</b> mit bayeriſchen Kran—kenſchweſtern einzurichten, in Obergaliläa ein rein deutſches ...</div>"
5	wartedestempels19270930-01.1.6	30 September 1927	wartedestempels	Page 6	"<div class=""txtsearchsnippet"">... Der Arbeiter trug ſchwere Verletzungen davon uud mußte ins <b class=""highlightcolor"">Hoſpital</b> überführt werden. Die Altſtadt Jeruſalems ſoll im Alten Zu—ſtand ...</div>"
6	wartedestempels19290101-01.1.3	1 January 1929	wartedestempels	Page 3	"<div class=""txtsearchsnippet"">... . .. . 178 Britiſche Polizei — 157 Diakoniſſen <b class=""highlightcolor"">Hoſpital,</b> Jeruſalenm. . ... . .. 32 Ein· und Auswanderung. ...</div>"
7	wartedestempels19371115-01.1.8	15 November 1937	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... 50 Stichen zunähte. Herr Weiß liegt noch immer im <b class=""highlightcolor"">Hoſpital,</b> doch beſteht keine Lebensgefahr mehr. Dem arabiſchen Volk war ...</div>"
8	wartedestempels19390331-01.1.8	31 March 1939	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... John iſt am 15. März 1939 im Deutſchen Diakoniſſen~ <b class=""highlightcolor"">hoſpital</b> zu Jeruſalem im Alter von 71 Jahren und beinahe ...</div>"
9	wartedestempels19260315-01.1.8	15 March 1926	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">für das <b class=""highlightcolor"">Hoſpital</b> in Jaffa: vom Frauenverein der Gemeinde Tempelfeld, Gypſum, Kanſas ...</div>"
10	wartedestempels19310515-01.1.3	15 May 1931	wartedestempels	Page 3	"<div class=""txtsearchsnippet"">... Th. Wieland, der Leiterin des Frauenvereins Jaffa, in das <b class=""highlightcolor"">Hoſpital</b> begleitete, während Dr. Allen mit Frau Hardegg in ihr ...</div>"
11	wartedestempels19311115-01.1.8	15 November 1931	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... Alter von nicht ganz 22 Jahren im Deutſchen F <b class=""highlightcolor"">Hoſpital</b> in Jeruſalem ſanft entſchlafen iſt. : In tiefer Trauer: ...</div>"
12	wartedestempels19250930-01.1.7	30 September 1925	wartedestempels	Page 7	"<div class=""txtsearchsnippet"">... weigern, ihre anſteckende Krankheit in Iſolierung und Behandlung im <b class=""highlightcolor"">Hoſpital</b> auf eigene Rechnung zu bekämpfen,</div>"
13	wartedestempels19290115-01.1.8	15 January 1929	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... will in Jeruſalem in der Nähe des Bahnhofs ein <b class=""highlightcolor"">Hoſpital</b> errichten, deſſen Baukoſten auf 2600 Pfund veranſchlagt werden. Vom ...</div>"
14	wartedestempels19261130-01.1.8	30 November 1926	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... tot und total zerriſſen, das dritte ſtarb ſpäter im <b class=""highlightcolor"">Hoſpital.</b> Man nimmt an, daß es ſich bei dem gefundenen ...</div>"
15	wartedestempels19291130-01.1.8	30 November 1929	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... Herrmann am 16. November 4.40 Uhr morgens im deut—ſchen <b class=""highlightcolor"">Hoſpital</b> in Jaffa geſtorben iſt. Eine Darmoperation, der ſie ſich ...</div>"
16	wartedestempels19370731-01.1.4	31 July 1937	wartedestempels	Page 4	"<div class=""txtsearchsnippet"">... daß die freiwilligen Beiträge die notwendigen Ausgaben für Schulen, <b class=""highlightcolor"">Hoſpital,</b> Leitung uſw. nicht deckten.</div>"
17	wartedestempels19261115-01.1.8	15 November 1926	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... Alter von 77 Jahren nach kurzer Krankheit im Deutſchen <b class=""highlightcolor"">Hoſpital</b> in Haifa ſanft entſchlafen iſt. Im Namen der trauernden ...</div>"
18	wartedestempels19260415-01.1.1	15 April 1926	wartedestempels	Page 1	"<div class=""txtsearchsnippet"">... Liebe in der Freundſchaft. Inflationszeit. Sünde und Tod. Deutſches <b class=""highlightcolor"">Hoſpital</b> der Borromäerinnen in Haifa (Paläſtina). An Bord des jüdiſchen ...</div>"
19	wartedestempels19270915-01.1.8	15 September 1927	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... der ganzen Kolonie verteilt wird. — Auch das Deutſche <b class=""highlightcolor"">Hoſpital</b> hat ſich moderniſiert, indem es neuerdings mit elektriſcher Lichteinrichtung ...</div>"
20	wartedestempels19390715-01.1.7	15 July 1939	wartedestempels	Page 7	"<div class=""txtsearchsnippet"">... erwähnen. 2 ältere deutſche Frauen kamen mit Schlaganfällen in <b class=""highlightcolor"">Hoſpital~</b> behandlung, von denen eine als einziger Todesfall des Jahres ...</div>"
21	wartedestempels19390415-01.1.6	15 April 1939	wartedestempels	Page 6	"<div class=""txtsearchsnippet"">... Hoch—zeiten und vermehrte Kinderfreudigkeit. Dr. O. Rubitſchung, Faffa Deutſches <b class=""highlightcolor"">Hoſpital</b> (aus dem „Deutſchen Ärzteblatt“ vom 4.3. 1939</div>"
22	wartedestempels19280229-01.1.8	29 February 1928	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">Im deutſchen <b class=""highlightcolor"">Hoſpital</b> in Jeruſalem wurden laut einem Bericht im „Evangel. Gemeindeblatt ...</div>"
23	wartedestempels19300515-01.1.8	15 May 1930	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... botaniſcher Garten angelegt werden. Anläßlich der Beerdigung einer im <b class=""highlightcolor"">Hoſpital</b> verſtorbenen Kommuniſtin kam es in Jeruſalem am 16. April ...</div>"
24	wartedestempels19281215-01.1.2	15 December 1928	wartedestempels	Page 2	"<div class=""txtsearchsnippet"">... der nördlichen Vorſtadt Kairos, Schubra, in das ehemalige öſterreichiſch-ungariſche <b class=""highlightcolor"">Hoſpital</b> überführt wurden, wo es an den für Schulzwecke nötigen ...</div>"
25	wartedestempels19320831-01.1.8	31 August 1932	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... Zeit Vermeſſungen ſtatt. Die jüdiſche Krankenkaſſe hat beſchloſſen, ihr <b class=""highlightcolor"">Hoſpital</b> in der Jesreelebene, deſſen Unterhaltungskoſten zur Hälfte von den ...</div>"
26	wartedestempels19370731-01.1.12	31 July 1937	wartedestempels	Page 12	"<div class=""txtsearchsnippet"">... (Schulhaus). 6. Zwei Bauplätze in Feruſalem. ; 7. Das <b class=""highlightcolor"">Hoſpital</b> in Jaffa. Durch die Kaiſerreiſe im Herbſt 1898 war ...</div>"
27	wartedestempels19270331-01.1.7	31 March 1927	wartedestempels	Page 7	"<div class=""txtsearchsnippet"">... werden, rund L.E. 200000 koſten und eine Schule, ein <b class=""highlightcolor"">Hoſpital,</b> ein Hoſpiz und einen Konzertſaal enthalten. Die Baugelder wurden ...</div>"
