n	id	date	publication	title	snippet
1	pressecho19390721-01.1.5	21 July 1939	pressecho	Page 5	"<div class=""txtsearchsnippet"">... teilung für ®EXrholungs- u.Diätkuren Aerztliche Leitung: Dr.Joseph Prager, ' <b class=""highlightcolor"">Haifa</b> Dr.Walter Kohner früher Karlsbad, Jjetzt ‘ Haus Wollatein, SPEZIALITAEZT:: ...</div>"
2	pressecho19390714-01.1.5	14 July 1939	pressecho	Page 5	"<div class=""txtsearchsnippet"">... der familiären Note eines harmo= nischen Milieus.7rei von jeder <b class=""highlightcolor"">Krankenhaus=</b> Atmosphäre., doch unter ärztlicher Leitung und individueller Diätkontrolle,. ermöglicht ...</div>"
3	pressecho19380204-01.1.5	4 February 1938	pressecho	Page 5	"<div class=""txtsearchsnippet"">... unannehmbar bezeichnete Bedingung,dass die Zeahl äder Betten im alten <b class=""highlightcolor"">Krankenhaus</b> (3o0o) ent - sprechend reduziert wird,sodass überhaupt keine Erhöhung ...</div>"
4	pressecho19380513-01.1.2	13 May 1938	pressecho	Page 2	"<div class=""txtsearchsnippet"">In der vegangenen Woche starb in einem Berliner <b class=""highlightcolor"">Krankenhaus</b> als Märtyrer des wahrhaft demokratischen,pazifistischen Deutschlanäds Carl v.Ossietzky.Ossietzky ist ...</div>"
5	pressecho19390728-01.1.4	28 July 1939	pressecho	Page 4	"<div class=""txtsearchsnippet"">... Wn . p X 8 l 1213 DP'1DIC | <b class=""highlightcolor"">HAIFA</b> k . @s Dr Cormmel JSomonornuum 10941 ; \ ...</div>"
6	pressecho19380715-01.1.4	15 July 1938	pressecho	Page 4	"<div class=""txtsearchsnippet"">... die Zahl der CDfer aus den einzelnen Terrorakten ın <b class=""highlightcolor"">Haifa</b> und Jerusalem, in Tel Aviv-Jaffa, in Tiberias und auf ...</div>"
7	pressecho19410228-01.1.16	28 February 1941	pressecho	Page 16	"<div class=""txtsearchsnippet"">... als Stumme, wenn auch um eine Lebenserfahrung reicher, im <b class=""highlightcolor"">Krankenhaus</b> die Besinnung wieder erlangen. Pathetischer sind die _ Witwenverbrennungen, ...</div>"
8	pressecho19390421-01.1.21	21 April 1939	pressecho	Page 21	"<div class=""txtsearchsnippet"">... anderen Morgen wurden 6 von den Opfern in das <b class=""highlightcolor"">Krankenhaus</b> in Bratislawa und einer in d4e Irrenanstalt überführt. ‘ ...</div>"
9	pressecho19400920-01.1.18	20 September 1940	pressecho	Page 18	"<div class=""txtsearchsnippet"">Dr.Israel Waldmann starb Donnerstag Nachmittag im Jerusalermer Hadassah <b class=""highlightcolor"">Krankenhaus,</b> von wo aus heute Vormittag die Seisetzung auf dem ...</div>"
10	pressecho19410516-01.1.3	16 May 1941	pressecho	Page 3	"<div class=""txtsearchsnippet"">... Handauflegen usw. und er - hat in Dresden ein <b class=""highlightcolor"">Krankenhaus</b> errichtet, in dem die Heilung auf Wegen versucht wird, ...</div>"
11	pressecho19410606-01.1.12	6 June 1941	pressecho	Page 12	"<div class=""txtsearchsnippet"">... ausführt, einfach und klar: „Eine Strasse, eine Kirche, ein <b class=""highlightcolor"">Krankenhaus</b> oder eine Kraftstation, die von Bomben getroffen sind, stellen ...</div>"
12	pressecho19411128-01.1.16	28 November 1941	pressecho	Page 16	"<div class=""txtsearchsnippet"">... Nassau gebracht, wo sie die nächsten drei Monate im <b class=""highlightcolor"">Krankenhaus</b> blieben. Jeder! von ihnen hatte auf der Fahrt 75 ...</div>"
