n	id	date	publication	title	snippet
1	difaa19410117-01.1.2	17 January 1941	difaa	Page 2	"<div class=""txtsearchsnippet"">... الخليل الى بئر السبع ۷۰ ملا. ومن الاقدس الى <b class=""highlightcolor"">حيفا</b> ۲۵۰ ملا ومن القدس | الى الناصرة فطير يا ...</div>"
2	difaa19410120-01.1.2	20 January 1941	difaa	Page 2	"<div class=""txtsearchsnippet"">شفاء | رئيس المركزية | يغادر <b class=""highlightcolor"">المستشفى الحكومي</b> في يافا صباح اليوم المستر كرا سال رئيس ...</div>"
3	difaa19410819-01.1.2	19 August 1941	difaa	Page 2	"<div class=""txtsearchsnippet"">تجعل المسافة بالسيارة بين <b class=""highlightcolor"">حيفا</b> ويافا ٩٥ كيلو متراً عن طريق الساحل بعد أن ...</div>"
4	difaa19410225-01.1.2	25 February 1941	difaa	Page 2	"<div class=""txtsearchsnippet"">... المدينة قابل المستر بلت مدير ا الجمارك العام في <b class=""highlightcolor"">حيفا</b> وبحث معه . شكلة استيراد الارز المصري وقلة كمياته ...</div>"
5	difaa19370630-01.1.2	30 June 1937	difaa	Page 2	"<div class=""txtsearchsnippet"">... ان يحصلوا على بطاقات الدعوة من النقابات الاربع في <b class=""highlightcolor"">حيفا</b> ونابلس ويافا والقدس .</div>"
6	difaa19380708-01.1.4	8 July 1938	difaa	Page 4	"<div class=""txtsearchsnippet"">... للمحافظة على الامن وقد عقد اجتماع من حاكم لواء <b class=""highlightcolor"">حيفا</b> والعامرة ومدير البوليس وبعض كبار الموظفين لبحث حالة المدينة ...</div>"
7	difaa19410916-01.1.2	16 September 1941	difaa	Page 2	"<div class=""txtsearchsnippet"">... ابو حلاوة بصورة اشتبه بهار حال البوليس وقد ادخل <b class=""highlightcolor"">المستشفى الحكومي</b> بيافا منذ مدة لمعالجته من جراح اصيب بها ...</div>"
8	difaa19420622-01.1.3	22 June 1942	difaa	Page 3	"<div class=""txtsearchsnippet"">اموال غير منقولة لدى محكمة صلح <b class=""highlightcolor"">حيفا</b> في القضية الصلحية رقم ٥١١٦-٤١ يعلن بهذا انه اعطيت ...</div>"
9	difaa19370614-01.1.3	14 June 1937	difaa	Page 3	"<div class=""txtsearchsnippet"">السفر كل يوم من <b class=""highlightcolor"">حيفا</b> ويافا وتل أبيب والقدس الى بور سعيد والقاهرة والاسكندرية. ...</div>"
10	difaa19381207-01.1.4	7 December 1938	difaa	Page 4	"<div class=""txtsearchsnippet"">... يعثر على اي جريح فيها في الساعة الخامسة - <b class=""highlightcolor"">حيفا</b> والنصف من مساء امس اطلقت العيارات</div>"
11	difaa19361123-01.1.5	23 November 1936	difaa	Page 5	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">حيفا</b> ـ شكا البنا السيد ابراهيم عارف بك أنه ينما ...</div>"
12	difaa19360504-01.1.4	4 May 1936	difaa	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">حيفا</b></div>"
13	difaa19380424-01.1.4	24 April 1938	difaa	Page 4	"<div class=""txtsearchsnippet"">اصابة بهوديين <b class=""highlightcolor"">حيفا</b> في ١٣ نيسان - لمراسل الدفاع الخاص : اطلقت ...</div>"
14	difaa19380714-01.1.4	14 July 1938	difaa	Page 4	"<div class=""txtsearchsnippet"">... فلسطين - قائلا انني مستاء جداً لما وقع في <b class=""highlightcolor"">حيفا</b> والقدس وقد ارسلت معرباً عن ذلك احتجاجاً الى المندوب ...</div>"
15	difaa19451120-01.1.3	20 November 1945	difaa	Page 3	"<div class=""txtsearchsnippet"">... شقيقه سمير باشا الرفاعي رئيس الوزارة الاردنية السابق في <b class=""highlightcolor"">حيفا</b> . وقد سافر السيد عبد المنعم الى عمان بعد ...</div>"
16	difaa19380803-01.1.5	3 August 1938	difaa	Page 5	"<div class=""txtsearchsnippet"">لمنكوبي <b class=""highlightcolor"">حيفا</b> جاءنا مايلي : ورد الى صندوق الجنة الاسعاف التبرعات ...</div>"
17	difaa19380719-01.1.4	19 July 1938	difaa	Page 4	"<div class=""txtsearchsnippet"">لجنة اسعاف المنكوبين فى <b class=""highlightcolor"">حيفا</b></div>"
18	difaa19370611-01.1.3	11 June 1937	difaa	Page 3	"<div class=""txtsearchsnippet"">... الله وسيصل غداً وفد من بيت الامارة للسفر الى <b class=""highlightcolor"">حيفا</b> من نشرة دائرة الامن العام طبريا - اخبر الصف ...</div>"
19	difaa19420329-01.1.2	29 March 1942	difaa	Page 2	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">حيفا</b> - جرت يوم الخميس الماضي حفلة قران المستر بطرس ...</div>"
20	difaa19400820-01.1.2	20 August 1940	difaa	Page 2	"<div class=""txtsearchsnippet"">... اراضي تل يونس قرب مستعمرة بات يام فنقل إلى <b class=""highlightcolor"">المستشفى الحكومي</b> بيافا لمعرفة اسباب الوفاة . ويؤخذ من النقر ...</div>"
21	difaa19420923-01.1.3	23 September 1942	difaa	Page 3	"<div class=""txtsearchsnippet"">... للمدارس الاميرية و عبد الله جبران ضابط الزراعة في <b class=""highlightcolor"">حيفا</b> . وقد اجتمعت اللجنة في المدرسة الرشيدية وانتخبت خمسة ...</div>"
22	difaa19380803-01.1.8	3 August 1938	difaa	Page 8	"<div class=""txtsearchsnippet"">ظهر اليوم بينما كان باس يهودي آنيا من <b class=""highlightcolor"">حيفا</b> الى طبريا و موصوله الى مكان قريب من دكان ...</div>"
23	difaa19400305-01.1.3	5 March 1940	difaa	Page 3	"<div class=""txtsearchsnippet"">رسالة <b class=""highlightcolor"">حيفا</b> التلفونية ( (م</div>"
24	difaa19380705-01.1.5	5 July 1938	difaa	Page 5	"<div class=""txtsearchsnippet"">... في بناء مسلخ جديد في قرية شفاعمرو في قضاء <b class=""highlightcolor"">حيفا</b> وهو يبعد مسافة كيلو مترين غربي اماكن السكن ، ...</div>"
25	difaa19400404-01.1.6	4 April 1940	difaa	Page 6	"<div class=""txtsearchsnippet"">... لها جراحاً بالغة وقد توفى الأول ونقل الثاني الى <b class=""highlightcolor"">المستشفى الحكومي</b> بمكا بحالة خطرة وباشر البوليس التحقيق</div>"
26	difaa19370506-01.1.2	6 May 1937	difaa	Page 2	"<div class=""txtsearchsnippet"">... لي المتهم : اريد منك ان تذهب لأجلى الى <b class=""highlightcolor"">حيفا</b> المسألة ضرورية جداً وهى تختص بعلاقتي برجل اسمه دفنشي ...</div>"
27	difaa19420515-01.1.3	15 May 1942	difaa	Page 3	"<div class=""txtsearchsnippet"">رسالة <b class=""highlightcolor"">حيفا</b> التلفونية</div>"
28	difaa19371129-01.1.5	29 November 1937	difaa	Page 5	"<div class=""txtsearchsnippet"">بلدية <b class=""highlightcolor"">حيفا</b> يطرح في المناقصة انشاء مرحاض عمومي في حديقة بنيامين ...</div>"
29	difaa19401230-01.1.2	30 December 1940	difaa	Page 2	"<div class=""txtsearchsnippet"">... تل ابيب الذي مات في حادث سيارة على طريق <b class=""highlightcolor"">حيفا،</b> ظهر أمس وتفصيل الحادث ان الادون هوز كان قادما ...</div>"
30	difaa19410316-01.1.3	16 March 1941	difaa	Page 3	"<div class=""txtsearchsnippet"">... القاصرين ديب و منصور اولاد نعيم بطرس مباريكي من <b class=""highlightcolor"">حيفا</b> بموجب قرار صادر من محكمة مركزية <b class=""highlightcolor"">حيفا</b> مؤرخ بهذا ...</div>"
31	difaa19370326-01.1.3	26 March 1937	difaa	Page 3	"<div class=""txtsearchsnippet"">... . ضحية القنبلة الائمة في حادث القدس توفي في <b class=""highlightcolor"">المستشفى الحكومي</b> بالقدس بعد ظهر اليوم المرحوم الحاج جمال عثمان ...</div>"
32	difaa19360414-01.1.4	14 April 1936	difaa	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">حيفا</b></div>"
33	difaa19400419-01.1.4	19 April 1940	difaa	Page 4	"<div class=""txtsearchsnippet"">| انتهى اجتماع الغرفة التجارية اليهودية في <b class=""highlightcolor"">حيفا</b> باتخاذ القرارات الاتية ا - يحتج المجتمعون لدى الحكومة ...</div>"
34	difaa19401105-01.1.3	5 November 1940	difaa	Page 3	"<div class=""txtsearchsnippet"">بيع اموال منقولة صادر من دائرة اجراء <b class=""highlightcolor"">حيفا</b> بالقضية الاجرائية رقم ٤٠٤٢١٨ والمشتركة بالحجز الجاري : ادهم ...</div>"
35	difaa19380628-01.1.5	28 June 1938	difaa	Page 5	"<div class=""txtsearchsnippet"">رسالة <b class=""highlightcolor"">حيفا</b> التلفونية</div>"
36	difaa19360824-01.1.5	24 August 1936	difaa	Page 5	"<div class=""txtsearchsnippet"">... اصابات واختفى المجهولون تجديد احد ابعاد قال مراسلنا في <b class=""highlightcolor"">حيفا</b> : تلقى السيد صبحي عبد الخالق امر جديد آمن ...</div>"
37	difaa19410601-01.1.2	1 June 1941	difaa	Page 2	"<div class=""txtsearchsnippet"">... ١٢٥٠ طناً من السكر الناعم التي استوردتها مؤخراً من <b class=""highlightcolor"">حيفا</b> الجميع الالوية في فلسطين ، وستوزع على تجار الجملة ...</div>"
