disease	press_date	days_after_surge
diphtheria	1947-10-21	36
diphtheria	1947-10-22	37
diphtheria	1947-10-23	38
diphtheria	1947-10-29	44
influenza	1937-03-09	115
malaria	1938-09-16	34
plague	1944-04-20	-111
plague	1944-07-05	-35
plague	1944-07-11	-29
plague	1944-07-18	-22
plague	1944-07-21	-19
plague	1944-08-15	6
plague	1944-08-18	9
plague	1944-08-24	15
plague	1944-08-25	16
plague	1944-08-26	17
plague	1944-09-03	25
plague	1944-09-05	27
plague	1944-09-07	29
plague	1944-09-08	30
plague	1944-09-11	33
plague	1944-09-13	35
plague	1944-09-22	44
plague	1944-09-24	46
plague	1944-09-25	47
plague	1944-09-26	48
plague	1944-10-12	64
plague	1944-10-21	73
plague	1944-10-22	74
plague	1944-10-24	76
plague	1944-10-26	78
plague	1944-10-31	83
plague	1944-11-02	85
plague	1944-11-05	88
plague	1944-11-10	93
plague	1944-11-12	95
plague	1944-11-18	101
typhoid	1935-04-27	-45
typhoid	1935-05-20	-22
typhoid	1935-06-11	0
typhus	1937-01-09	103
typhus	1937-05-02	-111
typhus	1937-06-08	-74
typhus	1938-05-21	-18
typhus	1939-11-30	65
typhus	1940-01-07	103
typhus	1944-03-31	5
