n	id	date	publication	title	snippet
1	plb19310717-01.2.12	17 July 1931	plb	From The Official Gazette	"<div class=""txtsearchsnippet"">... , Director . S . Slitzan , Esq . <b class=""highlightcolor"">Haifa</b> . Managing : Di- . rector N . Wilbush ...</div>"
2	plb19321018-01.2.29	18 October 1932	plb	j CAR ACCIDENT	"<div class=""txtsearchsnippet"">_£ t <b class=""highlightcolor"">Haifa</b> ,. voyed to the <b class=""highlightcolor"">Government Hospital</b> wounded in the ...</div>"
3	plb19320712-01.2.4	12 July 1932	plb	fliiray 11 ! zra	"<div class=""txtsearchsnippet"">TRESPASSER SHOT <b class=""highlightcolor"">Haifa</b> , Monday . — Yesterday afternoon a number of ...</div>"
4	plb19320324-01.2.14	24 March 1932	plb	JEWISH HEALTH BOARD Miss Szold As Chairman	"<div class=""txtsearchsnippet"">... committee . With regard to the Hadassah Hospital at <b class=""highlightcolor"">Haifa</b> , it was decided to uYge the Government to ...</div>"
5	plb19320922-01.2.29	22 September 1932	plb	CRITICALLY INJURED QUARRY WORKER	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b> , Wednesday , T- Zeidan Ah- י to the ...</div>"
6	plb19310827-01.2.22	27 August 1931	plb	Rest Of The _News X	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b> , Wednesday . — Villagers ? fircdf , it ...</div>"
7	plb19311102-01.2.8	2 November 1931	plb	Echo 01 Vadiur Attach	"<div class=""txtsearchsnippet"">... women the murderous attack in April last on a <b class=""highlightcolor"">Haifa</b> , Sunday . — A tragic sequel to v ...</div>"
8	plb19310616-01.2.7	16 June 1931	plb	":- _"" ? : A י י JJU '~ י ""( Arabs To Cease "" :. Work To-morrow :"	"<div class=""txtsearchsnippet"">... Zaki Pasha for comment . _, REFEREE KILLED , <b class=""highlightcolor"">Haifa</b> , Monday . — Moshe _Ginzburg , the Hapoel ...</div>"
9	plb19320829-01.2.29	29 August 1932	plb	tm W ₪ m	"<div class=""txtsearchsnippet"">_VICE-MAYOR DIES FATHER OF <b class=""highlightcolor"">HAIFA</b> ral was held to-day , and a large was ...</div>"
10	plb19260328-01.2.5	28 March 1926	plb	י 1 • 1 י W _* _M ARABS MAY _STRlkl ON DE _JOUVENEL'S ARRIVAL	"<div class=""txtsearchsnippet"">LINE <b class=""highlightcolor"">HAIFA</b> , March 28 ( P . T . A ...</div>"
11	plb19320726-01.2.11	26 July 1932	plb	ESDRAELON DIFFICULTIES	"<div class=""txtsearchsnippet"">... addition to the three cases of • to the <b class=""highlightcolor"">Government Hospital</b> in j The two adults were conveyed Kfar ...</div>"
12	plb19320413-01.2.29	13 April 1932	plb	men _IMISSIODBF irah _Ewtiue _lnteruieuis	"<div class=""txtsearchsnippet"">... the Bu lgaria , the Levant Fair , left <b class=""highlightcolor"">Haifa</b> on the leftirning from the Maccabead and few days ...</div>"
13	plb19310724-01.2.5	24 July 1931	plb	His Excellency Going North	"<div class=""txtsearchsnippet"">... He will attend thc . race meeting there FREEING <b class=""highlightcolor"">HAIFA</b> BAY FROM MALARIA <b class=""highlightcolor"">Haifa</b> , Thursday . — On ...</div>"
14	plb19320802-01.2.19	2 August 1932	plb	Serious Gar smash	"<div class=""txtsearchsnippet"">... removed from under thc car aiid conveyed to thc <b class=""highlightcolor"">Government Hospital</b> . His condition was said to be serious ...</div>"
15	plb19320110-01.2.18	10 January 1932	plb	M End Crimes	"<div class=""txtsearchsnippet"">... salem , is stated to be dangerous . the <b class=""highlightcolor"">Government Hospital</b> at Jeru ( From Our Correspondent ) Fatal ...</div>"
16	plb19320902-01.2.33	2 September 1932	plb	Case against issa _Dwell	"<div class=""txtsearchsnippet"">... was picious of the movements of Subhi Customs-house , <b class=""highlightcolor"">Haifa</b> , were sus- day after midnight , guards at ...</div>"
17	plb19320410-01.2.23	10 April 1932	plb	SuburbShots In Jerusalem	"<div class=""txtsearchsnippet"">PALESTINE orning s . s . Satumia arrived with <b class=""highlightcolor"">Haifa</b> , Saturday . — On Friday • _America . ...</div>"
18	plb19310823-01.2.21	23 August 1931	plb	"_"" _*®^ pite _^ o-day"	"<div class=""txtsearchsnippet"">... Mliny aflembers c has issued a number of pain- <b class=""highlightcolor"">Haifa</b> , Saturday . — The Moslem Asso- <b class=""highlightcolor"">HAIFA</b> ORDERED ...</div>"
19	plb19301207-01.2.7	7 December 1930	plb	Einstein On Great Britain	"<div class=""txtsearchsnippet"">BEDOUIN SQUATTERS ATTACK ARAB FARMERS <b class=""highlightcolor"">Haifa</b> , Saturday . — A fight broke out to-day ...</div>"
20	plb19320710-01.2.16	10 July 1932	plb	_mr Hospital Met	"<div class=""txtsearchsnippet"">... of the Emek . ous expense . tions in <b class=""highlightcolor"">Haifa</b> is entailing enorm- maternity cases in private institu- Arrangement ...</div>"
21	plb19300204-01.2.10	4 February 1930	plb	Jerusalem Canonry	"<div class=""txtsearchsnippet"">... in the alternative a fine of LP . _25 <b class=""highlightcolor"">Haifa</b> _appealed agaimst ! _sentence of three months Raga ! ...</div>"
22	plb19320915-01.2.6	15 September 1932	plb	_fiuard mardered a ( Haifa	"<div class=""txtsearchsnippet"">_fiuard mardered a ( <b class=""highlightcolor"">Haifa</b></div>"
23	plb19291210-01.2.20	10 December 1929	plb	_LUDWIG'S ONE HEBREW WORD	"<div class=""txtsearchsnippet"">... rioters found _guilty of murder . 23 UNEMPLOYED IN <b class=""highlightcolor"">HAIFA</b> the report of the Workers Coun- • Accordig to ...</div>"
24	plb19320928-01.2.10	28 September 1932	plb	Genu Agreement _idn _sauds oniciais	"<div class=""txtsearchsnippet"">... a ed AI Jamia Al Islamia that passed through <b class=""highlightcolor"">Haifa</b> , have inform- Saud s Government , who have ...</div>"
25	plb19301010-01.2.5	10 October 1930	plb	Palestine Labour And	"<div class=""txtsearchsnippet"">... here was a fatal , ־ milted ? to <b class=""highlightcolor"">Government Hospital</b> . 1 lce headquarters and subsequentily aJ- blood ...</div>"
26	plb19320605-01.2.9	5 June 1932	plb	Kin g ' s Binimau	"<div class=""txtsearchsnippet"">... . ( Civil ) Miss Emily Dickin , Matron <b class=""highlightcolor"">Government Hospital</b> , Jerusalem , and Miss F . I ...</div>"
27	plb19310731-01.2.2	31 July 1931	plb	In Nablus Arabs Meeting	"<div class=""txtsearchsnippet"">... discuSs the tables left for Nablus to-day to attend <b class=""highlightcolor"">Haifa</b> , Thursday . — Many Arab no- • colonies ...</div>"
28	plb19301221-01.2.18	21 December 1930	plb	Cabinet—Zionist Discussion Adjourned	"<div class=""txtsearchsnippet"">... with the English demonstration farm . GRUESOME MURDER IN <b class=""highlightcolor"">HAIFA</b></div>"
29	plb19311120-01.2.15	20 November 1931	plb	8 _BPiiisti Police _Oliicers 10 to . _'Olfl Stagers' 01 ine Force	"<div class=""txtsearchsnippet"">... Moussa of Sclfit village near Nablus is in the <b class=""highlightcolor"">Government Hospital</b> in a serious condition as a result of ...</div>"
30	plb19300109-01.2.7	9 January 1930	plb	Accident Injured In Jerusalem Three British Police	"<div class=""txtsearchsnippet"">... and the policeman were thrown oa taken to the <b class=""highlightcolor"">Government Hospital</b> . The car tur- ed in injuries to ...</div>"
31	plb19310610-01.2.21	10 June 1931	plb	One Mil Moral Damages	"<div class=""txtsearchsnippet"">VILLAGE WOMAN STABBED <b class=""highlightcolor"">Haifa</b> . — Abdullah _Mahmjid Hamdaii of Beisan , who ...</div>"
32	plb19310105-01.2.6	5 January 1931	plb	Released Four Riot Criminals	"<div class=""txtsearchsnippet"">... terms of im- the High Commissioner , four prisoners <b class=""highlightcolor"">Haifa</b> , . Sunday . — By order of H ...</div>"
33	plb19320318-01.2.25	18 March 1932	plb	Public Security ii J ine norm	"<div class=""txtsearchsnippet"">... MEMORANDUM TO GOVERNMENT 1 ( From Our Correspondent ) <b class=""highlightcolor"">Haifa</b> , Thursday . — A memorandum on the state ...</div>"
34	plb19300825-01.2.21	25 August 1930	plb	An Important Meeting m Nazareth	"<div class=""txtsearchsnippet"">... closed its doors for one day . CARS SEARCHED <b class=""highlightcolor"">Haifa</b> , Sunday . — Cars going to the villages ...</div>"
35	plb19310301-01.2.22	1 March 1931	plb	j Galled _iffrafe _Congress Must Be	"<div class=""txtsearchsnippet"">... was lini and Christian politicians participat- was held |»| <b class=""highlightcolor"">Haifa</b> , at which many Mus- On Friday afternoon a ...</div>"
36	plb19310909-01.2.26	9 September 1931	plb	Jamaal Kassam in The Witness BOH	"<div class=""txtsearchsnippet"">... and welcomed the delegates at thc employed at the <b class=""highlightcolor"">Government Hospital</b> at The witness told thc Court that he ...</div>"
37	plb19310706-01.2.22	6 July 1931	plb	The Herzl Room Obened	"<div class=""txtsearchsnippet"">... him unconscious . The victim was brought to the <b class=""highlightcolor"">Government Hospital</b> , Jerusalem . His condition is serious . ...</div>"
38	plb19310715-01.2.27	15 July 1931	plb	Sunken Films Found	"<div class=""txtsearchsnippet"">... July 1 . salvage to-day the remaining two cases <b class=""highlightcolor"">Haifa</b> , • Mr . Aziz , a Beirut agent ...</div>"
39	plb19311111-01.2.20	11 November 1931	plb	British _oruciai mm	"<div class=""txtsearchsnippet"">at the British War Cemetery alt <b class=""highlightcolor"">Haifa</b> . Thene will be a service this morning and ...</div>"
40	plb19320428-01.2.21	28 April 1932	plb	in Jerusalem famous Artist flour	"<div class=""txtsearchsnippet"">... states that on STABBED TO DEATH Bat Galim , <b class=""highlightcolor"">Haifa</b> , and capsized . Se- Tuesday was caught in ...</div>"
41	plb19311118-01.2.22	18 November 1931	plb	י * ־ י י י * . הי ?** , ־ Pollceaan in Alleged initmr	"<div class=""txtsearchsnippet"">hour after admission . the <b class=""highlightcolor"">Government Hospital</b> but died an The victim was taken immediately ...</div>"
42	plb19290722-01.2.6	22 July 1929	plb	PALESTINE FROM DAY TO DAY	"<div class=""txtsearchsnippet"">... well han Property Tax Ordinance , 1928 , to <b class=""highlightcolor"">Haifa</b> , Nab- Government regarding the application of the Ur- ...</div>"
43	plb19300902-01.2.12	2 September 1930	plb	HOW MOTHERS' LIVES ARE SAVED	"<div class=""txtsearchsnippet"">British Section of the <b class=""highlightcolor"">Government Hospital</b> , and there were 8 confinements . Appendicitis ...</div>"
44	plb19300704-01.2.8	4 July 1930	plb	From Dan To Beersheba	"<div class=""txtsearchsnippet"">... . The ? first six were trained at the <b class=""highlightcolor"">Government Hospital</b> , the next two at the Watan Hospital ...</div>"
45	plb19301118-01.2.27	18 November 1930	plb	Rubinstein Case	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b> , Monday . -- Engineer Luitz , who cla ...</div>"
