n	id	date	publication	title	snippet
1	pls19481112-01.1.16	12 November 1948	pls	Page 16	"<div class=""txtsearchsnippet"">CO . <b class=""highlightcolor"">HAIFA</b></div>"
2	pls19480111-01.1.3	11 January 1948	pls	Page 3	"<div class=""txtsearchsnippet"">... * i \ 7 _&amp; 1 Commercial Liner from <b class=""highlightcolor"">HAIFA</b> on JANUARY 18 , direct to</div>"
3	pls19440326-01.1.3	26 March 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... A regular bus service has been . opened between <b class=""highlightcolor"">Haifa</b> a . nd Yi- ¦ arot Hacarmel V : ...</div>"
4	pls19470914-01.1.3	14 September 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... : &lt; _- _&gt; _»«&gt; , ; _ y <b class=""highlightcolor"">Haifa</b> -O a . t , 9 _C 6 ¦ ...</div>"
5	pls19461230-01.1.3	30 December 1946	pls	Page 3	"<div class=""txtsearchsnippet"">TEL <b class=""highlightcolor"">HAIFA</b> AVIV : ; ¦ V 1 . - ft ...</div>"
6	pls19460303-01.1.3	3 March 1946	pls	Page 3	"<div class=""txtsearchsnippet"">23 Her / 1 St ., <b class=""highlightcolor"">Haifa</b></div>"
7	pls19440817-01.1.3	17 August 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... barrier at the Palmer s Gate railway crossing in <b class=""highlightcolor"">Haifa</b> on July 7 , T . S . Silverton ...</div>"
8	pls19460626-01.1.3	26 June 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... ry Egged : Hammerahet , 386 koma Bldg . <b class=""highlightcolor"">HAIFA</b> : Katz</div>"
9	pls19470815-01.1.3	15 August 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... 21 . J 31 . 9 33 : A <b class=""highlightcolor"">Haifa</b> 22 . 0 29 . 3 S 3 77 ...</div>"
10	pls19460122-01.1.3	22 January 1946	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> .</div>"
11	pls19480202-01.1.2	2 February 1948	pls	Page 2	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> , Sunday . — The villages oi Kabri and ...</div>"
12	pls19410831-01.1.3	31 August 1941	pls	Page 3	"<div class=""txtsearchsnippet"">... , THi . , t 2 Herzl St . <b class=""highlightcolor"">Haifa</b> <b class=""highlightcolor"">Haifa</b> . . 33 ig ig selection selection of ...</div>"
13	pls19450807-01.1.3	7 August 1945	pls	Page 3	"<div class=""txtsearchsnippet"">48 Herzl St ., <b class=""highlightcolor"">Haifa</b> , Tel . 4- _d-vl l he leadingCafe &amp; ...</div>"
14	pls19460225-01.1.3	25 February 1946	pls	Page 3	"<div class=""txtsearchsnippet"">for wc / 11 known _lfoliel in <b class=""highlightcolor"">Haifa</b></div>"
15	pls19441109-01.1.1	9 November 1944	pls	Page 1	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> Opposite Entrance to CENTRAL POST OFFICE</div>"
16	pls19460911-01.1.3	11 September 1946	pls	Page 3	"<div class=""txtsearchsnippet"">€ 0 . T _^ Jestine ) T TD <b class=""highlightcolor"">Haifa</b> — _Jerusalem</div>"
