n	id	date	publication	title	snippet
1	tsohorayimhaifa19460502-01.1.1	2 May 1946	tsohorayimhaifa	Page 1	"<div class=""txtsearchsnippet"">... באפריל נרשמו בארץ 46 מקרי מגיפה חדשים, מהם 1 <b class=""highlightcolor"">בחיפה,</b> שהובא מחוץ לארץ. המגיפות כוללות: דבר, חולירע, אבעבועות, טיפוס.</div>"
2	hmf19460619-01.1.1	19 June 1946	hmf	Page 1	"<div class=""txtsearchsnippet"">... חבריו באש עליהם. בינתיים נודע כי למתקיפי סדנות הרכבת <b class=""highlightcolor"">בחיפה</b> - המשתייכים כנראה ל""קבוצת שטרן"" - נגרמו אבדות קשות ...</div>"
3	itonmeyuhad19470822-01.1.3	22 August 1947	itonmeyuhad	Page 3	"<div class=""txtsearchsnippet"">... משום מה התקררו ביניהם היחסים לחלוטין. נחמה השיגה משרה <b class=""highlightcolor"">בחיפה</b> ומאז שוב לא נפגשה הרביעיה. ניכר היה כי מר ...</div>"
4	tsohorayimhaifa19460109-01.1.1	9 January 1946	tsohorayimhaifa	Page 1	"<div class=""txtsearchsnippet"">... יצאו לירושלים השיך נימר אל כטיב, יו״ר אגודת ""אעטסאם"" <b class=""highlightcolor"">בחיפה,</b> העו״ד יוסף סהיון, חבר הועד הערבי העליון מחיפה, עבדול ...</div>"
5	ahr19471207-01.1.4	7 December 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">'רות !הצתות בונוצ""ש <b class=""highlightcolor"">בחיפה</b></div>"
6	haolam19480219-01.1.12	19 February 1948	haolam	Page 12	"<div class=""txtsearchsnippet"">... מעפולה, חבר פעיל ב""הגנה?'. בדרג ואברהם זלוטמצקי נפצע קשד"" <b class=""highlightcolor"">בחיפה</b> הרגו ערבים שני חיילים בריטים ושרדו את נשקם. שורת ...</div>"
7	haolam19390316-01.1.11	16 March 1939	haolam	Page 11	"<div class=""txtsearchsnippet"">... הצלב האדום בצפת, שבה נסע ד""ד ט. שטרנברג, ריפא <b class=""highlightcolor"">ביה""ח הממשלתי</b> בצפת בלויית אחות נוצריה ונהג ערבי. ד""ד שטדנבדג ...</div>"
8	hmf19470716-01.1.4	16 July 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">ל־4 חדשי מאסר נירון אתמול ע""י ביה""ד הצבאי <b class=""highlightcolor"">בחיפה</b> הצעיר יצחק בוזגלו־פדפרה, בן‭, 20. ‬באשמת נשיאת פצצתיכרוזים ב־20 ...</div>"
9	hazmantlv19430903-01.1.3	3 September 1943	hazmantlv	Page 3	"<div class=""txtsearchsnippet"">... נייגר. לוינסון. בילוטולסקי. — הועד המאוחד לעזרת יהודי פולין <b class=""highlightcolor"">בחיפה.</b> הקראד. אמי גותית: קוטאי מהבימה. ..הזמן"" כעל פה השבת ...</div>"
10	hmf19470518-01.1.4	18 May 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">התינוקת שנעלמה בשבת שעברה מחדר הילדים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> <b class=""highlightcolor"">בחיפה</b> נמצאה אתמול בריאה והוחזרה להוריה. התינוקת, שנולדה ...</div>"
11	ahr19471221-01.1.4	21 December 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... לירושלים. צכי מזרחי, בי ‭, 20‬מטבריה, נהרג ביום ו' <b class=""highlightcolor"">בחיפה,</b> בלכתו לגבות חוב מערבי.</div>"
12	yomyom19480802-01.1.4	2 August 1948	yomyom	Page 4	"<div class=""txtsearchsnippet"">(על ""המשמר"") הסדר חדש בבתי• החולים <b class=""highlightcolor"">בחיפה</b></div>"
