n	id	date	publication	title	snippet
1	hmf19430616-01.2.48	16 June 1943	hmf	ביה'ח הממשלתי _בבני־בול.יוגדל פ י ארבעה	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה'ח הממשלתי</b> _בבני־בול. יוגדל פ י ארבעה</div>"
2	hmf19431029-01.2.53	29 October 1943	hmf	"בדצמבר ייפתח ביה""ח הממשלתי לחולי המושבות"	"<div class=""txtsearchsnippet"">בדצמבר ייפתח <b class=""highlightcolor"">ביה""ח הממשלתי</b> לחולי המושבות</div>"
3	hbkr19431028-01.2.56	28 October 1943	hbkr	"ביה""ח הממשלתי למושבות יפתח בת''א בדצמבר"	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה""ח הממשלתי</b> למושבות יפתח בת''א בדצמבר</div>"
4	hmf19480428-01.2.57	28 April 1948	hmf	"ביה""ח הממשלתי בחיפה לרשות העיריה"	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה לרשות העיריה</div>"
5	khm19470818-01.2.53	18 August 1947	khm	"שביתת הרעב של אהיות ביה""ח! הממשלתי בחיפה הסתיימה"	"<div class=""txtsearchsnippet"">שביתת הרעב של אהיות <b class=""highlightcolor"">ביה""ח! הממשלתי</b> בחיפה הסתיימה</div>"
6	ahr19480504-01.2.75	4 May 1948	ahr	"מה יהיה גורל ביה""ח הממשלתי בודפה? חפה יום ב דר א!"	"<div class=""txtsearchsnippet"">מה יהיה גורל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בודפה? חפה יום ב דר א!</div>"
7	khm19480126-01.2.57	26 January 1948	khm	"עובדי ביה""ח הממשלתי בחיפה עזבו ™ העמדה באשמת הממשלה"	"<div class=""txtsearchsnippet"">עובדי <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה עזבו ™ העמדה באשמת הממשלה</div>"
8	hbkr19421029-01.2.19	29 October 1942	hbkr	"בית־החולימ החושי בצירוף ביה""ח הממשלתי, פתרו לגמר מצוקת האישפוז"	"<div class=""txtsearchsnippet"">בית־החולימ החושי בצירוף <b class=""highlightcolor"">ביה""ח הממשלתי,</b> פתרו לגמר מצוקת האישפוז</div>"
9	hmf19470518-01.2.54	18 May 1947	hmf	פושה מסתורית של חפיפת תינוקת ערביה	"<div class=""txtsearchsnippet"">התינוקת שנעלמה בשבת שעברה מחדר הילדים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה נמצאה אתמול בריאה והוחזרה להוריה. התינוקת, שנולדה ...</div>"
10	hmf19451225-01.2.49	25 December 1945	hmf	נהגים ערביים מתנכלים לשוות תחבווה עבר	"<div class=""txtsearchsnippet"">... ובין בת גלים והעיר, עד לתחנת הרכבת המזרחית ורחבת <b class=""highlightcolor"">ביה""ח הממשלתי.</b> שיפורים אלה היו כצננים בעיני שרות האוטובוסים הערבי ...</div>"
11	dav19480620-01.2.42	20 June 1948	dav	ת י .פ ה י . בית החולים הממשלתי בחיפה מתארגז מחדש	"<div class=""txtsearchsnippet"">בקשר _לידיעות בלתי מדויקות, שפורסמו בעתונות על גורלו של <b class=""highlightcolor"">ביה''ח הממשלתי</b> בהיפה, מביאה מחלקת הבריאות לידיעת הציבור את הדבריט ...</div>"
12	dav19371117-01.2.67.2	17 November 1937	dav	Page 5 Advertisements Column 2	"<div class=""txtsearchsnippet"">מנהלת סולל _בוגה חברי!בבנין <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה</div>"
13	hbkr19411019-01.2.53	19 October 1941	hbkr	גער מת באוטובוס	"<div class=""txtsearchsnippet"">... נת הרכבת המזדהית בהיסה. גויתו הוע־ בדד. לבדיקה אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b></div>"
14	hmf19470618-01.2.66	18 June 1947	hmf	נוהר עובי נהוג ו־&#8237;1«&#8236; בריטים נפצעו בתאונה	"<div class=""txtsearchsnippet"">דרך _ירושלים־יריחו. הפצועים הועבדו ל־ <b class=""highlightcolor"">ביה""ח הממשלתי</b> בירושלים.</div>"
15	hmf19471228-01.2.5	28 December 1947	hmf	גופת יהודי אלמוני בירושלים	"<div class=""txtsearchsnippet"">גופתו של אדם כבן 40 הובאה אתמול ל־ <b class=""highlightcolor"">ביה""ח הממשלתי</b> בירושלים. היא נמצאו;מחוץ לביה'יח לבעלי חיים שבברכת השולטאן. ...</div>"
16	hmf19470801-01.2.53	1 August 1947	hmf	ערבי נורה ליד רמת-יוחנן	"<div class=""txtsearchsnippet"">' בהודעה שנתפרסמה אתמול ע""י. <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה נמסר כי מחמוד מוחמד ?שחאדי בן 21 ...</div>"
17	khm19470813-01.2.62	13 August 1947	khm	"בי""ח ממשלתי נעזר על ידי מנן דוד אדום"	"<div class=""txtsearchsnippet"">... מכפר ערבי שבקרבת קבוץ עין השופט, היות שהאמבולנס של <b class=""highlightcolor"">ביה""ח הממשלתי</b> תתקלקל.</div>"
18	ahr19470327-01.2.68	27 March 1947	ahr	UNKNOWN	"<div class=""txtsearchsnippet"">... מוחמד _אחמד מוסד. נמצא ב־23 במארס, סמוך לכניסה של <b class=""highlightcolor"">ביה""ח הממשלתי,</b> כשהוא פצוע באופן רציני. הוא הוכנס לנית""החולים ושם ...</div>"
19	itonamami19470928-01.2.11	28 September 1947	itonamami	שופר מצבה של שולמית שמיר	"<div class=""txtsearchsnippet"">נה הטוב ומקבלת מזון מהמטבח הדיאטי של <b class=""highlightcolor"">ביה״ח .הממשלתי</b> בירושלים.</div>"
20	hmf19471116-01.2.52	16 November 1947	hmf	אסירי רעננה הועברו לבית־הםוהר בירושלים	"<div class=""txtsearchsnippet"">... ושיתק את _זרועור־נמצא תחת משמר כבד באגף האסירים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> במגרש הרוסים.</div>"
21	yomyom19480802-01.2.41	2 August 1948	yomyom	"(על ""המשמר"") הסדר חדש בבתי• החולים בחיפה"	"<div class=""txtsearchsnippet"">... על במי החולים בחיפה — נודע לנו שביה״ח העירוני <b class=""highlightcolor"">(ביה״ח הממשלתי</b> לשעבר, שהועבר לעירית חיפה) יועבר לממשלת ישראל, פרט ...</div>"
22	hbkr19460901-01.2.33	1 September 1946	hbkr	"כל בית־אב - להשלמת לו* ם במצור"" """	"<div class=""txtsearchsnippet"">... וינשטיין הועברה אתמול ממחנה המעפיליפ בעתלית למחלקת האיזולציה של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה.</div>"
