n	id	date	publication	title	snippet
1	dav19360727-01.2.117	27 July 1936	dav	בית חולים ממשלתי ליהודים	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית חולים ממשלתי</b> ליהודים</div>"
2	hbkr19471218-01.2.50	18 December 1947	hbkr	תשובתה של מנהלת בית חולים ממשלתי	"<div class=""txtsearchsnippet"">תשובתה של מנהלת <b class=""highlightcolor"">בית חולים ממשלתי</b></div>"
3	hegeh19430419-01.2.21	19 April 1943	hegeh	ד״ר מבס בירק	"<div class=""txtsearchsnippet"">... ״E x emptar אחד אל האךכיון של תנועת העבודה. <b class=""highlightcolor"">בית חולים ממשלתי</b> למושבות מוסרים, שדגוךמים המסמכים דגים בשאלת פתיסת ...</div>"
4	dav19350926-01.2.70	26 September 1935	dav	"ד""י 1ז._פיפ&#8237;!7&#8236;ו"	"<div class=""txtsearchsnippet"">... . י וכירורניח מי שהית מנהל במשך הרבה שניט <b class=""highlightcolor"">בית חולים ממשלתי</b> ברומניה</div>"
5	dhy19350912-01.2.71	12 September 1935	dhy	חיפה	"<div class=""txtsearchsnippet"">ייבנה <b class=""highlightcolor"">בית חולים ממשלתי</b> ""מוקטם"" מודיע שהממשלה עומדת לבנות בית־חולים ממשלתי ...</div>"
6	dhy19351008-01.2.48	8 October 1935	dhy	ף&#8237;** _^8£8(_£| *_0&#8236;י 46 ,ף*	"<div class=""txtsearchsnippet"">... רפין, סוריקוב, סיירוב, סטיפנוב, צ'כונין, אייבזובסקי, ארביפוב, נויגוגרוב, ועוד. <b class=""highlightcolor"">בית חולים ממשלתי</b> בכפר פלשטין"" מודיע כי הממשלח חפ־ "" ...</div>"
7	hmf19460201-01.2.65	1 February 1946	hmf	"יוקם בי""ח ממשלתי בת '_י א לישובי הדרום"	"<div class=""txtsearchsnippet"">שלטונות הבריאות. החליטו להקים בתל־ אביב <b class=""highlightcolor"">'בית חולים ממשלתי</b> לישובי הדרום. כקשר לזה סיירו אתמול ד""ר ...</div>"
8	haretz19440327-01.2.18	27 March 1944	haretz	"תל־אביב תובעת מהממשלה הקצבה בסך &#8237;160.000&#8236; לא""י"	"<div class=""txtsearchsnippet"">... סוציאלית — ‭25‬ אלף לא""י. הממשלה נתבעת לפתוח בתל־אביב <b class=""highlightcolor"">בית־ חולים ממשלתי</b> כשם שהיא מקיימת בתי־ הולים ממשלתיים בערים ...</div>"
9	hayomjlm19481220-01.2.8	20 December 1948	hayomjlm	אין סכנה	"<div class=""txtsearchsnippet"">... נסיוב. כן נודע כי מדינת ישראל עורכת תכנית לפתיחת <b class=""highlightcolor"">בית חולים ממשלתי</b> מרכזי בירושלים, אולם עדיין אין מגלים את ...</div>"
10	dav19380220-01.2.71	20 February 1938	dav	ענודות ממשלתיות חושות	"<div class=""txtsearchsnippet"">... ש:בר נדתי!בפה פעמים לרגל המצב. העבודה הראשונה היא הקמןנ <b class=""highlightcolor"">בית־ חולים ממשלתי</b> חדש בירושלים, כנראה בית חולים מיוחד למחלות ...</div>"
11	haretz19470425-01.2.69	25 April 1947	haretz	גער באשם בהטלת פצצה על מכונית	"<div class=""txtsearchsnippet"">... היליכ כקסטינה ונתפס '. ""א־דיפאע"" מודיע, שטארוריסט ניסה לפוצץ <b class=""highlightcolor"">בית חולים ממשלתי</b> בקטטינה. הצבא תפס אותו ומנע בעד ההתפוצצות. ...</div>"
12	hrte19480130-01.2.11	30 January 1948	hrte	מוחו שד סגן •פחח אחינו סג יפתח נפל	"<div class=""txtsearchsnippet"">... העיר העתיקה בירושלים. הוא הובא אל מערת הפריצים הנקראת <b class=""highlightcolor"">""בית חולים ממשלתי""</b> בירושלים ונמסר לטיפולם של אוכלי־ אדם הקוראים ...</div>"
13	hmf19430507-01.2.55	7 May 1943	hmf	הממשלה וחתה תביעת &#8237;r!\&#8236; להקצבה של 11 אלף לא'י	"<div class=""txtsearchsnippet"">... להג"" דלה ניכרת. הם הביעו רק גכוטיתט לדר קים <b class=""highlightcolor"">בית חולים ממשלתי</b> בתל־אביב שישרת את הסביבה הסמוכה. השתלשלות־ענינים זז ...</div>"
14	hadashott19400115-01.2.26	15 January 1940	hadashott	סכנת הסגירה מאיימת על בית הזזוליט לחולי הרוה בבני־בוק	"<div class=""txtsearchsnippet"">... החולם 26 חולים בלתי מסוכנים כביכול... — הקיים בארץ <b class=""highlightcolor"">בית חולים ממשלתי</b> לחולי רוחז — קיים <b class=""highlightcolor"">בית חולים ממשלתי</b> ...</div>"
15	haolam19480122-01.2.1	22 January 1948	haolam	התוכן:	"<div class=""txtsearchsnippet"">... מכון לחקר הקהלות: המתקת מים מלוחים: שוד לעיני שוטרים: <b class=""highlightcolor"">בית חולים ממשלתי</b> לערבים: משלהת רפואית סורית לארץ: ‭24‬ מטוסי ...</div>"
16	hzh19450227-01.2.29	27 February 1945	hzh	"הוויכוח על התקציב בעירית ת""א"	"<div class=""txtsearchsnippet"">... בולטות של קיפוח תל אביב מצד הממשלה!•אין בתל אביב <b class=""highlightcolor"">בית חולים ממשלתי</b> , אין משטרה בתל אביב!העי־ דיה, עשתה ...</div>"
17	dav19351226-01.2.73	26 December 1935	dav	נציגות פוליסית-כלכ_^ת ליהווי 3ולל?	"<div class=""txtsearchsnippet"">... להשיג הערב במזכירות קלוב פועלי הדפוס ב־6־‭. 7‬ ? <b class=""highlightcolor"">בית חולים ממשלתי</b> למוכי שחפת ליפי "" א־ליווא‭, ""‬החליטה _הממשלה ...</div>"
18	hmf19420623-01.2.38	23 June 1942	hmf	"תכנ י ת להקמת ב _ית־זזול ים בפ""ת"	"<div class=""txtsearchsnippet"">... ידונו בשאלת חחוםפטליזציח בפתח תקוח. יש כמד, תכניות: חקמת <b class=""highlightcolor"">בית חולים ממשלתי</b> , עירר ני;או בשתוף עם כמה גורמים ...</div>"
19	hmf19390323-01.2.12	23 March 1939	hmf	הועלה מס המים	"<div class=""txtsearchsnippet"">... שהמועצה תקבל פה אחד הח־ למה, הדורשת להקים בתאאביב <b class=""highlightcolor"">בית־ חולים ממשלתי</b> , כי תל־אביב אינה גרועה יותר מהיפה ...</div>"
20	hmf19420805-01.2.26	5 August 1942	hmf	"""_דושרים"	"<div class=""txtsearchsnippet"">... הטיפוס בשביל הקהל במרכזי הבריאות של הממשלה בירושלים הן: <b class=""highlightcolor"">בית חולים ממשלתי</b> , מחלקת גברים בכל יום שני וחמישי ...</div>"
21	haretz19351002-01.2.100.1	2 October 1935	haretz	Page 8 Advertisements Column 1	"<div class=""txtsearchsnippet"">... נשים יולדות וכירורגיה מי שהיה מנהל כמשך הרבה שנים <b class=""highlightcolor"">בית חולים ממשלתי</b> ב ומגיה השתקע בתל־אבינ ומקבל חולים ברח' ...</div>"
22	hmf19480205-01.2.23	5 February 1948	hmf	"נסים בן־ח""ם ה'""ד"	"<div class=""txtsearchsnippet"">... חבריו — נפגע בכדור מרצחים והובא למאורת תמות הנקראת <b class=""highlightcolor"">בית חולים ממשלתי</b> בו השלימו ""אחות רחמניה"" ו""רופא"" ערביים את ...</div>"
23	dav19480109-01.2.13	9 January 1948	dav	Untitled	"<div class=""txtsearchsnippet"">... לא הביע כל רגשות זוועה. נרצח רופא יחידי בתוך <b class=""highlightcolor"">בית חולים ממשלתי</b> בשעת עבודתו — השלטון לא הביע כל ...</div>"
24	hzh19390323-01.2.10	23 March 1939	hzh	&#8237;464 .565&#8236; ם י&#8237;—*&#8236;תקציב יה הכנסות של תל־אביב	"<div class=""txtsearchsnippet"">... תובעת השתתפות מספיקה בתקציב בית החולים ־ וגם הקמת <b class=""highlightcolor"">בית חולים ממשלתי</b> בעיר. ה' שושני הציע לפנות בפטיציה לממשלה ...</div>"
25	dav19380417-01.2.7	17 April 1938	dav	ההתעללות בוינה וינה פוסקת ג&#8237;180917.&#8236; במאסר&#8237;-.&#8236; נשי&#8237;,, 8&#8236;נני בתר מת בבית האסורים	"<div class=""txtsearchsnippet"">... זלדריש, בעצתי של המומחה הגדול למחלות ילדים, שעמד בראש <b class=""highlightcolor"">בית חולים ממשלתי</b> במשך עשרות ש:ים (עשת בשנה שעברה כמה-שבועות ...</div>"
26	ahr19470624-01.2.31	24 June 1947	ahr	&#8237;?^^_3&#8236; _*ך תפאודות	"<div class=""txtsearchsnippet"">... החויי , זה ם ' ""הרסה _ דהו ‭(""‬ <b class=""highlightcolor"">בית חולים ממשלתי</b> , שאלה: — מהם בניינים מפוארים איה ...</div>"
27	dav19350114-01.2.35	14 January 1935	dav	מנא ומנא &#8237;;; &#8236;	"<div class=""txtsearchsnippet"">... ארם אחד במדינת _קונטיקוט, באמריקה, אב לילד, פנה אל <b class=""highlightcolor"">בית חולים ממשלתי</b> בבקשה שיעקרוהו‭-. ‬הנימוק לרצונו: במצב בשעה זו, ...</div>"
28	haretz19420719-01.2.49	19 July 1942	haretz	מרכז הטלפונים האבטומאטי נפתח בחיפה	"<div class=""txtsearchsnippet"">... בהדרכת פקידי הדואר, במחלקות השונות של המרכז ונתכבדו במשקאות. <b class=""highlightcolor"">בית חולים ממשלתי</b> לשעת חירום בירושלים מחלקת הבריאות המנשזלתית שכרה ...</div>"
29	hmf19400115-01.2.41	15 January 1940	hmf	ו בעירית תל־אביב	"<div class=""txtsearchsnippet"">... בחיפה יש בית חולים של הקהלה ויש שם גם <b class=""highlightcolor"">בית חולים ממשלתי</b> שעלה הוו רב בבנינו</div>"
30	hbkr19450214-01.2.38	14 February 1945	hbkr	מצוקת החולה המושבתי	"<div class=""txtsearchsnippet"">... בשלש עשמת ספות. מתנחל מו-פ עם הממשלח על פתיחת <b class=""highlightcolor"">בית חולים ממשלתי</b> גדול למושבות בקרבת תל־אביב. . המשלה מגובת ...</div>"
