n	id	date	publication	title	snippet
1	hmf19431223-01.2.57	23 December 1943	hmf	בית־החולים הממשלתי למושבות יופעל באמצע יבואר	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית־החולים הממשלתי</b> למושבות יופעל באמצע יבואר</div>"
2	haretz19381223-01.2.5	23 December 1938	haretz	חנוכת בית־החולים הממשלתי בחיפה	"<div class=""txtsearchsnippet"">חנוכת <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה</div>"
3	dav19360826-01.2.113	26 August 1936	dav	מדוע נדחה בנינו של בית־החולים הממשלתי ליד נזקוד-חיימ?	"<div class=""txtsearchsnippet"">מדוע נדחה בנינו של <b class=""highlightcolor"">בית־החולים הממשלתי</b> ליד נזקוד-חיימ?</div>"
4	haretz19460812-01.2.44	12 August 1946	haretz	סוכלה התנפלות מזויינת על בית־החולים הממשלתי ביפו	"<div class=""txtsearchsnippet"">סוכלה התנפלות מזויינת על <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו</div>"
5	hbkr19480129-01.2.90	29 January 1948	hbkr	"בית־החולים הממשלתי בחיפה נעזב ע""י היהודים תחת לחץ"	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה נעזב ע""י היהודים תחת לחץ</div>"
6	tsohorayimhaifa19460101-01.2.24.1	1 January 1946	tsohorayimhaifa	"רחובות א מרכז מסחרי חדש. ו רחוב ארלחורו□ ב מרכז מסחרי ישן. ז רחוב בלפור. ג דרך המלכים. ח דרך ההר. ד דרך יפו. ט רחוב המורידה רחוב הרצל. י דרך הים. 13 ביח״ר וולקן. 14 "" פניציד-15 "" כור. 16 "" המגפר. 17 "" אתא. 18 "" נשר. 7 קזינו בת־גלים. 8 בית־הממשלד-9 מגדל המים. 10 אולם ""מוריה"". 11 ביח״ר ""שמן"" ־-""בלו בנד""• 12 חברת החשמל.' 1 התכניון העברי. 2 עירית חיפד-3 בית־ הכנסת המרכזי. 4 שוק תלפיות. 5 בית־החולים ""רוטשילד*. 6 בית־החולים הממשלתי."	"<div class=""txtsearchsnippet"">... הכנסת המרכזי. 4 שוק תלפיות. 5 בית־החולים ""רוטשילד*. 6 <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"
7	haretz19451211-01.2.55	11 December 1945	haretz	הכלל והפרט	"<div class=""txtsearchsnippet"">תר איבראהים איטאים משכם נתמנה לסגן מנהל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה, במקומו של ד-ר מישלאני, שנתמנה מנהל <b class=""highlightcolor"">בית־החולים ...</b></div>"
8	hayomjlm19481122-01.2.33	22 November 1948	hayomjlm	□•ת־התול־ם הממשלתי	"<div class=""txtsearchsnippet"">... לא להעברת ציודו. הנימוק של השלטונות היהודים הוא כי <b class=""highlightcolor"">בית־החולים הממשלתי</b> חייב להשאר במצבו הקודם כדי למסור אותו, בבוא ...</div>"
9	hayomjlm19480426-01.2.8	26 April 1948	hayomjlm	רירי הערבים	"<div class=""txtsearchsnippet"">דגל הצלב האדום הונף אתמול מעל לחמשת הבניינים של <b class=""highlightcolor"">בית־החולים הממשלתי</b> (שבמגרש הרוסים) בירושלים. הנהלת בית־החולים נימסרה להסתדרות הרופאים ...</div>"
10	dav19370618-01.2.93	18 June 1937	dav	התחלת עבודה	"<div class=""txtsearchsnippet"">סופרנו בחיפה מודיע: התחילו העבודות בבנין <b class=""highlightcolor"">בית־החולים הממשלתי</b> בבת גלים. העבודה ־ נמסרה, כידוע, ל "" ...</div>"
11	hmf19390423-01.2.36	23 April 1939	hmf	Untitled	"<div class=""txtsearchsnippet"">אסופי בליל ששי נמצא ליד <b class=""highlightcolor"">בית־החולים הממשלתי</b> ילד בן 3 חדשים. זהותו טרם נקבעה‭-. ‬- ...</div>"
12	hbkr19450819-01.2.55	19 August 1945	hbkr	הגיעו צריפי-הצבא לשיכון החיילים	"<div class=""txtsearchsnippet"">... הצריפים. ‭35 ‬ במספר, יועמדו על אדמת וים בקרבת <b class=""highlightcolor"">בית־החולים הממשלתי</b> ""הירקון'.</div>"
13	ahr19470105-01.2.68	5 January 1947	ahr	מגא' ר 3ד_8מ3_ד_&	"<div class=""txtsearchsnippet"">... אור ליום ר במלון ברחוב הרצל. גוסתו נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> מוסרים, כי את מעשהו הנואש ביצע על רקע ...</div>"
14	hzh19381219-01.2.10	19 December 1938	hzh	&#8237;?' ' ?&#8236; תציב בחיפה יפתח אתבית ? החולים &#8237;. ? ? . '? ?&#8236; •? 'בבת־גלים	"<div class=""txtsearchsnippet"">... ה. ־ מ. מק־מיכאל שישתתף בטכס •הפתיחה הרשמית של <b class=""highlightcolor"">בית?החולים הממשלתי</b> . בבת גלים, אשריתק . יים באותו ־ ...</div>"
15	ahr19440920-01.2.53	20 September 1944	ahr	"&#8237;_0 2&#8236;גת' ד_3ר בח""פד."	"<div class=""txtsearchsnippet"">... _זורבעה חד לי דבר הובאו בימים תץ. הרוניפ אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. 2 מהם מתו. מיםפו מתי הדבר עד ...</div>"
16	ahr19460616-01.2.50	16 June 1946	ahr	התנקשות בקצין מחוז חיפה שבת אלמוני ניסר להתנ	"<div class=""txtsearchsnippet"">... _ברחרב טבריה. קצין המחוז נפצע בירייה בצווארו ונאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> מצבו אינו קשר, ליד _מקוס ההתנקשות נמצא אקווה.</div>"
17	ahr19451202-01.2.48	2 December 1945	ahr	התנגשות בין מ כ זנית וקטר בנמל חיפה חי פה שבת מכונית ובה חיילים	"<div class=""txtsearchsnippet"">... ו' בקטר בשטח הנמל. ד חיילים שנפצעו, נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> הנהג, יתודי , שנפצע אף הוא, נעצר לצורכי ...</div>"
