n	id	date	publication	title	snippet
1	hmf19400510-01.2.65	10 May 1940	hmf	»הדסה» לבנין בית החולים בחיפה	"<div class=""txtsearchsnippet"">»הדסה» לבנין <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">בחיפה</b></div>"
2	hashaah19400417-01.2.19	17 April 1940	hashaah	התפטר מנהל בית החולים הדסה בחיפה	"<div class=""txtsearchsnippet"">התפטר מנהל <b class=""highlightcolor"">בית החולים</b> הדסה <b class=""highlightcolor"">בחיפה</b></div>"
3	hbkr19410312-01.2.27	12 March 1941	hbkr	בנין בית החולים בחיפה	"<div class=""txtsearchsnippet"">בנין <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">בחיפה</b></div>"
4	dav19340211-01.2.22	11 February 1934	dav	"י ־"" מתי ייננה בית החולים בחיפה?"	"<div class=""txtsearchsnippet"">י ־"" מתי ייננה <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">בחיפה?</b></div>"
5	hzh19421029-01.2.55	29 October 1942	hzh	פתיחת בית החולים בחיפה	"<div class=""txtsearchsnippet"">פתיחת <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">בחיפה</b></div>"
6	hzh19381223-01.2.47	23 December 1938	hzh	פתיחת בית החולים ?בחיפה	"<div class=""txtsearchsnippet"">פתיחת <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">?בחיפה</b></div>"
7	haretz19480129-01.2.67	29 January 1948	haretz	חזרו לעבודתם עובדי בית החולים בחיפה	"<div class=""txtsearchsnippet"">חזרו לעבודתם עובדי <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">בחיפה</b></div>"
8	hbkr19400911-01.2.41	11 September 1940	hbkr	לבנין בית החולים של ועד הקהלה בחיפה	"<div class=""txtsearchsnippet"">לבנין <b class=""highlightcolor"">בית החולים</b> של ועד הקהלה <b class=""highlightcolor"">בחיפה</b></div>"
9	hbkr19390629-01.2.45	29 June 1939	hbkr	"להקמת בית החולים ע""ש רוטשילד בחיפה"	"<div class=""txtsearchsnippet"">להקמת <b class=""highlightcolor"">בית החולים</b> ע""ש רוטשילד <b class=""highlightcolor"">בחיפה</b></div>"
10	haretz19400211-01.2.66	11 February 1940	haretz	התחרות תכניות לבנין בית החולים העברי בחיפה	"<div class=""txtsearchsnippet"">התחרות תכניות לבנין <b class=""highlightcolor"">בית החולים</b> העברי <b class=""highlightcolor"">בחיפה</b></div>"
11	dav19391120-01.2.50	20 November 1939	dav	איל יבטיחו את מצבו של בית החולים בחיפה?	"<div class=""txtsearchsnippet"">איל יבטיחו את מצבו של <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">בחיפה?</b></div>"
12	omer19391119-01.2.21	19 November 1939	omer	איל יבטיחו את מצבו של בית החולים בחיפה?	"<div class=""txtsearchsnippet"">איל יבטיחו את מצבו של <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">בחיפה?</b></div>"
13	haretz19401128-01.2.42	28 November 1940	haretz	על תכנית בית החולים בחיפה	"<div class=""txtsearchsnippet"">על תכנית <b class=""highlightcolor"">בית החולים</b> <b class=""highlightcolor"">בחיפה</b></div>"
