date	pub	page_id	window
1943-08-17	ahr	ahr19430817-01.1.3	…ח. וייצמן. נמצאה גווייה ח י ?ה, יום בי. — בשרק, במורח העיר נמצא ח אמש גווייתו שי פישט־ יד ערבי. זהותו לא נקבעה הועבר אל בית־החולים הממשלתי. בסביבות עכי פגעה מכונית צבאית בחםן אחמד _שהאדה, שנפצע ותועבר לביח־החוליס הממשלתי בחיפה מצבו אמד ברור. פגיעה קטלנית ברחי חג'אז פגעת מכתיתימשא נהוגה בידי משח מיכאל _בחםנה חסן חמדן' בת ‭. 8‬מתה מפצעיה בדדד לבי…
1943-08-17	ahr	ahr19430817-01.1.3	"… היפה"" רחובות ‭, ""‬יום הי ‭, 18. 8, ‬בבית־חעם ב־‭. 8. 30‬ תל־אביב, יום א' ‭22. 8‬ במוגרבי‭8, 30, ‬ ה‭_3»‬ה חגיגית _הי50 חיפה, יום ה' ‭26. 8‬ ב""ארמון"" ‭8. 45 ‬ ‭_JliS&_iwfa‬ _מיפצור קיגוץ היום‭17. 8, ‬ ב־‭8. 30 — 3. 30‬ ביח־העם, תל־אביב יום ד' ‭18. 8‬ רעננה _מוצ""ש ‭21. 8‬ בית־זזעם, תל־אביב י ום ד‭25. 8, '‬ _פרדם־חנה יום ה' ‭26. 8‬ בפעם _האחח…"
1943-09-03	ahr	ahr19430903-01.1.7	"…*י ‭^^ _^ ‬ סכה שטורי תל־אכיכ, רח' אלנכי 128 מול הועת""ם של ההסתדרות _זדע־ם _מובחו־־ים •דקות מדה י ם מ d מ ו א _ח_^יקל""ס ביח _גזסווד _נלדשטיץ ושות' בנ_^מ חיפה, מרכז ' מסתרי הישן, רח' הדקלים ת. ד‭, 1468. ‬טל‭2287. ‬ מרו* ‭D-'‬ ו d י a י בום אי‭5, ‬ לספטמבר התחלה בשעה ‭3. 30‬ אחה…"
1943-09-03	ahr	ahr19430903-01.1.7	"…ו חודשיים מאסר. התנקשות במוצאי י ם ד' התנקשו 2 אלמונים בעבד אל לטיף דאשיד בשוק הערבי , ירו בו ופצעוהו. הפצוע ד. ־ בל אד בית־החולים הממשלתי. תורנות בבחי""מרקחת ליל שבת: מסדה, רח' מסדה ‭. 30‬ שבת: רפופורט, הרצל ‭. 29‬הר־הכרמל: ""אחוזה‭. ''‬מיפרץ־חיפה: ""ביאליק‭"". ‬ חיילים מנגנים ונוספר""ם היום‭, , "". ‬ כ־5 אחה'יצ ובמוצ""יס ב־‭6. 30‬ חנגן ב""גן־בנימין"" התזמורת ו של החיילים…"
1944-04-06	ahr	ahr19440406-01.1.4	"… אחראית לכך, אם חבריה יסרב' לקבל את השכר המורד ויבקשו סידור מחוץ לצינורות _אירגונמ המאלץ _־איתכ לעבוד בשכר ירוד. השביתה בביח""ר לחוטי מתכת נמשכת חיפה, יום ד‭—. '‬ פועלי בית־החד'־ שת לחוטי מתכת נמצאים, מאו פרוץ השביתה, במשמרת ליו ‭:, ‬ןקום־העבודוו. להיום הוזמנו הפועלים …"
1944-04-06	ahr	ahr19440406-01.1.4	…שכר־היסוד, נמצא סידור זמני לסיפוק הדרישה, נמשך משא־ומתן, _אדכסנדד ‭\?‬ו_>_ידבד_\ד כתוצאה מתאונה _בעבוחד, בבתי־הזי־ קוק בחיפה, קיפח את חייו היום (יום די) הפועל אלכסנדר גולדברגר. גופתו הועברה אל בית־החולים הממשלתי. תופפת כעד שעות נופפות — הוועד הפועל החליט על תוספת שכר בעד שעות נוספות בשיעור של 25 אחוזים לפועלי נגריית המשרד…
1944-06-06	ahr	ahr19440606-01.1.4	"…ה־ דנםוז‭. "" ‬ שוטר אנגלי נדהר בחיפה חיפה, _יים בי. — חשוטר האנגלי ג־רן לבוש אזרחית נדקר ב־3 דקי ־ דות־סכין עמוקות אמש בחיפה !בקצה רה' השומר ל־ד. ־ ־ב־נת _איד־_^ל־יודה. הדוקר דיבר ערבית. השוטר הפ־ צוע הגיע _לתחנת־משטרה ומשם נא־ סף זיל _בית־החולים הממשלתי. נבתרה וועדת בחידות _ברמח־גן ר מ ת ג נבחרה ־ ן, י ום בי ‭—. ‬ וועדת !בחירות לוועידת ההסתדרוח שהרכבה מפא""י (רשימ…"
1944-09-20	ahr	ahr19440920-01.1.4	"…עבדת הקרקע של קוסקוס־טבעון (_אלונים‭. (‬ כידוע, היחה פרשה זו מלווה משפטים מריבים בכל האינסטגציות. ‭_0 2‬גת' ד_3ר בח""פד. חיפה, יום ‭—. a‬ עוד _זורבעה חד לי דבר הובאו בימים תץ. הרוניפ אל בית־החולים הממשלתי בחיפה. 2 מהם מתו. מיםפו מתי הדבר עד כה מגיע _ל־1נ ‭9}‬ ערבים‭1, ‬ יהודי, 1 אנגלי‭. ( ‬ ןועד־ חדש ב11וה־ח""ים תוש…"
1944-10-03	ahr	ahr19441003-01.1.4	"…משלתי המחוזי משכם. היו התייעצויות של כ""כ היישובים בסביבה עם שלטונות הבריאות ביבר מניעת התפשטותה של המחלה. עוד חזרה דבד בחיפה חיפה, יום , בי‭—. ‬ עוד חולה דבר, ערבי הובא _ביוס א' אי י בית־החולים ' הממשלתי בחיפה. ס. א הדליק דמ פיינטר מהצירות האמריקאית בקאהיר הגיעו לירושלים. גרים במלון המלד דוד. ש _פסמן, שליח הג'וי…"
1945-01-05	ahr	ahr19450105-01.1.8	"…על"" נחמני 4 לשש _י־ין על דרכי העזרה המהירה שיש '־הכיש ל""הפועל"" בהשתתפות ל. שקול‭- ' :-‬ ק וחברים ממרכזהפועל"" "" שוב דבר בחיפה זו י פ ה. יום ד‭—. ', ‬ לאחר הפסקה ארוכה חלו השבוע שוב 2 ערבים מתושבי חיפה במחלת הדבר והו־ באו אל _בית־החולים הממשלתי. מיספר האנשים שהלו עד כה בדבר בחיפה מגיע ל־2ד, מהם ‭22 —‬ מתו, 47 החלימו‭3, ‬ מוסלים בבית־החולים. V־—י־־־—י י י r ‭Voi, III MB 430 & _nilV‬ ‭_MlSHMAR The* Daily Guardian ‬ תשמל בברגיאת שמיר (ברגיאת‭, (‬יום הי‭—. ‬ לא…"
