n	id	date	publication	title	snippet
1	mar19480504-01.1.1	4 May 1948	mar	Page 1	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> עבר לרשות עידית חיפה — בחסות ...</div>"
2	hegeh19440427-01.1.3	27 April 1944	hegeh	Page 3	"<div class=""txtsearchsnippet"">... יוג׳ין גוסנס. 5.55 חדשית. 8.00 תכנית ""כבקשתך"" מיוחדת לאחיות <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> 8.15 חדשות. 8.25 שיחה 'על מאירעות ...</div>"
3	yomyom19481124-01.1.1	24 November 1948	yomyom	Page 1	"<div class=""txtsearchsnippet"">... ד־ ידי קפיצה מקומה ב׳. במצב קשה הועברה ל־' <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> ברק הרגו יוסף דניאל מנשה, בן ...</div>"
4	dav19381116-01.1.3	16 November 1938	dav	Page 3	"<div class=""txtsearchsnippet"">הוציאה לפועל כל עבודות הנגרות בבנין <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b></div>"
5	hbkr19381118-01.1.4	18 November 1938	hbkr	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> ן י</div>"
6	dav19311008-01.1.4	8 October 1931	dav	Page 4	"<div class=""txtsearchsnippet"">... בסידור הטרט: שונות — הרופא ד""ר מלחי הועבר משבריהי <b class=""highlightcolor"">_£בית־ החולים הממשלתי . בחיפה.</b> — מחנה האסירים ממ&amp;ר 2 ...</div>"
7	hmf19411007-01.1.4	7 October 1941	hmf	Page 4	"<div class=""txtsearchsnippet"">... חתנדב לצבא. משפחתו בהונגריה. גויתו הובאה לשם בדיקה אל <b class=""highlightcolor"">בית־ החולים הממשלתי בחיפה</b> ומשם — לכפר המכבי. במוצ""ש הובא ...</div>"
8	hbkr19381223-01.1.7	23 December 1938	hbkr	Page 7	"<div class=""txtsearchsnippet"">! טכס הנוכת <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> ו</div>"
9	haretz19361016-01.1.8	16 October 1936	haretz	Page 8	"<div class=""txtsearchsnippet"">... מביעים את דגשי תודתנו הלבבית לד״ר א. מלחי רופא <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> על הטפול המסור במחלת בתנו ואחו־ ...</div>"
10	dav19320714-01.1.3	14 July 1932	dav	Page 3	"<div class=""txtsearchsnippet"">... חדור. מקרה שני במשק עין חרוד, עשרות מקרים: בטבריה. <b class=""highlightcolor"">בית החולים הממשלתי בחיפה-</b> אינו יכול לקבל את י י ...</div>"
11	dav19470819-01.1.4	19 August 1947	dav	Page 4	"<div class=""txtsearchsnippet"">... שה על ידי הרכבת בק''מ ‭19. 350‬ והועברה אל <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> משהגיעה הרכבת אל התחנה הקרובה בטנשיה, ...</div>"
12	hzh19381227-01.1.1	27 December 1938	hzh	Page 1	"<div class=""txtsearchsnippet"">... הנציב העליון, מנהל שירותי הרפואה וראש עירית היפה בפתיחת <b class=""highlightcolor"">בית החולים הממשלתי . בחיפה,</b> שכידוע לא תורגמו לעברית. ו</div>"
13	ahr19470327-01.1.3	27 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... אל אווי ליד כורדאני. בעל־הדירה נפצע בירך ונאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי בחיפה.</b></div>"
14	dav19370905-01.1.41	5 September 1937	dav	Page 41	"<div class=""txtsearchsnippet"">... העליון. שביתה ?העתונות הערבית מודיעה, שהערים הערבים העוברים בבנין <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> הבריזו שביתה. משלחת מהשובתים ביקרה אצל ...</div>"
15	hbkr19460619-01.1.1	19 June 1946	hbkr	Page 1	"<div class=""txtsearchsnippet"">... העלמין עוד בצהרים וחלבורה נת־ עכבה בםקזדת הבולשת. ליד <b class=""highlightcolor"">בית החולים הממשלתי בחיפה,</b> בו נמצאים תשעה פצועים, הופקד משמר ...</div>"
16	hmf19460716-01.1.4	16 July 1946	hmf	Page 4	"<div class=""txtsearchsnippet"">... לו יסוד לשער, כי פפנק, שהובא למחלקה הבריטית של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> בשבת בבוקר, הוא שנרשם שם תחת ...</div>"
17	hazmantlv19431118-01.1.4	18 November 1943	hazmantlv	Page 4	"<div class=""txtsearchsnippet"">... ביד,""ס האנגלי לבנות, נפצע בנפלו על הכביש והועבר אל <b class=""highlightcolor"">בית החולים. הממשלתי בחיפה.</b> סימטאות חיפה נהירות לגנבים ערביה הגרה ...</div>"
18	hazmantlv19431229-01.1.4	29 December 1943	hazmantlv	Page 4	"<div class=""txtsearchsnippet"">... על פני אחד הנצים, אשר נפצע קשה ונאסף אל <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> ..משכין דשלום"" נאסר ויועמד לדין. תאונה ...</div>"
19	hayomjlm19480419-01.1.2	19 April 1948	hayomjlm	Page 2	"<div class=""txtsearchsnippet"">... בפיקוח הצלב האדום. היהודים מציעים כמו כן את העברת <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> לידי העיריה ומנהלים משא ומתן על ...</div>"
20	ahr19470421-01.1.3	21 April 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... עכו, נורה _במוצאי־שבת בגבו ע""י אלמוניכ. הוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי בחיפה.</b> כתערוכת ההפתדרדת תערוכת ההסתדרות ב""ביתנו"" פתוחה ...</div>"
