n	id	date	publication	title	snippet
1	tsohorayimhaifa19460101-01.1.4	1 January 1946	tsohorayimhaifa	Page 4	"<div class=""txtsearchsnippet"">... הכנסת המרכזי. 4 שוק תלפיות. 5 בית־החולים ""רוטשילד*. 6 <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"
2	ytlv19360615-01.1.24	15 June 1936	ytlv	Page 24	"<div class=""txtsearchsnippet"">... כין-. העיריה עומדת על דרישתה התקיפה. שהממשלה תגדיל את <b class=""highlightcolor"">בית־החולים הממשלתי</b> הזמני, באופו שיוכל לקלוט את כל החולים במחלות ...</div>"
3	bustenai19320420-01.1.5	20 April 1932	bustenai	Page 5	"<div class=""txtsearchsnippet"">... מבני ישראל גסתה את מזלה והלכה לדפוק על דלתי <b class=""highlightcolor"">בית־החולים הממשלתי</b> בירושלים במחלקת היולדות. ראשית כל דרשו ממנה לא״י ...</div>"
4	haretz19381116-01.1.6	16 November 1938	haretz	Page 6	"<div class=""txtsearchsnippet"">? <b class=""highlightcolor"">בית־החולים הממשלתי</b> החדש בהיפה ?נמצא על המגרש של מנזר הכרמליתים ...</div>"
5	dav19471017-01.1.17	17 October 1947	dav	Page 17	"<div class=""txtsearchsnippet"">... יום וחבורות אבלים מוכי האסון עמדו קודרים ואומללים ליד <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה, שעות מעטות לאחר שקול הנפץ העז הרעיש ...</div>"
6	hegeh19450817-01.1.6	17 August 1945	hegeh	Page 6	"<div class=""txtsearchsnippet"">... ב ע כנת מונטיפיירי הובא Iליל ג׳ בחצות אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> ומת ץם אתמול בצקר. ןנק3ע כי י"" מותו ...</div>"
7	haolam19370617-01.1.9	17 June 1937	haolam	Page 9	"<div class=""txtsearchsnippet"">... הבריאות של הממשלה חתמה על חוזה עם""""סולל־בונה"" בדבד בנין <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. הבנין יעלה כתשעים אלף לא""י, עבודת האינסטלציה ...</div>"
8	haolam19360820-01.1.5	20 August 1936	haolam	Page 5	"<div class=""txtsearchsnippet"">... דרך ת""א תחת שמירה מעולה). ימי דמים. — ליד <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו נרצהו ביריות מן המארב, האחיות חרחמניות מרתה ...</div>"
9	haolam19370715-01.1.19	15 July 1937	haolam	Page 19	"<div class=""txtsearchsnippet"">... העבודה בתל־אביב. ב ה י פ ה: הוהל בבנין <b class=""highlightcolor"">בית־החולים הממשלתי,</b> שנמסר ל""סולל־בונה"". היקף העבודה הזאת הוא — ‭90. ...</div>"
10	haolam19371111-01.1.7	11 November 1937	haolam	Page 7	"<div class=""txtsearchsnippet"">... קיבל שטח של דונם וחצי. בחיפה. — העבודה בבנין <b class=""highlightcolor"">בית־החולים הממשלתי</b> מתקדמת בקצב מהיד. העבודה הנערכת ב־‭100. 000‬ לא""י ...</div>"
11	ytlv19480516-01.1.14	16 May 1948	ytlv	Page 14	"<div class=""txtsearchsnippet"">... ולמטרות אחרות. בתי החולים ביפו משמשים לצרכי התושבים הערבים <b class=""highlightcolor"">(בית־החולים הממשלתי</b> מגיש הנם לכל דורשכל העזרה הרפואית הדרושה לתושבי ...</div>"
12	hadoar19460906-01.1.7	6 September 1946	hadoar	Page 7	"<div class=""txtsearchsnippet"">... אחרים המשמשים מאז הכיבוש הבריטי לבתי־המשפט הממשלתיים, בית־הסוהר המרכזי, <b class=""highlightcolor"">בית־החולים הממשלתי</b> ועוד, וסביבתו, בהיקף 150 דונאם). תחילה ניתן צו ...</div>"
13	hadoar19360911-01.1.7	11 September 1936	hadoar	Page 7	"<div class=""txtsearchsnippet"">... — מרתה פינק מווינה ונחמה צדק מארץ־ישראל — במבוא <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו, במקום שהן עובדות זה ימים רבים, ביחס ...</div>"
14	ahr19470715-01.1.3	15 July 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... חיפה—עכו. 3 _נוםעי הטאכסי הערבים נפצעו. הם נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה.</div>"
15	haretz19451225-01.1.4	25 December 1945	haretz	Page 4	"<div class=""txtsearchsnippet"">... הקו מפפר ‭— , 7‬ הנמשך כידוע מבת־גלים, דרך <b class=""highlightcolor"">בית־החולים הממשלתי</b> עד תחנת הרכבת המזרחית — קובלים על כך ...</div>"
16	haolam19480115-01.1.13	15 January 1948	haolam	Page 13	"<div class=""txtsearchsnippet"">... אחד הועד הלאומי קיבל הודעת פתאום מאת השלטונות, כי <b class=""highlightcolor"">בית־החולים הממשלתי</b> לחולי רוח בבת־ים. שבו נמצאים ‭175‬ חולים יהודיה ...</div>"
17	ytlv19450515-01.1.20	15 May 1945	ytlv	Page 20	"<div class=""txtsearchsnippet"">... ""שוק הצפון"", ברחוב באזל. ‭. 27. 12. 44‬ נפתח <b class=""highlightcolor"">בית־החולים הממשלתי</b> לחולי</div>"
18	ytlv19451115-01.1.13	15 November 1945	ytlv	Page 13	"<div class=""txtsearchsnippet"">... אדמת זאכלאוי, בשכונת מתלול, בקייטנות של ועדההורים המרכזי, ובקרבת <b class=""highlightcolor"">בית־החולים הממשלתי</b> . הירקון"", במקום שנועד להקמת צריפי הסח בשביל ...</div>"
19	mivrak19471228-01.1.1	28 December 1947	mivrak	Page 1	"<div class=""txtsearchsnippet"">... בבית פצצה .הרופא הערבי נפצע אף הו^ בבית־צפפה נמצא <b class=""highlightcolor"">בית־החולים הממשלתי</b> לחולי שחפת.</div>"
20	haretz19451211-01.1.4	11 December 1945	haretz	Page 4	"<div class=""txtsearchsnippet"">תר איבראהים איטאים משכם נתמנה לסגן מנהל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה, במקומו של ד-ר מישלאני, שנתמנה מנהל <b class=""highlightcolor"">בית־החולים ...</b></div>"
21	ytlv19450916-01.1.4	16 September 1945	ytlv	Page 4	"<div class=""txtsearchsnippet"">... גי ת תולי־הרות, תשובה: העידיה מאיצה במתלקת-הבדיאות הממשלתית לפתוח <b class=""highlightcolor"">בית־החולים הממשלתי</b> בבת־ים, אולם שאלת האישפוז של הולי־הרוח בעיר לא ...</div>"
22	hadoar19470509-01.1.5	9 May 1947	hadoar	Page 5	"<div class=""txtsearchsnippet"">... של אצ״ל, שנדונה למאסר שבע שנים והצליחה לברוח מתוך <b class=""highlightcolor"">בית־החולים הממשלתי</b> שבתוך ""מצודת ירושלים"", המוקפת שערי־ תייל וגדרי־תייל ומכוניות ...</div>"
23	hayomjlm19481122-01.1.1	22 November 1948	hayomjlm	Page 1	"<div class=""txtsearchsnippet"">... לא להעברת ציודו. הנימוק של השלטונות היהודים הוא כי <b class=""highlightcolor"">בית־החולים הממשלתי</b> חייב להשאר במצבו הקודם כדי למסור אותו, בבוא ...</div>"
24	haolam19480108-01.1.13	8 January 1948	haolam	Page 13	"<div class=""txtsearchsnippet"">... מלוך, שנהרג מן היריות בשיך נ'ראח. במו כן נמצאת <b class=""highlightcolor"">בית־החולים הממשלתי</b> גופת ערבי שלא זוהתה וערבי כשם ג'אבר סלימן ...</div>"
