id	date	pub	title	gap	nearest	rivals	chars	band	new	forms
dav19300306-01.2.40	1930-03-06	dav	Untitled	284	jaffa	english,rothschild	4824	far	new	spelled
dav19310121-01.2.5	1931-01-21	dav	םערה נורמת נוסי&#8237;::&#8236; בחיפה.ובתל־אביב	156	haifa		2479	far	new	spelled
dhy19310301-01.2.41	1931-03-01	dhy	מאסר קומוניסט;	103	haifa		1024	near	seen	abbreviated
dhy19310308-01.2.33	1931-03-08	dhy	חיפה	496	haifa	hadassah	3754	far	new	abbreviated
dav19310423-01.2.34	1931-04-23	dav	ירושלים	866	jaffa		4063	far	seen	abbrev_short
dav19311008-01.2.37	1931-10-08	dav	חי_©ח	23	haifa		1207	near	seen	spelled
haretz19311206-01.2.19	1931-12-06	haretz	>שמוצים;.לשם בזבוז	3150	jerusalem	english	7627	far	new	indefinite
dhy19320612-01.2.31	1932-06-12	dhy	Untitled	323	jaffa		2333	far	new	abbreviated
dhy19320623-01.2.33	1932-06-23	dhy	_בחרוזות חיריח	514	haifa		1830	far	new	spelled
dav19320714-01.2.22	1932-07-14	dav	בעוד טוען	20	tiberias		2343	near	seen	spelled
dav19330118-01.2.43	1933-01-18	dav	מחלקת הבריאות מם3רת	18	haifa	hadassah	9059	near	seen	abbreviated
kolisraeljlm19330504-01.2.17	1933-05-04	kolisraeljlm	בארץ	557	acre		3877	far	new	spelled
haretz19330703-01.2.12	1933-07-03	haretz	מצסצויאוח בא׳, בשנת !185	20	haifa	hadassah	5609	near	seen	spelled
haretz19330802-01.2.52	1933-08-02	haretz	בחיפה	1164	acre		1342	far	new	spelled
haretz19331010-01.2.37	1933-10-10	haretz	כחיפה	108	haifa		4416	near	seen	abbreviated
dav19331020-01.2.33	1933-10-20	dav	בי ערבי האח	280	safed		1468	far	seen	spelled
haretz19331030-01.2.7	1933-10-30	haretz	יום אתמול בירושלים	653	jerusalem		3775	far	new	spelled
haretz19331101-01.2.12	1933-11-01	haretz	צנזורה על כל דבר שבדפוס	1774	jerusalem		3705	far	new	spelled
haretz19331122-01.2.49	1933-11-22	haretz	שאלה אל הצמר	172	jaffa	hadassah	4377	far	seen	spelled
