date	pub	page_id	verdict	hospital_mentions	towns_in_range	other_haifa_hospitals	found_by
1930-01-17	dav	dav19300117-01.1.4	other	2	telaviv		spelled
1930-01-31	dav	dav19300131-01.1.1	other	3	jaffa		abbreviated
1930-03-06	dav	dav19300306-01.1.6	other	5	jaffa,jerusalem		spelled
1930-03-27	dav	dav19300327-01.1.3	untowned	3			abbreviated
1930-04-11	hhr	hhr19300411-01.1.3	other	1	jerusalem		spelled
1930-04-17	dhy	dhy19300417-01.1.1	other	2	jerusalem	hadassah	spelled
1930-07-24	dav	dav19300724-01.1.3	other	3	jaffa,jerusalem		spelled
1931-01-21	dav	dav19310121-01.1.1	untowned	1			spelled
1931-03-01	dhy	dhy19310301-01.1.4	mixed	2	haifa,jerusalem		abbreviated
1931-03-08	dhy	dhy19310308-01.1.4	other	3	jaffa		abbreviated
1931-04-07	haretz	haretz19310407-01.1.2	untowned	4			spelled
1931-04-17	dhy	dhy19310417-01.1.1	untowned	3			spelled
1931-04-23	dav	dav19310423-01.1.4	mixed	5	haifa,jaffa,jerusalem,tiberias		abbrev_short
1931-06-05	haam	haam19310605-01.1.1	other	1	nablus		spelled
1931-09-09	dav	dav19310909-01.1.1	other	1	nablus		spelled
1931-10-08	dav	dav19311008-01.1.4	haifa	1	haifa		spelled
1931-12-06	haretz	haretz19311206-01.1.2	other	1	jerusalem		indefinite
1932-04-20	bustenai	bustenai19320420-01.1.5	other	4	jaffa,jerusalem,telaviv	hadassah	maqaf
1932-05-25	dav	dav19320525-01.1.4	other	5	jerusalem		spelled
1932-06-06	dhy	dhy19320606-01.1.4	other	2	jerusalem	english	spelled
1932-06-12	dhy	dhy19320612-01.1.4	other	2	jaffa,jerusalem		abbreviated
1932-06-22	dav	dav19320622-01.1.5	other	8	jaffa,jerusalem		abbrev_short
1932-06-23	dhy	dhy19320623-01.1.4	untowned	1			spelled
1932-07-14	dav	dav19320714-01.1.3	mixed	9	gaza,haifa,jaffa,ramleh,tiberias		spelled
1932-07-25	dhy	dhy19320725-01.1.1	untowned	3			spelled
1932-08-08	dav	dav19320808-01.1.4	untowned	2			abbreviated
1932-08-12	dav	dav19320812-01.1.1	other	2	acre,jaffa,nablus		spelled
1932-10-16	dhy	dhy19321016-01.1.1	untowned	1			abbreviated
1932-12-08	dav	dav19321208-01.1.3	untowned	1			spelled
1932-12-16	dav	dav19321216-01.1.6	other	3	jaffa	hadassah	spelled
1933-01-18	dav	dav19330118-01.1.4	mixed	4	haifa,tiberias	hadassah	abbreviated
1933-03-13	dav	dav19330313-01.1.3	no_hospital_term	0			abbrev_short
1933-05-04	haretz	haretz19330504-01.1.4	other	2	acre,telaviv		spelled
1933-05-04	kolisraeljlm	kolisraeljlm19330504-01.1.4	other	1	acre,jaffa,nablus		spelled
1933-05-12	dav	dav19330512-01.1.4	other	24	jaffa,jerusalem,telaviv		maqaf
1933-06-21	haretz	haretz19330621-01.1.4	other	3	jerusalem,telaviv	hadassah	abbreviated
1933-06-23	dhy	dhy19330623-01.1.1	other	1	jerusalem		spelled
1933-06-23	haretz	haretz19330623-01.1.1	other	1	jerusalem		spelled
1933-07-03	haretz	haretz19330703-01.1.2	mixed	3	haifa,jerusalem,nablus,tiberias		spelled
1933-07-11	haretz	haretz19330711-01.1.1	other	3	jaffa,jerusalem		abbreviated
1933-07-20	dav	dav19330720-01.1.4	other	9	telaviv	hadassah	indefinite
1933-08-02	haretz	haretz19330802-01.1.4	untowned	1			spelled
1933-08-08	dhy	dhy19330808-01.1.4	other	4	jerusalem,safed		spelled
1933-10-10	haretz	haretz19331010-01.1.4	mixed	2	acre,haifa,ramleh		abbreviated
1933-10-20	dav	dav19331020-01.1.5	mixed	6	haifa,jerusalem,safed,telaviv		spelled
1933-10-29	haretz	haretz19331029-01.1.4	other	8	jaffa,telaviv	english,hadassah	spelled
1933-10-30	haretz	haretz19331030-01.1.1	other	3	jaffa		spelled
1933-11-01	haretz	haretz19331101-01.1.1	untowned	1			spelled
1933-11-22	haretz	haretz19331122-01.1.6	mixed	10	haifa,jaffa,jerusalem,ramleh		spelled
1933-11-29	haretz	haretz19331129-01.1.5	other	20	gaza,jaffa,telaviv		abbreviated
1933-12-17	haretz	haretz19331217-01.1.2	untowned	3			spelled
1933-12-19	haretz	haretz19331219-01.1.1	untowned	1			abbreviated
1934-01-14	itonmeyuhad	itonmeyuhad19340114-01.1.4	other	2	telaviv		abbreviated
1934-01-25	haretz	haretz19340125-01.1.4	mixed	3	haifa,telaviv		abbreviated
1934-02-12	haretz	haretz19340212-01.1.3	other	2	jaffa		abbreviated
1934-02-14	dav	dav19340214-01.1.4	untowned	2			spelled
1934-03-04	haretz	haretz19340304-01.1.3	other	1	jaffa		spelled
1934-03-21	dav	dav19340321-01.1.4	untowned	3			abbreviated
1934-04-12	itonmeyuhad	itonmeyuhad19340412-01.1.1	untowned	1			abbreviated
1934-05-09	dav	dav19340509-01.1.4	other	2	jaffa,jerusalem		spelled
1934-06-17	haretz	haretz19340617-01.1.1	other	3	jaffa		abbreviated
1934-06-18	dav	dav19340618-01.1.5	haifa	4	haifa		spelled
1934-07-11	dav	dav19340711-01.1.2	other	1	jaffa		indefinite
1934-07-28	itonmeyuhad	itonmeyuhad19340728-01.1.2	other	3	jaffa	hadassah	maqaf
1934-08-12	dav	dav19340812-01.1.3	other	18	jaffa	hadassah	spelled
1934-08-14	itonmeyuhad	itonmeyuhad19340814-01.1.1	untowned	2			maqaf,spelled
1934-08-19	dav	dav19340819-01.1.1	other	3	nablus		spelled
1934-08-21	dav	dav19340821-01.1.3	other	18	jaffa,jerusalem	hadassah	spelled
1934-08-30	yarden	yarden19340830-01.1.4	other	2	jaffa		spelled
1934-09-03	dav	dav19340903-01.1.4	mixed	8	haifa,jaffa,telaviv		spelled
1934-09-22	itonmeyuhad	itonmeyuhad19340922-01.1.1	other	11	jaffa		spelled
1934-10-03	haretz	haretz19341003-01.1.2	other	3	hebron,jaffa,safed,tiberias	hadassah	indefinite
1934-10-18	dhy	dhy19341018-01.1.5	other	3	jerusalem,ramleh	hadassah,rothschild	spelled
1934-10-23	dhy	dhy19341023-01.1.1	other	1	jaffa		spelled
1934-11-07	dav	dav19341107-01.1.2	other	10	jerusalem,telaviv		spelled
1934-11-24	dav	dav19341124-01.1.2	other	1	jaffa		abbreviated
1935-01-14	dav	dav19350114-01.1.2	untowned	2			indefinite
1935-02-06	dav	dav19350206-01.1.5	other	4	jerusalem		spelled
1935-02-08	yarden	yarden19350208-01.1.4	other	1	jerusalem		indefinite
1935-02-11	dav	dav19350211-01.1.4	other	3	jaffa		spelled
1935-03-04	yarden	yarden19350304-01.1.1	other	9	acre,jaffa,jerusalem,telaviv	hadassah	indefinite
1935-03-07	dav	dav19350307-01.1.3	other	36	jaffa		spelled
1935-03-08	dhy	dhy19350308-01.1.4	other	1	jerusalem		spelled
1935-03-12	haretz	haretz19350312-01.1.1	other	3	jerusalem,telaviv		indefinite
1935-03-22	dhy	dhy19350322-01.1.6	other	1	jerusalem		spelled
1935-04-04	dhy	dhy19350404-01.1.6	other	1	jaffa		abbreviated
1935-04-17	dav	dav19350417-01.1.4	other	1	jaffa		spelled
1935-04-19	haretz	haretz19350419-01.1.9	other	2	jaffa		spelled
1935-04-21	dav	dav19350421-01.1.6	mixed	4	haifa,jaffa		spelled
1935-05-09	dhy	dhy19350509-01.1.6	mixed	2	haifa,jaffa		spelled
1935-06-13	haretz	haretz19350613-01.1.6	untowned	2			spelled
1935-08-12	dav	dav19350812-01.1.6	untowned	2			spelled
1935-08-18	dav	dav19350818-01.1.6	other	5	jaffa,jerusalem,telaviv	hadassah	maqaf
1935-09-12	dhy	dhy19350912-01.1.8	haifa	4	haifa		indefinite
1935-09-26	dav	dav19350926-01.1.6	mixed	6	haifa,tiberias	hadassah	indefinite
