n	id	date	publication	title	snippet
1	ahr19430831-01.1.3	31 August 1943	ahr	Page 3	"<div class=""txtsearchsnippet"">הופות, גטין במשך _חרדש יולי נערכו <b class=""highlightcolor"">בחיפה</b> 91 חופה‭34. ‬ זוגוח נתגרש ו אותו חודש על ...</div>"
2	ahr19440809-01.1.3	9 August 1944	ahr	Page 3	"<div class=""txtsearchsnippet"">... מל_» נתן נגד תשלום של 225 מא""י ליום. הנהלת <b class=""highlightcolor"">בית החולים</b> ר''ר כלומנטל</div>"
3	ahr19441018-01.1.4	18 October 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... ג העירית ר רע־ ק ו, היריע מנהל י <b class=""highlightcolor"">בית־החולים</b> העירוני , י שמש מעתה מפקח רפואי בטיפול בעולים ...</div>"
4	ahr19460319-01.1.4	19 March 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... ויש לדאוג ייהבאר פועלים למקום זה מועצה־הפיעלים עבודה עם <b class=""highlightcolor"">_ביהח</b> עומדת ''ר "" לחתום גלעם‭, ""‬ על שלי חו־ ...</div>"
5	ahr19470209-01.1.3	9 February 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... גאני עבדול לטוף חמד, בעל חנות פירות ברחבת חמרה <b class=""highlightcolor"">בחיפה</b> והחלו ""לסחוב"" מן הבא ביד. בעל החנות התנגד. המזויינים ...</div>"
6	ahr19470224-01.1.4	24 February 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... חוושיפ נקבע ל־4 במארס _השופ בביח־המשפט _0 קיל, המחוזי <b class=""highlightcolor"">בחיפה,</b> לפני רועים משחיתים, — שופרי השדות של קיבוץ שדה־נחום ...</div>"
7	ahr19470815-01.1.5	15 August 1947	ahr	Page 5	"<div class=""txtsearchsnippet"">ה ש ‭[ a‬ ש ל ך <b class=""highlightcolor"">בחיפה</b> _זילביגר חיפה. _רח»ב ‭44 13?‬ ו י</div>"
8	ahr19471116-01.1.3	16 November 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... ""הפועל"" היפה ביצה אח ""הפועל־הצפדן ת""א כ-נ‭0:‬ _במישחק שנערך <b class=""highlightcolor"">בחיפה</b> הצליחה קבוצת ""הפועל"" המקומי לנצח את ""הפועל־הצפון"" ה""א לאחר ...</div>"
9	ahr19480829-01.1.3	29 August 1948	ahr	Page 3	"<div class=""txtsearchsnippet"">... האספקה, תוך הערכה מיוחדת צויינה עזרתם של ארגוני !זיפ <b class=""highlightcolor"">בחיפה</b> _ברלחרד, בסכסרות. הודגש‭:, ‬י חובתו שי־ הציבור וכל פרט ...</div>"
10	ahr19480919-01.1.1	19 September 1948	ahr	Page 1	"<div class=""txtsearchsnippet"">... נכיון מצד מישהו לרדוף אחריהם, ברנאווט הובא חיש־מהר אל <b class=""highlightcolor"">בית־ החולים.</b> הוא נפצע בחזהו וניסה לדבר, אך האנשים שליווהו ...</div>"
