date	pub	page_id	window
1934-06-10	difaa	difaa19340610-01.1.5	…المستر ( فوكس ( والبوليس العربي محمد الاسود وحصان احدها فقتلته وذلك قرب نهر المقطع وقد اصيبا بجروح خطرة نقلا بسببها الى المستشفى ، وقد هرب السائق والتحري جار القبض عليه تبرع الجمعيه المسيحيه لمنكوبى طبريا حيفا - المراسل الدفاع - تبرعت الجمعية المسيحية بحيفا بمبلغ ٢٠ جنيها لمنكوبي طبر يا حوالة الى بنك دي روما زيادة ١٤٠ مصباحاً كهربائياً قدمت لجنة زيادة الانوار الكهربائية بحيف…
1934-06-17	difaa	difaa19340617-01.1.5	… قرمان دبك وسلطى بمدية ارداه قتيلا وقد طعنه الآخر وهو في حالة النزاع بمدية في ظهره طعن سببت له جرحاً خطير أو هو الان في المستشفي تبرع وجيه لحفلة المولد النبوي تبرع الوجيه الفاضل توفيق بك الخليل بمبلغ خمسة جنيهات الجمعية الشبان المسلمين في حيفا لتصرف فى حملة المولد النبوي الشريف والجمعية تشكره على هذا التبرع الحجز على اراضى حماد طولكرم في ١٦ الجاري - مراسل الدفا…
1934-09-20	difaa	difaa19340920-01.1.4	…اطارت الموسى منها ، ثم انقض عليه مع آخرين، وساموه الى البوليس . وقيل لنا ان اصابة المدعو حسين سليم الجربيشي وهو من سكان حيفا ، خطرة ، وقد نقل على اثرها الى المستشفى حيث اجريت له عملية جراحية ولا تزال حالته تنذر بالخطر اما بقية المصابين فقد نقلوا الى عيادة الدكتور عكاوي القريبة من مكا…
1935-03-12	difaa	difaa19350312-01.1.4	…اريخ ١٩ الجاري است سيارة نارية رفعها ٥٧٥٦ المدعو موسى الجنيدلي من الكعابنه - الخليل فاصابته عرب بجروح نقل على اثرها إلى المستشفى الحكومي واعتقل السائق ثم اخلي سبيله بكفالة. توفى على الاثر وردت اخبارية لدائرة بوليس حيفا صباح ١٠ الجارى تفيد ان احمد عبد الرحمن الشيخ قاسم توفي على اثر اصابته بضربة حجر فى رأسه من يد المدعو ا مولوی محمد مولوي…
1935-11-18	difaa	difaa19351118-01.1.4	…ر» في السياره فانقلبت في واد وحدث من جراء ذلك عده جروح ورضوض للمسيد تيودور في يده اليسرى ورجليه وادخل مستشفى الحكومة في حيفا، فزرناه اليوم ووجدنا أن حالته حسنة وسيغادر المستشفى بعد ثلاثة ايام الدفاع » : نأسف لوقوع هذا « الحادث و نطمئن اصدقاء السيد صروف بان صحته جيده وسيحضر الى يافا خلال يومين هذ…
1935-11-20	difaa	difaa19351120-01.1.5	…احه وتفوقه في فن الموسيقى والغناء. وقد القى السيد شفيق الانصاري منلوجا وطنيا كلمة شكر اما وقد خرجت من مستشفى الحكومة في حيفا ، على اثر حادث انقلات السياره ، فانني اشكر حضره طبيب المستشف الدكتور حمزه ، وسائر ممرضات المستشفى الفضليات واخص بالذكر الانستين فكتوريا حوراني وخايا على العناية الفائقة التي قمن بها يحوي اثناء المرض كما اشكر للاونباشي…
1936-02-16	difaa	difaa19360216-01.1.6	…ابراهيم ابو كحيل في الشيخ مونس بمرض مناجيء الزمه العراش ، فنتمنى له شفاء عاجلا وفاة بتأثير اصطدام توفى في صباح اليوم في المستشفى الحكومي السيد محمد صادق شبلي متأثراً من جراحه التى حصلت له على اثر اصطدام السيارة التى كان يركبها في القطار بين حيفا وعكا ميزانية الحكومة بلغت ميزانية حكومة فلسطين حتى نهاية شهر كانون الثاني ٦,٢٩٨/١٣٤ جنيها وتفصيلها ٤٨٩,٥٠٠ جنيه عملة فض…
1936-04-05	difaa	difaa19360405-01.1.7	…العالم الطبي التجاري نورد الوقائع الاتية : اما واقعية رجال عربي رافق امرأته وهي حامل الاستشارة طبيب اختصاصي بالتوليد في حيفا. وبعد فحصها نصحه الطبيب ادخالها المستشفى لقاء خمسة عشر جنيه فرفض الزوج وترك امرأته حتى يستخف عربة لنقلها . اثناء غيابه تقدم الطبيب من المرأة وأسف لحالها وقال له…
1936-08-12	difaa	difaa19360812-01.1.5	…من هنا وقد دامت المعركة سبع ساعات وقعت فيها عدة اصابات والقى الجند القبض على اربعة اشخاص من الثوار منهم جريحان تقلا إلى المستشفى بنابلس خالقی لولا تدخل العقلاء . قدم امس الى هنا اربعة اشخاص من حيفا اشتبه بسلوكهم وحركاتهم لولا الجمهور عليهم القبض وانهال عليهم بالضرب الشديد حتى كاد ان يفتك . تدخل البعض «الدفاع» : الى …
1936-08-24	difaa	difaa19360824-01.1.5	…لمحافظة عليهم عدد من رجال البوليس وفهمت ان بعض رجال الجمعية الصهيونية ذهبوا الى الفندق واجتمعوا الى الوزراء . ٣ يهود في حيفا يتسممون تسمم ثلاثة اشخاص من اليهود أمس الأول انتناولهم لحوماً مسمومة وقد نقلوا الى المستشفى الله مالية . غالبم ثلاث دبابات محطمة مرت بشوارع المدينة ثلاث دبابات حربية محطمة في طريقها الى بيت حيث يخيم الجيش البريط…
