date	pub	lang	page_id	kind	term	place	haifa	dateline	diseases	transfer	window
1935-05-20	difaa	ar	difaa19350520-01.1.8	infectious_hospital	مستشفي الامراض الساريه		paragraph				…را في نشر المرض في المرضي المصابين بفضل ما يتمتعون به من صحه جيده ولاختلاطهم بالجمهور . اما المريض الحقيقي فيحتاط اهله وربما تمكنت الحكومه من حجزه في مستشفي الامراض الساريه . فلو عملت دايره الصحه لزرع البراز السكان الاحياء للشبوهه وتمكنت من اعطاء ادويه مساعده او حاملي حجز العدوي ، لاسدت البلد خدمه كبري ولا يخفي ما للتطعي…
1936-04-05	difaa	ar	difaa19360405-01.1.7	kerentina	الكرنتينه		other:Hebron	Hebron			…محله السيد رباح الشهابي ضبط اغنام تمكن السيد اديب العلم مفتش الواشي بالخليل من ضبط خمسمايه وعشرين راسا من الغنم قادمه من شرق الاردن وغير مستوفيه شروط الكرنتينه . وقد بديء امس في معاينتها خوفا من الامراض محطه الاذاعه طير فريق كبير من علماء المدينه ووجهايها برقيه الي المندوب السامي يحتجون فيها علي عدم تلاوه ال…
1937-10-12	difaa	ar	difaa19371012-01.1.5	kerentina	الكرنتينا	Haifa	dateline	Haifa			"…حيفا في ١١ تشرين اول - لمراسل الدفاع الخاص - وجد عربي اسمه علي | احمد حجازي مقتولا قرب الكرنتينا بحيفا ، نهار امس ، وقد تبين ان القتل نجم ا عن ضربه باله صلبه في راسه ا عدد المعتقلين، وجب قانون الطواريء في "" عامت ان عدد المعتقلين في مخيم المزرعه ب…"
1938-04-03	difaa	ar	difaa19380403-01.1.4	kerentina	الكرنتينا	Haifa	dateline	Haifa			…ساير فرق سوريا ولبنان ، فتحت هواه الرياضه علي حضور هذه المباراه . تدريب موظفي الصحه بميناء تل ابيب سافر يوم امس الي ميناء تل ابيب الدكتور فرانكو طبيب الكرنتينا في حيفا، القضاء اربعين يوما هناك لتدريب الموظفين في الميناء ! ، فصل عمال ووصول مهاجرين يهود اخرجت دايره الاشغال العامه في حيفا من دايره عملها بعض الع…
1938-07-19	difaa	ar	difaa19380719-01.1.5	kerentina	الكرنتينا	Jaffa	page				…اعه العرب لبيع خضارهم كالعاده ، فجاء مجهولون واتلفوا لهم جميع الخضار وابعدوا الباعه من السوق . وقد اخطر البوليس بالحادث طبيب الميناء ... عهد الي طبيب الكرنتينا في يافا باز يقوم بالفحص الطبي لركاب البواخر التي ترس و في ساحل تل ابيب بالاضافه الي عمله في تفتيش ركاب البواخر التي ترسو في يافا ، وسيظل يشرف علي الع…
1938-07-19	difaa	ar	difaa19380719-01.1.5	kerentina	كرنتينا		page				… لركاب البواخر التي ترس و في ساحل تل ابيب بالاضافه الي عمله في تفتيش ركاب البواخر التي ترسو في يافا ، وسيظل يشرف علي العمل في المينايين حتي يعود طبيب كرنتينا ميناء تل ابيب من اجازته السنويه في انكلترا…
1938-07-27	difaa	ar	difaa19380727-01.1.8	kerentina	الكرنتيناوه		other:Nablus	Nablus		y	…ره وتقول (ها) وكر) ان بعمر المصاحبن اجتازو نهر الاردن الي الضفه الشرقيه وكان معهم بعض الجرحي ، وقالت ان الجريح قال ان بين المسلحين شخصا يعمل في دايره الكرنتيناوه - قبض عليه وفتش فتر بحيازته علي رصاصه ، ثم نقل الجريح الي المستشفي حيث فارق الحياه وعمره ٤٠ سنه وعمر ابنه ١٧ سنه . واذاع مكتب الاخبار عن الحادث المذك…
1938-07-30	difaa	ar	difaa19380730-01.1.5	infectious_hospital	مستشفي الامراض الساريه	Jerusalem	other:Jerusalem	Jerusalem			… سال الحكه عبد الله دست داد كتب تهديد فحكمت عليه بالسجن سته اشهر من تاريخ توقيفه . مستشفي للامراض الساريه في القدس جاءنا ما لي للنشر : يجري الان بناء مستشفي الامراض الساريه في القدس تبلغ نفقاته ١٦,٠٠٠ جنيه . وسيعد هذا المستشفي فراغا كبيرا اذ لم ينشا حتي الان مثله لمعالجه الامراض في مدينه عدد سكانها ۱۲۰,۰۰۰ نسمه وحيكون في…
1940-04-10	difaa	ar	difaa19400410-01.1.6	kerentina	الكرنتينا		page			y	… لتنظيم السقي وانهاء الخلاف المتكرر مطالبه السكان باعاده فتح دواير يلاقي سكان القضاء صعوبات في تنقلاتهم بين القري والمدينه منذ ان اغلقت الحكومه دواير الكرنتينا والبوليس والجمرك علي جسر الشيخ حسين. وهم يطلبون اعاده فتح هذه الدواير حرصا علي المصلحه العامه وتشجيعا للنجاره…
1940-12-25	difaa	ar	difaa19401225-01.1.2	quarantine_station	الحجر الصحي		page				…ه الحج هذا العام بلغ ٢٧٢ حاجا حتي يوم ۱۷ ديسمبر الحالي وقد اخذت المصلحه في اعداد المعدات لارسال هييه من موظفيها واطبايها ومستخدميها للاشراف علي اعمال الحجر الصحي في محجر الطور بعد انتهاء موسم الحج…
1940-12-25	difaa	ar	difaa19401225-01.1.2	quarantine_station	محجر الطور		page				…م بلغ ٢٧٢ حاجا حتي يوم ۱۷ ديسمبر الحالي وقد اخذت المصلحه في اعداد المعدات لارسال هييه من موظفيها واطبايها ومستخدميها للاشراف علي اعمال الحجر الصحي في محجر الطور بعد انتهاء موسم الحج…
1940-12-27	difaa	ar	difaa19401227-01.1.2	quarantine_station	الحجر الصحي		other:Cairo	Cairo			…القاهره في ٢٦ ك ١- م- تقرر ان يسافر قريبا من السويس في المطور بعض موظفي مصلحه الحجر الصحي الذين سيقومون باجراءات الحجر الصحي علي الحجاج هذا العام ومعهم معداهم ومهانهم…
1940-12-27	difaa	ar	difaa19401227-01.1.2	quarantine_station	الحجر الصحي		other:Cairo	Cairo			…القاهره في ٢٦ ك ١- م- تقرر ان يسافر قريبا من السويس في المطور بعض موظفي مصلحه الحجر الصحي الذين سيقومون باجراءات الحجر الصحي علي الحجاج هذا العام ومعهم معداهم ومهانهم…
1940-12-27	difaa	ar	difaa19401227-01.1.2	quarantine_station	الحجر الصحي		other:Cairo	Cairo			…وقد تم الاتفاق مبدييا بين وزاره الداخليه ومصلحه الحجر الصحي علي اخلاء نصف عنابر المحجر لاستقبال الحجاج .…
1941-06-17	difaa	ar	difaa19410617-01.1.2	quarantine_station	المحجر الصحي		page				…البقر السوداني وصلت الي محطه اللد امس وبعد ان فحصها وضعت في المحجر الصحي وقام حضرته بجوله في سوق الحيوانات وكان السيد اديب المعلم مفتش المواشي قد لقح ١٤٠٠ راس من الغنم ضد مرض الحمي الطحاليه التدريب علي الوقايه تعمل البلديه…
1941-06-18	difaa	ar	difaa19410618-01.1.2	quarantine_station	المحجر الصحي		page				…البقر السوداني وصلت الي محطه اللد امس وبعد ان فحصها وضعت في المحجر الصحي وقام حضرته بجوله في سوق الحيوانات وكان السيد اديب المعلم مفتش المواشي قد لقح ١٤٠٠ راس من الغنم ضد مرض الحمي الطحاليه التدريب علي الوقايه : تعمل البلد…
1941-09-09	difaa	ar	difaa19410909-01.1.2	kerentina	الكرنتينا		page			y	…لفلسطيني خلال هذين الاسبوعين وفاه فجاييه توفي في الساعه الخامسه من بعد ظهر امس الاول - الاحد - السيد عفيف خرعوبا فجاه اثناء جلوسه علي مقهي قرب مستشفي الكرنتينا بمحله الجباليه وكان قد قصده الاستراحه قليلا ولم يستقر به الجلوس علي السكر سي حتي سقط عنه وفاضت روحه، وقد نقل الي المستشفي الحكومي وحولت اوراقه امين ا…
1941-09-23	difaa	ar	difaa19410923-01.1.2	kerentina	الكرنتينا		page			y	…صدمت احدي سيارات الخط رقم ٣ ظهر امس طفلا في الثالثه من عمره بالقرب من مستشفي الكرنتينا فبترت يده، وقد نقل الطفل الي المستشفي وتولي مركز بوليس العجمي التحقيق في الحادث…
1941-11-26	difaa	ar	difaa19411126-01.1.2	quarantine_station	المحجر الصحي		page				…الفلسطينيه الرسميه وفيه اربعه اخبار اولها امر بتوقيع السكرتير العام الحكومه فلسطين يامر يمنع استيراد البقر عن طريق المحجر الصحي للبهايم في او بيزيا . والثاني امر اخر يمنع بموجبه بيع الابقار او عرضها للبيع في اسواق الحيوانات في الخالصه و خيام الوليد وزفزف من قضاء صفد…
