n	id	date	publication	title	snippet
1	pls19340309-01.2.48	9 March 1934	pls	_PASSENGERS' LUCKY ESCAPE	"<div class=""txtsearchsnippet"">OVERTURNED TRUCK <b class=""highlightcolor"">Haifa</b> , Thursday . — The family of Mr . ...</div>"
2	pls19390227-01.2.4	27 February 1939	pls	UNKNOWN	"<div class=""txtsearchsnippet"">There were two murderous attacks on private citizens in <b class=""highlightcolor"">Haifa</b> yesterday , in which three Jews lost their lives ...</div>"
3	pls19390416-01.2.20	16 April 1939	pls	Untitled	"<div class=""txtsearchsnippet"">... were shot and fatall y wounded by Arabs in <b class=""highlightcolor"">Haifa</b> and an Arab Councillor was murdered in Gaza yesterday ...</div>"
4	pls19400805-01.2.31	5 August 1940	pls	FIRST AID STATIONS	"<div class=""txtsearchsnippet"">... Holim , Ben Yehuda Street Dr . Wallach s <b class=""highlightcolor"">Hospital</b> , Jaffa <b class=""highlightcolor"">Road</b> Beit Hakerem Seminary Spitser School , ...</div>"
5	pls19400812-01.2.70	12 August 1940	pls	RrJS ii APD 37 A H BOMS	"<div class=""txtsearchsnippet"">... Kupat Holim , Ben Yehuda Street Dr . Wallachs <b class=""highlightcolor"">Hospital</b> , Jaffa <b class=""highlightcolor"">Road</b> Beit Hakerem Seminary Spitser School , ...</div>"
6	pls19380719-01.2.23	19 July 1938	pls	'HAIFA RETURNS TO NORMAL CI » FMA PERFORMANCES AND OPEN CAFFS : TWO INCIDENTS	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> RETURNS TO NORMAL CI » FMA PERFORMANCES AND OPEN ...</div>"
7	pls19400820-01.2.38	20 August 1940	pls	P P _^ S 7 APP- STATIONS	"<div class=""txtsearchsnippet"">... Holim , Fen Yehuda Street Dr . Wallach s <b class=""highlightcolor"">_Hospital</b> , Jaffa <b class=""highlightcolor"">Road</b> Beit Hakerem Seminary Spit ser School ...</div>"
8	pls19390605-01.2.66	5 June 1939	pls	HAIFA GETTING READY JEWISH AND ARAB A . R . P . VOLUNTEERS INSPECTED	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> GETTING READY JEWISH AND ARAB A . R . ...</div>"
9	pls19381115-01.2.28	15 November 1938	pls	"' ""' B * « ' _""¦' _t . . 2 _AHaeh * fat fffaffa"	"<div class=""txtsearchsnippet"">... and the serious wounding of a Jewish student in <b class=""highlightcolor"">Haifa</b> , while in the other two cases , the ...</div>"
10	pls19381108-01.2.31	8 November 1938	pls	"HAIFA'S GOVERNMENT _LHOSPITAOPEN ""AT HOME"" FOR PRESSMEN"	"<div class=""txtsearchsnippet"">... the season of the Palestine Orchestra , arrived in <b class=""highlightcolor"">Haifa</b> yesterday on board the s . s ., Patria ...</div>"
11	plb19320915-01.2.6	15 September 1932	plb	_fiuard mardered a ( Haifa	"<div class=""txtsearchsnippet"">_fiuard mardered a ( <b class=""highlightcolor"">Haifa</b></div>"
12	palestinereview19370101-01.2.9	1 January 1937	palestinereview	HAIFA JEWS' BUDGET FROM TOWN AND COUNTRY	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> JEWS' BUDGET</div>"
13	pls19390907-01.2.1	7 September 1939	pls	LIGHTS AND SHADOWS IN HAIFA . 15 , 000 AFFECTED BY CITY'S SECOND BLACK-OUT	"<div class=""txtsearchsnippet"">LIGHTS AND SHADOWS IN <b class=""highlightcolor"">HAIFA</b> . 15 , 000 AFFECTED BY CITYS SECOND BLACK-OUT</div>"
14	pls19350711-01.2.26	11 July 1935	pls	in OROVt Spreading Carol ) Tree 5 ED WITH WITH causing causing a a disturb disturb- - AvCftS DiSHStef	"<div class=""txtsearchsnippet"">... BUS ROLLING DOWNHILL ( From Our Own Correspondent ) <b class=""highlightcolor"">HAIFA</b> , Wednesday . — Close to thirtwere saved from ...</div>"
15	pls19380118-01.2.15	18 January 1938	pls	_DRIVES FME BACK m HIGHWAY ATTACK J etc Seriously _Wounded POTASH LORRY CONVOY _AMTCNr _^ AT KM . 30 ON JERICHO ROAR	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> , Monday . — Several shots were fired at ...</div>"
16	plb19320306-01.2.18	6 March 1932	plb	miracle SH 6	"<div class=""txtsearchsnippet"">... of the traditional י lies at the foot * <b class=""highlightcolor"">Mountain</b> of the Beatitudes , Desert Place of _Bethsaida According ...</div>"
17	pls19381219-01.2.20	19 December 1938	pls	1 _Bf _^ _ffftf _^ _T _^ f _^ _ffijH _> . 0 _n _** 0 W < _ti * _^ _rf _?^	"<div class=""txtsearchsnippet"">... kilometres from the outskirts of Hebronand . near a <b class=""highlightcolor"">mountain</b> lead- , pass ing to the village of Yatta ...</div>"
18	pls19390216-01.2.6	16 February 1939	pls	54 CHILDREN _lMimwm _**^** , _m 7 . _w QVT mrH _Tp l ' OF 4 NOMM _9 _SLANDf f _^ _md _^ Mfr * _^^ _^ _pww	"<div class=""txtsearchsnippet"">... Azzun village , convicted on February 4 by the <b class=""highlightcolor"">Haifa</b> Military Court of being in possession of explosives .</div>"
19	pls19380711-01.2.6	11 July 1938	pls	ONE BEAD 24 INJUKEP BY BOMBS , / IM 0 WN AT TWO HAIFA BUSES	"<div class=""txtsearchsnippet"">... BY BOMBS , / IM 0 WN AT TWO <b class=""highlightcolor"">HAIFA</b> BUSES</div>"
20	pls19380313-01.2.1	13 March 1938	pls	STRAY SHOT CAUSES DEATH OF . SOLDIER TWO DAYS OF OPERATIONS IN NORTHERN PALESTINE	"<div class=""txtsearchsnippet"">... of Michael Akerman , a Jewish hawker , in <b class=""highlightcolor"">Haifa</b> on Friday afternoon ( reported on page 2 ) ...</div>"
21	pls19390413-01.2.9	13 April 1939	pls	ARABS- _CONTINUING _CAIKO CONFERENCES Egyptian Premier Believes Talks Have Made Progress	"<div class=""txtsearchsnippet"">TWO DAYLIGHT MURDERS IH <b class=""highlightcolor"">HAIFA</b> ARtB _VILLAGER SHOT DEAD BY OiaWG</div>"
22	pls19400703-01.2.13	3 July 1940	pls	"ITALY woos CATnoucs , ! VMO "" , ^ M ATJOtf' 5 nriPOUTCr-r"	"<div class=""txtsearchsnippet"">... , Rehavia Secondary School ); Dr . Wallach s <b class=""highlightcolor"">Hospital</b> , Jaffa <b class=""highlightcolor"">Road</b> ; Beth Hakerem , Seminary ; ...</div>"
23	pls19350503-01.2.26	3 May 1935	pls	3 , 30 ^ -Year-Old Palace	"<div class=""txtsearchsnippet"">... . Heinemann DENTA DENTAL L SURGEON SURGEON - - <b class=""highlightcolor"">Haifa</b></div>"
24	palestinereview19380107-01.2.8	7 January 1938	palestinereview	FROM TOWN AND COUNTRY Returning Home	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> OUT of the fog, frost and snow of Europe ...</div>"
25	pls19370901-01.2.21	1 September 1937	pls	Graf ! nail on of NOTABLES SUttMONLD TO HEAR	"<div class=""txtsearchsnippet"">... &gt; _«^ \ IT TR MNING SCHOOL &lt; _FKKAIONY <b class=""highlightcolor"">HAIFA</b> , Tuesday . — Two delegations of Arab and ...</div>"
26	amjwld19290802-01.2.9	2 August 1929	amjwld	National Geographic Society Surveys Palestine	"<div class=""txtsearchsnippet"">... a guidebook . Motor cars on the modern Jezreel <b class=""highlightcolor"">road</b> make the chariot speed record of the original Jehu ...</div>"
27	pls19381212-01.2.1	12 December 1938	pls	"i _i J i rcj w _FJJ IP lu JL ll > IHi ) CJ Al __ \ , | OJ 7 H . ""irjT * _TT _- _JTI A _fi _^ B _^* J _> _Tr _^ _^ _T , _* ""ff "" l CJT _\ ff _4 D _Ttvo More Daylight M . urder $ THIRTY BRIGANDS ARRESTED DURING MILITARY SEARCHES"	"<div class=""txtsearchsnippet"">There were two more daylight murders in <b class=""highlightcolor"">Haifa</b> yesterday , when Yohan . Shtahl , aged 40 ...</div>"
28	palestinereview19360821-01.2.5	21 August 1936	palestinereview	THE WEEK IN COMMENT	"<div class=""txtsearchsnippet"">... absolute equality of men and women. The Change at <b class=""highlightcolor"">Haifa</b> For several months, the northern port withstood the propaganda ...</div>"
29	pls19371231-01.2.23	31 December 1937	pls	U A R T E Q	"<div class=""txtsearchsnippet"">... tve arrived Ihere and rave been admitted to th-e <b class=""highlightcolor"">hospital</b> of the S \ rian I Diversit . y ...</div>"
30	cgs19350613-01.2.23	13 June 1935	cgs	Telling It In Gath	"<div class=""txtsearchsnippet"">... Dr . Rushdi Tamimi lectured on public ference in <b class=""highlightcolor"">Haifa</b> recently , a certain superstitions . At the Arab ...</div>"
31	newpalestine19290301-01.2.18	1 March 1929	newpalestine	OLDNEWLAND	"<div class=""txtsearchsnippet"">II <b class=""highlightcolor"">Haifa,</b> the Port of Palestine Summary of Previous Instalment Friedrich ...</div>"
