n	id	date	publication	title	snippet
1	jamiyyatalqidis19340601-01.1.16	1 June 1934	jamiyyatalqidis	Page 16	"<div class=""txtsearchsnippet"">الانجيليون متى . مرقس . <b class=""highlightcolor"">لوقا</b> . يوحنا</div>"
2	hunaalquds19410503-01.1.16	3 May 1941	hunaalquds	Page 16	"<div class=""txtsearchsnippet"">نبذة من تاريخ مستشفى مار <b class=""highlightcolor"">لوقا</b> في الخليل</div>"
3	jihad19390821-01.1.3	21 August 1939	jihad	Page 3	"<div class=""txtsearchsnippet"">مدرسة مار <b class=""highlightcolor"">لوقا</b></div>"
4	falastin19350718-01.1.6	18 July 1935	falastin	Page 6	"<div class=""txtsearchsnippet"">... جاء البوليس وقبض عليهما بتهمة تعكير النظام مستشفى مار <b class=""highlightcolor"">لوقا</b> جاءنا من المستر فورستر مدير مستشفى مار <b class=""highlightcolor"">لوقا</b> في ...</div>"
5	falastin19340506-01.1.8	6 May 1934	falastin	Page 8	"<div class=""txtsearchsnippet"">... ٥١، والاصحاح التاسع عشر، الآية ۲۸ ، من انجيل <b class=""highlightcolor"">لوقا،</b> فيرى ما هو مكتوب هناك مشاهدا امامه ، سواء ...</div>"
6	falastin19350627-01.1.7	27 June 1935	falastin	Page 7	"<div class=""txtsearchsnippet"">... - من عادة البلدية من تدفع الى مستشفى مار <b class=""highlightcolor"">لوقا</b> ... جنيه فلسطيني في كل سنة لقا"" معالجه فقراء ...</div>"
7	difaa19350930-01.1.9	30 September 1935	difaa	Page 9	"<div class=""txtsearchsnippet"">... دی الخطب ) الابراهيمي الشريف الموجود في مستشفي ما <b class=""highlightcolor"">لوقا</b> ( بالخال وهذه الفنية مضى عليها مدة من الزمن ...</div>"
8	falastin19420509-01.1.3	9 May 1942	falastin	Page 3	"<div class=""txtsearchsnippet"">| جاءنا من رئيس مستشفى مار <b class=""highlightcolor"">لوقا</b> في الخليل الكتاب التالي: بعد الاحترام. قرأت في عدد ...</div>"
9	difaa19350324-01.1.8	24 March 1935	difaa	Page 8	"<div class=""txtsearchsnippet"">... الالماني ان يسجل بسيارته سرعة ٣٢٠ كيلومتراً بالساعة في <b class=""highlightcolor"">لوقا</b> بايطاليا وترى في الصورة السيارة وهي مبنية على احدث ...</div>"
10	falastin19430815-01.1.2	15 August 1943	falastin	Page 2	"<div class=""txtsearchsnippet"">مدرسة مار <b class=""highlightcolor"">لوقا</b> - حيفا</div>"
11	falastin19440628-01.1.2	28 June 1944	falastin	Page 2	"<div class=""txtsearchsnippet"">تكريم المستر سمبل اقامت مدرسة مان <b class=""highlightcolor"">لوقا</b> وطلابها حفلة تكريمية في قاعة مدرسة البنات الانكليزية العليا ...</div>"
12	falastin19450919-01.1.2	19 September 1945	falastin	Page 2	"<div class=""txtsearchsnippet"">... الكبار والصغار من القدس فقط بل من مدرسة مار <b class=""highlightcolor"">لوقا</b> الابتدائية بحيفا حيفا - مدرسة مار <b class=""highlightcolor"">لوقا</b> الابتدائية طريق ...</div>"
13	falastin19420726-01.1.1	26 July 1942	falastin	Page 1	"<div class=""txtsearchsnippet"">شكر ووداع بمناسبة مغادرة السيدة هنا اسعد مستشفى مار <b class=""highlightcolor"">لوقا</b> في الخليل لاسباب صحية فهي تقدم خالص شكرها وتقديرها ...</div>"
14	falastin19400913-01.1.2	13 September 1940	falastin	Page 2	"<div class=""txtsearchsnippet"">مدرسة مار <b class=""highlightcolor"">لوقا</b> - حيفا تفتح مدرسة مار <b class=""highlightcolor"">لوقا</b> ابوابها لقبول الطلبة ...</div>"
15	falastin19311002-01.1.5	2 October 1931	falastin	Page 5	"<div class=""txtsearchsnippet"">... خطراً في رأسه وقد نقل الاول الى مستشفى مار <b class=""highlightcolor"">لوقا</b> الانكليزي في الخليل لاسعافه</div>"
16	falastin19301210-01.1.4	10 December 1930	falastin	Page 4	"<div class=""txtsearchsnippet"">... في دائرة الصحة بالخليل ، الى ان مستشفى مار <b class=""highlightcolor"">لوقا</b> يتناول خمسة قروش عن كل مريض . ولكننا فهمنا ...</div>"
17	falastin19420621-01.1.2	21 June 1942	falastin	Page 2	"<div class=""txtsearchsnippet"">انشاء ناد الطلبة مدرسة دار <b class=""highlightcolor"">لوقا</b> بحيفا</div>"
18	falastin19390912-01.1.2	12 September 1939	falastin	Page 2	"<div class=""txtsearchsnippet"">مدرسة مار <b class=""highlightcolor"">لوقا</b> في حيفا</div>"
19	difaa19420915-01.1.2	15 September 1942	difaa	Page 2	"<div class=""txtsearchsnippet"">... شمعة ان يكون تيارها اقل من . مدرسة مار <b class=""highlightcolor"">لوقا</b> نشر خطأ ان مدرسة مار <b class=""highlightcolor"">لوقا</b> بحيفا تفتح ابوابها ...</div>"
20	difaa19430818-01.1.2	18 August 1943	difaa	Page 2	"<div class=""txtsearchsnippet"">مدرسة مار <b class=""highlightcolor"">لوقا</b> - حيفا</div>"
21	falastin19400908-01.1.3	8 September 1940	falastin	Page 3	"<div class=""txtsearchsnippet"">مدرسة مار <b class=""highlightcolor"">لوقا</b> - حيفا تفتح مدرسة مار <b class=""highlightcolor"">لوقا</b> ابوابها لقبول الطلبة ...</div>"
22	falastin19390816-01.1.2	16 August 1939	falastin	Page 2	"<div class=""txtsearchsnippet"">... ماكي، الياس تصير جورج قسمت و نان مدرسة مار <b class=""highlightcolor"">لوقا</b> - حيفا : احمد حسين الحاج ، عطا الله ...</div>"
23	falastin19361221-01.1.2	21 December 1936	falastin	Page 2	"<div class=""txtsearchsnippet"">... خائن » او د ناشتي ، ويقول التقرير ان <b class=""highlightcolor"">لوقا</b> من الاشخاص قتلوا علي هذه الصورة ومع رغبة المسجونين ...</div>"
24	falastin19370220-01.1.2	20 February 1937	falastin	Page 2	"<div class=""txtsearchsnippet"">مدرسة مار <b class=""highlightcolor"">لوقا</b> في حيفا</div>"
25	falastin19341118-01.1.10	18 November 1934	falastin	Page 10	"<div class=""txtsearchsnippet"">... ثمينة زارنا صباح الامس في ادارة هذه الجريدة الشاب <b class=""highlightcolor"">لوقا</b> افندي عبد هذه الملك باش كاتب دائرة الصحة في ...</div>"
