date	pub	page_id	flags	window
1926-08-17	falastin	falastin19260817-01.1.7	FM	رين رسم الاشتراك في هذا السباق عن كل نمره عشرة قروش ، وخمسة غروش عن كل نمرة اضافية لكل فرد . وسينتهي قبول الاشتراك في ١٥ آب الجاري اما طلب الاشتراك فيقدم مرفوقا بالرسم الى سكرتير النادى الادبي وسيتخلل الحفلة انغام موسيقية و يقوم اعضاء كشافة فرقة مار لوقا الاولى في حيفا باظهار الطرق التخليص الغرقى . رسم الدخول الى مكان السبق مع حفط مقعد خصوصي خمسة غروش ورسم الدخول الى مكان السبق فقط غرشان وستعطي ادارة سكك الحديد الفلسطينية تذاكر خصوصية بأجرة مخفضة للمشتركين بهذا السبق . وقد اتصل بنا ان نادي الشبيبة ا
1926-11-05	falastin	falastin19261105-01.1.7		السبات ( غدا ) الساعة السادسة مساء ليلة الأنس الاولى لاعضاء الجمعية و يحق للعضو ان يحضر همه ذو يه او اصدقاء.. وسيعقد أيضا الاجتماع الاحدي الاعتيادي في الساعة الثامنة وربع مساء من نهار الاجد الواقع في ٧ الجاري وسيتكلم فيه سكرتير الجمعية « العام عن « لوقا الطبيب المحبوب » محاضرة في القدس جاءنا من جمعية الشبان المسيحية في القدس ان حضرة الدكتور محمود بك عزمي سيلقي محاضرة في ناديها في الساعة الثامنة والنصف من مساء الاثنين القادم الواقع في ۲۸ الجاري موضوعها ( العلاقات الاجتماعية بين الامم الشرقية » والجم
1930-05-15	falastin	falastin19300515-01.1.2	HGM	حى المبارك واكتفوا بإقامة الشعائر الدينية . الخليل المراسل) الليدي تشانسلور زارتنا يوم السبت الماضي حضرة الليدي تشانسلور عقيلة فخامة المندوب السامي وبعد ان مكثت في بناية رعاية الاطفال زهاء الخمس دقائق ذهبت لزبارة المستشفى الانكليزي المعروف باسم «مار لوقا، ومنه عادت الى القدس اما ما قام به الاهالي من رجال ونساء من امضاء مضابط بالعربية والانكليزية بطلب الغاء احكام الاعدام وتجهيز خطابات لتلقى امام حضرتها من واطفال ابنة محكوم بالاعدام لا يتجاوز منها الثانية عشر فقد ذهب كله هباء منثوراً لوقوف البوليس الا
1930-05-17	falastin	falastin19300517-01.1.2	G	تنزلوا البلاد بامان واطمئنان في المدن كان ذلك ام في القرى وفضلا عن ذلك فان في وسعكم منذ هذا اليوم ان تجروا المعاملات اللازمة لشراء ما مساحته ٥٠ الف دونم من الاراضي . ان الحكومة تبيح لكم فتح مطبعة في عمان . وليس لدينا في البلاد غير جريدة واحدة هي ( الوقائع الرسمية؟) التي تنشرها الحكومة فانشروا انم جريدة يمكنكم بها اكتساب اصدقاء الى جانبكم . ٣- لدينا كثير من المهاجرين من تركيا وجبل الدروز وسوريا و الحجاز والطلب على بيوت السكنى كبير. فيمكننا ان تمنحكم امتيازاً ببناء المنازل لموظفي الحكومة ويمكنكم ان ت
1930-05-17	falastin	falastin19300517-01.1.2	HM	لة مملكة الحجاز ونجد في مصر البلاغ التالي عن حالة الحجاج: قضى جميع الحجاج يوم عرفات واليومين الأولين في منى بكمال الراحة ، والصحة العمومية جيدة جداً ، ولم تحصل والله الجد أية حادثة بالامراض السارية » الخليل المراسلتنا) المندوب السامي يفتتح مستشفى مارلوقا في الساعة الرابعة من بعد ظهر الاثنين من هذا الاسبوع افتتح المندوب السامي مستشفى مار لوقا في هذا البلد وقسم الممرضات الجديد بحضور عدد كبير من المدعووين من القدس وعلى رأسهم المطران ماك انس ولفيف كبير من وجهاء هذا البلد والموظفين ورؤساء ورجال البوليس .
1930-05-17	falastin	falastin19300517-01.1.2	HM	مين الأولين في منى بكمال الراحة ، والصحة العمومية جيدة جداً ، ولم تحصل والله الجد أية حادثة بالامراض السارية » الخليل المراسلتنا) المندوب السامي يفتتح مستشفى مارلوقا في الساعة الرابعة من بعد ظهر الاثنين من هذا الاسبوع افتتح المندوب السامي مستشفى مار لوقا في هذا البلد وقسم الممرضات الجديد بحضور عدد كبير من المدعووين من القدس وعلى رأسهم المطران ماك انس ولفيف كبير من وجهاء هذا البلد والموظفين ورؤساء ورجال البوليس . وقد افتتحت الحفلة بعزف الانشودة الملكية وبخطاب من سيادة المطران (شرح فيه تاريخ المستشفى
1930-07-22	falastin	falastin19300722-01.1.2	FM	لباقيان من الفرار - تبدأ اعمال تحديد الحدود بين سوريا والعراق في شهر ايلول القادم صحفى بريطاني قدم فلسطين المستر جوينس توماس الصحفي البريطاني بعد أن مر ببغدادوسوريا بالرفاه والبنين يحتفل في حيفا في الساعة الخامسة بعد ظهر الغد (الاربعاء) في كنيسة مار لوقا الانجيلية بزفاف الاستاذ المحامي حنا افندي عصفور على الانسة المهذبة املي ابوفاضل فبالرفاء والبنين هر برت صموئيل يعين حاكما الهند !! روت جريدة الديلي هو الدانه يحتمل ان يسين السر هربرت صموئيل المندوب السامي الاسبق في فلسطين ، حاكما عاما : للبند بعدما
1930-07-22	falastin	falastin19300722-01.1.2	G	وادث المحزنة التي وقعت في هذا القطر ضد ارادتها وبالرغم منها والتي جر اليها .. لك الوزارة فى الازمة الدستورية القائمة حيث وقفت البلاد . وقف الدفاع عن دستورها ضد وزارة معتدية على سلطة الامة وبما أن بقاء الدستور منيع الجانب مصون الاحكام هو انجع الوسائل لوقاية البلاد من هذه الحوادث المكدرة التي تقترن دائما بقيام الحكومات المعادية للشعب فاننا لذلك حريصون كل الحرص على الدفاع عن دستورنا في دائرة حقوقنا ونأمل ان تتغلب الديموة الطبية على الحكم المطلق فنزول بذلك الاسباب التي تجر الى هذه الحوادث المشؤومة .. وا
1930-07-23	falastin	falastin19300723-01.1.2	HM	كشافة خالد ابن الوليد في المدرسة الاميركية وطلبت إدارة مدرسة الهداية الى سكرتير الكشافة ابلاغ يافا عدم رغبتها في ضم كشافتها الى كشافة بادن باول وانها ستطلب الانضمام الى الكشافة العربية في بيروت وتشكيل فرع في الخليل لهذه الكشافه الاسلامية مستشفى مار لوقا كانتي احد الذين زاروا هذا المستشفى الذي صد فراغا كبيراً في هذا البلد بان | اشكر حضرة الدكتور سعد الله افندي قسيس والممرضات الذين يقومون فيه بواجباتهم حق القيام ويخدمون المرضى خدمة شريفة قلقيلية لمراسلنا) ضحايا رو نمبرغ عدا من يضحي روتمبرغ منا بكهربا
1930-10-01	falastin	falastin19301001-01.1.4	HM	سة الثانوية فافاق واخويه وذعر الاخ الاصغر فصاح فهرب اللصوص فطاردهم السيد الياس واخوه عطا الله فاطلقوا عليهما النار فاصا بوا الثاني برصاصة جرحته جرحا بالغا الخطر منه على حياته كبير وطعنوا الاول عدية فاصا بوه بجرح بليغ ايضا فنقل الاثنان الى مستشفى مار لوقا الانكليزي حيث بادر الأطباء إلى معالجتها فقرروا ان حالتها تنذر بالخطر ومن المنتظر ان ننقلا إلى القدس . تأسف لهذا الحادث المؤلم فنحن خصوصاً وان الضحيتين ، شفاها الله ، هما من خيرة الشباب الذين عرفتهم مدينة الخليل ويضمر لهما الكل المحبة والاحترام ونرجو
