Original-Diagnosis	Primary-ICD9	Primary-ICD9-Name	Primary-Confidence	Additional-ICD9	Additional-ICD9-Name	Additional-Confidence	Frequency
Blasting Accident	959.9	Injury, other and unspecified	0.7	E921.0	Accident caused by explosion of pressure vessel	0.9	3
Car accident	959.9	Injury, other and unspecified	0.7	E819.9	Motor vehicle traffic accident of unspecified nature, unspecified person	1.0	3
Exposure	991.9	Effects of reduced temperature, unspecified	0.6	E901.9	Unspecified effect of excessive cold	0.6	3
Hysterography	V72.85	Other specified examination	0.8			2	
ChlBith N.	574.20	Calculus of gallbladder without cholecystitis, without mention of obstruction	0.9			2	
Dislocation Fingus Corp? Brach.	834.00	Dislocation of unspecified finger	0.5			2	
Contusion Scalp. Extra dural haemorrhage	852.20	Extradural hemorrhage without mention of open intracranial wound	1.0	920	Contusion of face, scalp, and neck	1.0	1
Tuberculasis Ext. Epicondyle of Rt. Tibia	015.50	Tuberculosis of knee	0.8			1	
"Cold" Grippe	487.1	Influenza with other respiratory manifestations	0.9			1	
Maine Eczema	692.9	Contact dermatitis and other eczema, unspecified cause	0.7			1	
I.B. of Elbow Lf.	726.31	Olecranon bursitis	0.4	682.3	Other cellulitis and abscess, upper arm and forearm	0.4	1
Suppurative Adenitis Bursae	683	Acute lymphadenitis	0.8	727.3	Other bursitis	0.5	1
Ulcerating J.B.	707.9	Chronic ulcer of unspecified site	0.3			1	
Lacerated wound of Lt. San S.	873.0	Open wound of scalp, without complication	0.4			1	
Plastica Post anetras	V58.42	Aftercare following surgery of skin and subcutaneous tissue	0.5			1	
Comp. Fracture of Rt. Teleia	823.10	Open fracture of shaft of tibia	0.9			1	
Impaired terminal phalanx of Rt. hand	719.53	Stiffness of joint, hand	0.6			1	
Bones of Lt. Chest						1	
Courio						1	
In observation	V71.9	Unspecified observation	1.0			1	
Tendency to R. Inguinal Hernia	550.90	Unilateral or unspecified inguinal hernia, without mention of obstruction or gangrene	0.8			1	
Haematuria R. Arm	599.70	Hematuria, unspecified	0.9			1	
Tendency to Hernia.	553.9	Unspecified hernia of abdominal cavity without mention of obstruction or gangrene	0.8			1	
Refused to stay in Hospital.	V64.2	Refused treatment	1.0			1	
Eczema fut	692.9	Contact dermatitis and other eczema, unspecified cause	0.7			1	
Strum Bladder.	239.4	Neoplasm of unspecified nature, bladder	0.3			1	
Indiscolitis	722.90	Other and unspecified disc disorder, site unspecified	0.6			1	
Fact. of foot Jaw Comp.	826.1	Open fracture of one or more tarsal and metatarsal bones	0.7	802.30	Open fracture of mandible, unspecified site	0.7	1
Demaas (operation Curettage)	634.91	Spontaneous abortion, incomplete, without mention of complication	0.6			1	
Fracture of J.S.Q. leg?	823.80	Closed fracture of unspecified part of tibia	0.7			1	
Pleuritis Tibia	511.0	Pleurisy without mention of effusion or current tuberculosis	0.8			1	
Dysentery aspects	009.2	Infectious colitis, enteritis, and gastroenteritis	0.8			1	
Refused to stay in Hospital. No chart made.	V64.2	Refused treatment	1.0			1	
Initial Regurgitation	785.2	Undiagnosed cardiac murmurs	0.6			1	
Mental Fusunche	780.09	Other alteration of consciousness	0.4			1	
Confinement Multiple H.K.	651.91	Unspecified multiple gestation, delivered	0.9			1	
Old Tract Pelvis	905.1	Late effect of fracture of spine and trunk	0.6			1	
Gangreneme Uth.	785.4	Gangrene	0.9			1	
Deranged baby condition						1	
Fall from a horse.	959.9	Injury, other and unspecified	0.7	E828.0	Fall from animal or animal-drawn vehicle	1.0	1
Ovalaria Chronic	620.8	Other noninflammatory disorders of ovary, fallopian tube, and broad ligament	0.8			1	
Buano Trunk	785.6	Enlargement of lymph nodes	0.4			1	
Pneumo Colitis	486	Pneumonia, organism unspecified	0.7	558.9	Other and unspecified noninfectious gastroenteritis and colitis	0.7	1
Child birth + Eyelids of Pregnancy.	650	Normal delivery	0.9	642.41	Mild or unspecified pre-eclampsia, delivered	0.6	1
Gas.Accident of several miles on Rt. side Lt. knee Wound of Rt.	891.1	Open wound of knee, leg [except thigh], and ankle, complicated	0.8	E819.9	Motor vehicle traffic accident of unspecified nature, unspecified person injured	0.9	1
Haemorrhoids bodies in Lt. knee.	455.6	Hemorrhoids, unspecified	0.8	718.16	Loose body in joint, lower leg	0.8	1
"Shiga" Bacillary Dysentery	004.0	Shigellosis due to Shigella dysenteriae	1.0			1	
"Shiga" Bac. Dysentry	004.0	Shigellosis due to Shigella dysenteriae	1.0			1	
Tansillictomy	474.00	Chronic tonsillitis, unspecified	0.9			1	
Eclampsia Delirium Normal	642.61	Eclampsia, delivered	1.0	780.09	Other alteration of consciousness	0.8	1
Laceration Left Elbow	881.01	Open wound of elbow, without mention of complication	1.0	E928.9	Unspecified accident	0.7	1
Duar[?] of Chest						1	
Laparotomy (Exploration)	789.00	Abdominal pain, unspecified site	0.6			1	
Infections	136.9	Unspecified infectious and parasitic diseases	0.5			1	
Foundling child nurs...	V30.00	Single liveborn, in hospital, without mention of caesarean delivery	0.7	V62.89	Other psychosocial circumstances	0.8	1
Clinically						1	
Caesarean operation	669.71	Caesarean delivery, without mention of indication, delivered	1.0			1	
Anchr? of Face	091.0	Primary syphilis	0.3			1	
Gastrophlasis	537.5	Gastroptosis	0.8			1	
Burn of back?	942.04	Burn of unspecified degree, back	0.7	E924.9	Accident caused by hot substance or object, caustic or corrosive material, and steam, of unspecified nature	0.6	1
Lousessis of the Uterus Exthermitics						1	
Spinal anaesthesia of Lancea of Rt. Tibia	730.06	Acute osteomyelitis, lower leg	0.7			1	
Suppurating Obesan Busa	727.3	Other bursitis	0.7			1	
Paget's Disease Rt. Lung	731.0	Osteitis deformans [Paget's disease of bone]	0.8			1	
M Confinement (? Papelitis)	650	Normal delivery	0.9	646.61	Infections of genitourinary tract in pregnancy, delivered	0.7	1
Pripelitis	590.10	Acute pyelonephritis without lesion of renal medullary necrosis	0.9			1	
Cystoscopy of bladder	V72.5	Radiological and other examination of genitourinary system	0.8			1	
Patho disease						1	
Metro insury insu fficiency						1	
I.D.	136.9	Unspecified infectious and parasitic diseases	0.5			1	
Contusio Colitis	558.9	Other and unspecified noninfectious gastroenteritis and colitis	0.6	922.2	Contusion of abdominal wall	0.7	1
Study gastr. Heart Condition	V71.8	Observation for other specified suspected conditions	0.8			1	
Pregnancy S.Q.	V22.1	Supervision of other normal pregnancy	0.9			1	
Otitis media Lt. middle finger	382.9	Unspecified otitis media	0.9	729.5	Pain in limb	0.4	1
Gastropelosis S.Q.	537.5	Gastroptosis	0.8			1	
Fract of Lt. Asco						1	
Comp. fract. of Ing. bone	808.1	Fracture of pubis, open	0.8			1	
