Notebook_Number	Page_Number	canvas_index	canvas_label	width	height	image_service	viewer_url
1	1	0	line_1_1930_001_d	10955	8036	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDFfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjEwOTU1IiwiaGVpZ2h0IjoiODAzNiIsIndtS2V5IjpudWxsLCJ3bVdpZHRoIjpudWxsLCJ3bUhlaWdodCI6bnVsbCwid21Qb3NpdGlvbiI6bnVsbCwid21SZXBlYXQiOmZhbHNlLCJuYTkxIjpudWxsfQ%3D%3D	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	2	1	line_1_1930_002_d	11092	8070	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDJfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjExMDkyIiwiaGVpZ2h0IjoiODA3MCIsIndtS2V5IjpudWxsLCJ3bVdpZHRoIjpudWxsLCJ3bUhlaWdodCI6bnVsbCwid21Qb3NpdGlvbiI6bnVsbCwid21SZXBlYXQiOmZhbHNlLCJuYTkxIjpudWxsfQ%3D%3D	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	3	2	line_1_1930_003_d	11039	8163	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDNfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjExMDM5IiwiaGVpZ2h0IjoiODE2MyIsIndtS2V5IjpudWxsLCJ3bVdpZHRoIjpudWxsLCJ3bUhlaWdodCI6bnVsbCwid21Qb3NpdGlvbiI6bnVsbCwid21SZXBlYXQiOmZhbHNlLCJuYTkxIjpudWxsfQ%3D%3D	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	4	3	line_1_1930_004_d	11010	8179	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDRfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjExMDEwIiwiaGVpZ2h0IjoiODE3OSIsIndtS2V5IjpudWxsLCJ3bVdpZHRoIjpudWxsLCJ3bUhlaWdodCI6bnVsbCwid21Qb3NpdGlvbiI6bnVsbCwid21SZXBlYXQiOmZhbHNlLCJuYTkxIjpudWxsfQ%3D%3D	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	5	4	line_1_1930_005_d	11009	8179	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDVfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjExMDA5IiwiaGVpZ2h0IjoiODE3OSIsIndtS2V5IjpudWxsLCJ3bVdpZHRoIjpudWxsLCJ3bUhlaWdodCI6bnVsbCwid21Qb3NpdGlvbiI6bnVsbCwid21SZXBlYXQiOmZhbHNlLCJuYTkxIjpudWxsfQ%3D%3D	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	6	5	line_1_1930_006_d	11072	8172	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDZfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjExMDcyIiwiaGVpZ2h0IjoiODE3MiIsIndtS2V5IjpudWxsLCJ3bVdpZHRoIjpudWxsLCJ3bUhlaWdodCI6bnVsbCwid21Qb3NpdGlvbiI6bnVsbCwid21SZXBlYXQiOmZhbHNlLCJuYTkxIjpudWxsfQ%3D%3D	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	7	6	line_1_1930_007_d	11093	8163	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDdfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjExMDkzIiwiaGVpZ2h0IjoiODE2MyIsIndtS2V5IjpudWxsLCJ3bVdpZHRoIjpudWxsLCJ3bUhlaWdodCI6bnVsbCwid21Qb3NpdGlvbiI6bnVsbCwid21SZXBlYXQiOmZhbHNlLCJuYTkxIjpudWxsfQ%3D%3D	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	8	7	line_1_1930_008_d	9317	6819	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDhfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjkzMTciLCJoZWlnaHQiOiI2ODE5Iiwid21LZXkiOm51bGwsIndtV2lkdGgiOm51bGwsIndtSGVpZ2h0IjpudWxsLCJ3bVBvc2l0aW9uIjpudWxsLCJ3bVJlcGVhdCI6ZmFsc2UsIm5hOTEiOm51bGx9	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	9	8	line_1_1930_009_d	9062	6807	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMDlfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjkwNjIiLCJoZWlnaHQiOiI2ODA3Iiwid21LZXkiOm51bGwsIndtV2lkdGgiOm51bGwsIndtSGVpZ2h0IjpudWxsLCJ3bVBvc2l0aW9uIjpudWxsLCJ3bVJlcGVhdCI6ZmFsc2UsIm5hOTEiOm51bGx9	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
1	10	9	line_1_1930_010_d	9106	6821	https://eu-img02.ext.exlibrisgroup.com/iiif/2/eyJyZWdpb24iOiJldS1jZW50cmFsLTEiLCJidWNrZXQiOiJldS1zdDAxLmV4dC5leGxpYnJpc2dyb3VwLmNvbSIsImtleSI6Ijk3MkhBSV9NQUlOL3N0b3JhZ2UvYWxtYS8zNS9FMC9GQy9EMC9DOS9BMS8xRi9CQi80Ny9ENi9DRS85Qy81MC9GNS9GNi8xMC9saW5lXzFfMTkzMF8wMTBfZC5qcGciLCJyZXBfaWQiOiIxMjMwOTYwMTI4MDAwMjc5MSIsImluc3RhbmNlIjoiZXUwMSIsImluc3RpdHV0aW9uIjoiOTcySEFJX01BSU4iLCJ3aWR0aCI6IjkxMDYiLCJoZWlnaHQiOiI2ODIxIiwid21LZXkiOm51bGwsIndtV2lkdGgiOm51bGwsIndtSGVpZ2h0IjpudWxsLCJ3bVBvc2l0aW9uIjpudWxsLCJ3bVJlcGVhdCI6ZmFsc2UsIm5hOTEiOm51bGx9	https://haifa.userservices.exlibrisgroup.com/view/BookReaderViewer/972HAI_MAIN/12309601280002791
