kind	column	from	to	records
merged	standardized Religion	Moslem	Muslim	1194
merged	Class standard	3rd	3	1194
merged	Class standard	2nd	2	504
merged	standardized ward	Infectious	Infectious Diseases	111
merged	StandardNationality	Poland	Polish	57
merged	standardized ward	Isolation|Infectious Section	Isolation | Infectious Diseases	52
merged	standardized ward	Infectious Diseases Section	Infectious Diseases	51
merged	standardized ward	Infectious Section	Infectious Diseases	44
merged	Class standard	1st	1	33
merged	standardized ward	Isolation|Infectious	Isolation | Infectious Diseases	29
merged	standardized ward	Isolation|Infectious Diseases	Isolation | Infectious Diseases	20
merged	StandardNationality	Cheko	Czechoslovakian	18
merged	StandardNationality	Palestinian | Palestinian	Palestinian	13
merged	StandardNationality	Palst.	Palestinian	10
merged	standardized Religion	Muh.	Muslim	10
merged	Sex	male	Male	8
merged	StandardNationality	Syria	Syrian	8
merged	StandardNationality	Brit.	British	6
merged	standardized ward	British Section|Infectious	British Section | Infectious Diseases	5
merged	standardized ward	Medical/British Section	Medical | British Section	5
merged	StandardNationality	Pales.	Palestinian	5
merged	StandardNationality	Palent.	Palestinian	4
merged	Class standard	3rd class	3	4
merged	standardized ward	Medical|Infectious	Medical | Infectious Diseases	3
merged	StandardNationality	Palestinian-Syrian	Palestinian Syrian	3
merged	StandardNationality	Pale.	Palestinian	3
merged	StandardNationality	"Palest. ""R"""	Palestinian	3
merged	standardized ward	Surgical/British Section	Surgical | British Section	2
merged	standardized ward	Mat	Maternity	2
merged	standardized ward	Maternity/British Section	Maternity | British Section	2
merged	StandardNationality	Palestinian T.J.	Palestinian Transjordanian	2
merged	StandardNationality	T.J.	Transjordanian	2
merged	StandardNationality	Palest. Transj.	Palestinian Transjordanian	2
merged	StandardNationality	Lebanon	Lebanese	2
merged	StandardNationality	Czech	Czechoslovakian	2
merged	StandardNationality	Transjordan	Transjordanian	2
merged	StandardNationality	"Palest. ""es"""	Palestinian	2
merged	standardized ward	Infectious | Infectious Diseases Section	Infectious Diseases	1
merged	standardized ward	Venereal Diseases|Infectious	Venereal Diseases | Infectious Diseases	1
merged	StandardNationality	Greece	Greek	1
merged	StandardNationality	Palestinian | Transjordanian	Palestinian Transjordanian	1
merged	StandardNationality	Syrian / Egyptian	Syrian Egyptian	1
merged	StandardNationality	Latevian	Latvian	1
merged	StandardNationality	Palestinian (T. Jordan)	Palestinian Transjordanian	1
merged	standardized ward	Mat.	Maternity	1
merged	StandardNationality	Palestinian / Lebanese	Palestinian Lebanese	1
merged	standardized ward	Medical|Maternity	Medical | Maternity	1
merged	Class standard	2nd class	2	1
merged	StandardNationality	Leban.	Lebanese	1
merged	Class standard	II	2	1
