city,name1,name2,n_records,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
Athlit,Athlit,,1021,name_exact,name_exact,A_autolink,0.95,True,,16036,Atlit (Israel),עתלית (ישראל),,16036
Afula,Afula,,53,name_exact,name_exact,A_autolink,0.95,True,,18417,Afula (Israel),עפולה (ישראל),,18417
Jaffa,Jaffa,,44,name_exact,name_exact,A_autolink,0.95,True,,629,"Jaffa (Tel Aviv-Yafo, Israel)","יפו (תל אביב-יפו, ישראל)",,629
Tel Aviv,Tel Aviv,,30,name_exact,name_exact,A_autolink,0.95,True,,15820,Tel Aviv (Israel : District),תל אביב (ישראל : מחוז),,15820
Karkur,Karkur,,28,name_exact,name_exact,A_autolink,0.95,True,,19149,Karkur (Israel),כרכור (ישראל),,19149
Bat Galim,Bat Galim,,27,name_exact,name_exact,A_autolink,0.95,True,,21063,"Bat Galim (Haifa, Israel)","בת גלים (חיפה, ישראל)",,21063
Safad,Safad,,27,name_exact,name_exact,A_autolink,0.95,True,,377,Tsefat (Israel),צפת (ישראל),,377
Herzlia,Herzlia,,26,name_exact,name_exact,A_autolink,0.95,True,,700,Herzeliyya (Israel),הרצליה (ישראל),,700
Nazareth,Nazareth,,23,name_exact,name_exact,A_autolink,0.95,True,,18,Nazareth (Israel),נצרת (ישראל),,18
Yavniel,Yavniel,,15,name_exact,name_exact,A_autolink,0.95,True,,18477,Yavne'el (Israel),יבנאל (ישראל),,18477
Bethania,Bethania,,13,name_exact,name_exact,A_autolink,0.95,True,,6871,Beuthen (Germany),בויטן (גרמניה),,6871
Ein Harod,Ein Harod,,11,name_exact,name_exact,A_autolink,0.95,True,,12370,En Harod (Israel),עין חרוד (ישראל),,12370
Yokneam,Yokneam,,10,name_exact,name_exact,A_autolink,0.95,True,,18301,Yokne'am (Israel),יקנעם (מושבה) (ישראל),,18301
Ahuza,Ahuza,,8,name_exact,name_exact,A_autolink,0.95,True,,21015,"Ahuza (Haifa, Israel)","אחוזה (חיפה, ישראל)",,21015
Nahariya,Nahariya,,7,name_exact,name_exact,A_autolink,0.95,True,,39,Nahariyya (Israel),נהריה (ישראל),,39
Rosh Pina,Rosh Pina,,6,name_exact,name_exact,A_autolink,0.95,True,,14873,Rosh Pina (Israel),ראש פינה (ישראל),,14873
Kiryat Haroshet,Kiryat Haroshet,,6,name_exact,name_exact,A_autolink,0.95,True,,21920,Kiryat Haroshet (Israel),קרית חרושת (ישראל),,21920
Waldheim,Waldheim,,6,name_exact,name_exact,A_autolink,0.95,True,,19561,"Waldheim (Saxony, Germany)","וולדהיים (סקסוניה, גרמניה)",,19561
Mount Carmel,Mount Carmel,,5,name_exact,name_exact,A_autolink,0.95,True,,1156,"Karmel, Mount (Israel)",הר הכרמל (ישראל),,1156
Mishmar HaEmek,Mishmar HaEmek,,5,name_exact,name_exact,A_autolink,0.95,True,,214,Mishmar Ha'emek (Israel),משמר העמק (ישראל),,214
Zammarin,Zammarin,,5,name_exact,name_exact,A_autolink,0.95,True,,8254,Zikhron Ya'akov (Israel),זכרון יעקב (ישראל),,8254
Kfar Tabor,Kfar Tabor,,5,name_exact,name_exact,A_autolink,0.95,True,,1666,Kefar Tavor (Israel),כפר תבור (ישראל),,1666
Nathanya,Nathanya,,5,name_exact,name_exact,A_autolink,0.95,True,,24,Netanya (Israel),נתניה (ישראל),,24
Gan Shmuel,Gan Shmuel,,4,name_exact,name_exact,A_autolink,0.95,True,,904,Gan Shemu'el (Israel),גן שמואל (ישראל),,904
Rishon LeZion,Rishon LeZion,,4,name_exact,name_exact,A_autolink,0.95,True,,493,Rishon Letsiyon (Israel),ראשון לציון (ישראל),,493
Degania,Degania,,4,name_exact,name_exact,A_autolink,0.95,True,,892,Deganya Alef (Israel),דגניה א' (ישראל),,892
Samakh,Samakh,,3,name_exact,name_exact,A_autolink,0.95,True,,16228,Tsemah (Israel),צמח (ישראל),,16228
Yavne'el,Yavne'el,,3,name_exact,name_exact,A_autolink,0.95,True,,18477,Yavne'el (Israel),יבנאל (ישראל),,18477
Tel Yosef,Tel Yosef,,3,name_exact,name_exact,A_autolink,0.95,True,,186,Tel-Yosef (Israel),תל יוסף (ישראל),,186
