city	n_records	status	conf	cand_id	cand_name	cand_qid	cand_desc	in_region
Haifa	1999	name_ambiguous	0.5	791	Haifa (Israel)	Q41621	city in Israel	yes
Haifa	1999	name_ambiguous	0.5	15834	Haifa (Israel : District)			yes
Hadera	267	fuzzy	1.0	858	Hadera (Israel)	Q471886	city in Israel	yes
Hadera	267	fuzzy	1.0	27009	Kefar Hadar (Hod Hasharon, Israel)			yes
Hadera	267	fuzzy	1.0	13633	Ḥaydarah (Tunisia)	Q2358652		NO
Hadera	267	fuzzy	1.0	83919	Hydra (Greece)	Q3791883	NULL	NO
Hadera	267	fuzzy	1.0	13804	Ḥaḍr (Iraq)	Q466614		NO
Tiberias	142	fuzzy	1.0	807	Tiberias (Israel)	Q151920	city in northeast Israel	yes
Tiberias	142	fuzzy	1.0	7437	Tabrīz (Iran)	Q80053		NO
Tiberias	142	fuzzy	1.0	17277	Iberia (Kingdom)			NO
Tiberias	142	fuzzy	1.0	5277	Iberian Peninsula	Q12837		NO
Acre	90	name_ambiguous	0.5	6678	Akrai (Extinct city)			NO
Acre	90	name_ambiguous	0.5	9635	Acre (Brazil)	Q40780		NO
Hadar Hacarmel	88	fuzzy	0.667	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079		yes
Kiryat Haim	82	fuzzy	0.62	476	Kiryat Ono (Israel)	Q152501	city in Israel	yes
Kiryat Haim	82	fuzzy	0.62	480	Kiryat Yam (Israel)	Q152387	city	yes
Zichron Yaakov	41	fuzzy	0.6	8254	Zikhron Ya'akov (Israel)	Q198399		yes
Kiryat Bialik	41	fuzzy	1.0	866	Kiryat Bialik (Israel)	Q152374	city	yes
Kiryat Bialik	41	fuzzy	1.0	82858	Kiryat Bialik Region (Israel)	NULL	NULL	?
Yajour	35	no_match	0.0					
Affikim	31	fuzzy	0.62	554	Afikim (Israel)	Q383280	human settlement	yes
Tel Aviv	30	name_exact	0.95	15820	Tel Aviv (Israel : District)			?
Benyamina	27	fuzzy	1.0	21551	Binyamina (Israel)	Q863886		yes
Tel Amal	27	no_match	0.0					
Pardess Hanna	25	no_match	0.0					
Kiryat Motzkin	25	fuzzy	1.0	481	Kiryat Motzkin (Israel)	Q152567	city in the Haifa District of Israel, 8 kilometres (5 miles)	yes
Kiryat Motzkin	25	fuzzy	1.0	77346	Kiryat Motzkin Region (Israel)	NULL	NULL	?
Nahalal	24	fuzzy	1.0	38	Nahalal (Israel)	Q1724338	human settlement	yes
Nahalal	24	fuzzy	1.0	72113	Nahali'el (West Bank)	Q2777433	NULL	yes
Nahalal	24	fuzzy	1.0	22919	Nahali'el (Hadera, Israel)	Q6634770		yes
Nahalal	24	fuzzy	1.0	23061	Nahala (Israel)			yes
Jerusalem	22	name_ambiguous	0.5	13560	Jerusalem (Sancak)	Q111169764		yes
Jerusalem	22	name_ambiguous	0.5	21725	Jerusalem (Israel : East)	Q212938		yes
Jerusalem	22	name_ambiguous	0.5	23674	Jerusalem (Latin Kingdom)			?
Kfar Vitkin	20	fuzzy	1.0	825	Kefar Vitkin (Israel)	Q2495402	מושב בישראל	yes
Kfar Vitkin	20	fuzzy	1.0	84431	Kfar Vitkin Region (Israel)	NULL	NULL	?
Tulkarem	16	fuzzy	1.0	73472	Tulkarem (West Bank)	Q985531	NULL	yes
Tulkarem	16	fuzzy	1.0	81810	Tulkarem (Sub-District) (West Bank)	Q5283479	NULL	yes
Zichron Jacob	15	fuzzy	0.62	8254	Zikhron Ya'akov (Israel)	Q198399		yes
Ardel Yahud	14	no_match	0.0					
Bethania	13	name_exact	0.95	6871	Beuthen (Germany)			?
Kfar Ata	11	fuzzy	1.0	477	Kiryat Ata (Israel)	Q152602	city	yes
Kfar Ata	11	fuzzy	1.0	78926	Kufairit (West Bank)	Q6441897	NULL	yes
Kfar Ata	11	fuzzy	1.0	81712	Kufeirit (West Bank)	Q28747853	NULL	yes
Nesher	10	fuzzy	1.0	20	Nesher (Israel)	Q135432	Town in Israel	yes
Nesher	10	fuzzy	1.0	87833	Esher (England)	Q637482	NULL	NO
Nesher	10	fuzzy	1.0	885	Gesher (Israel)	Q955960	Archaeological site in Israel	yes
Kibutz Affikim	10	fuzzy	0.6	554	Afikim (Israel)	Q383280	human settlement	yes
Ain Harod	8	fuzzy	1.0	65	En Harod Ihud (Israel)	Q2777524		yes
Ain Harod	8	fuzzy	1.0	66	En Harod Me'uhad (Israel)	Q2889233		yes
Ain Harod	8	fuzzy	1.0	12370	En Harod (Israel)	Q1339887		yes
Kfar Hassidim	8	fuzzy	1.0	830	Kefar Hasidim (Israel)	Q135425	moshav	yes
Kfar Hassidim	8	fuzzy	1.0	23042	Kefar Hasidim Bet (Israel)	Q135423		yes
Kfar Hassidim	8	fuzzy	1.0	24291	Kefar Hasidim Region (Israel)			?
Dejania	8	no_match	0.0					
Neveh Shaanan	7	fuzzy	1.0	22339	Neve Sha'anan (Tel Aviv-Yafo, Israel)	Q2907012		yes
Neveh Shaanan	7	fuzzy	1.0	21469	Neve Sha'anan (Jerusalem, Israel)			yes
Neveh Shaanan	7	fuzzy	1.0	21497	Neve Sha'anan (Haifa, Israel)	Q2919842		yes
Kineret	7	fuzzy	1.0	21918	Kinnerot Region (Israel)			?
Kineret	7	fuzzy	1.0	22403	Kunreuth (Germany)			NO
Kineret	7	fuzzy	1.0	2268	Kinneret, Lake (Israel)	Q126982		yes
Kineret	7	fuzzy	1.0	5152	Kinneret, Lake, Watershed (Israel)			?
Kineret	7	fuzzy	1.0	1669	Kinneret (Kevutsa) (Israel)	Q2296107		yes
Emek	6	no_match	0.0					
Netanya	6	fuzzy	1.0	24	Netanya (Israel)	Q192225	city in Israel	yes
Netanya	6	fuzzy	1.0	16157	Betanyah (Israel)			yes
Benjamina	6	no_match	0.0					
Kinereth	6	fuzzy	1.0	22403	Kunreuth (Germany)			NO
Kinereth	6	fuzzy	1.0	21918	Kinnerot Region (Israel)			?
Kinereth	6	fuzzy	1.0	5152	Kinneret, Lake, Watershed (Israel)			?
Kinereth	6	fuzzy	1.0	1669	Kinneret (Kevutsa) (Israel)	Q2296107		yes
Kinereth	6	fuzzy	1.0	1670	Kinneret (Moshava) (Israel)	Q2891213		yes
Haifa|Hadar Hacarmel	6	name_ambiguous	0.5	791	Haifa (Israel)	Q41621	city in Israel	yes
Haifa|Hadar Hacarmel	6	name_ambiguous	0.5	15834	Haifa (Israel : District)			yes
Kinneret	6	name_ambiguous	0.5	1669	Kinneret (Kevutsa) (Israel)	Q2296107		yes
Kinneret	6	name_ambiguous	0.5	1670	Kinneret (Moshava) (Israel)	Q2891213		yes
Kinneret	6	name_ambiguous	0.5	2268	Kinneret, Lake (Israel)	Q126982		yes
Kinneret	6	name_ambiguous	0.5	21917	Kinneret ( Moaza ezorit : Israel)			?
Kinneret	6	name_ambiguous	0.5	25484	Kinneret (Moshava) Region (Israel)			yes
Kfar Atta	6	fuzzy	0.667	78926	Kufairit (West Bank)	Q6441897	NULL	yes
Kfar Atta	6	fuzzy	0.667	81712	Kufeirit (West Bank)	Q28747853	NULL	yes
Kfar Atta	6	fuzzy	0.667	477	Kiryat Ata (Israel)	Q152602	city	yes
Waldheim	6	name_exact	0.95	19561	Waldheim (Saxony, Germany)	Q33513107		NO
Akka	5	name_ambiguous	0.5	71	Acre (Israel)	Q126084	city in Palestine	yes
Akka	5	name_ambiguous	0.5	23975	Akka (Morocco)	Q2626422		NO
Kibutz	5	no_match	0.0					
Nathania	5	fuzzy	1.0	24	Netanya (Israel)	Q192225	city in Israel	yes
Zikhron Yacov	5	fuzzy	1.0	8254	Zikhron Ya'akov (Israel)	Q198399		yes
Zikhron Yacov	5	fuzzy	1.0	71774	Zikhron Yosef (Jerusalem, Israel)	Q8071863	NULL	yes
Bassa	5	fuzzy	1.0	4981	Bassai (Extinct city)			NO
Bassa	5	fuzzy	1.0	72377	Bissau (Guinea-Bissau)	Q3739	NULL	NO
Bassa	5	fuzzy	1.0	86754	Bassar (Togo : Region)	Q810474	NULL	NO
Bassa	5	fuzzy	1.0	21539	Bassah (Israel)			?
Bassa	5	fuzzy	1.0	6149	Bassano del Grappa (Italy)	Q47094		NO
Had. Hac	4	no_match	0.0					
Migdal	4	name_ambiguous	0.5	6904	Migdal (Israel)	Q2916182		yes
Migdal	4	name_ambiguous	0.5	21101	Migdal (Ashkelon, Israel)			?
Mt. Carmel	4	no_match	0.0					
Wadi el Hawareth	4	no_match	0.0					
Sdedera	4	no_match	0.0					
Gedera	4	fuzzy	1.0	341	Gedera (Israel)	Q921505		yes
Gedera	4	fuzzy	1.0	9525	Germany (East)	Q16957		NO
Gedera	4	fuzzy	1.0	17591	Umm Qays (Jordan)	Q131955		yes
Gedera	4	fuzzy	1.0	72523	Gádor (Spain)	Q940842	NULL	NO
Gedera	4	fuzzy	1.0	858	Hadera (Israel)	Q471886	city in Israel	yes
Is	4	no_match	0.0					
Tabor Street	4	fuzzy	0.62	1117	Dover, Strait of	Q159898		NO
Kishon	4	fuzzy	1.0	14899	Kāshān (Iran)	Q209005		NO
Kishon	4	fuzzy	1.0	399	Chișinău (Moldova)	Q21197	capital of Moldova	NO
Kishon	4	fuzzy	1.0	23060	Kishor (Israel)	Q2890284		yes
