city	n_records	grade	method	confidence	kima_id	kima_name_rom	kima_lat	kima_lon	geo_audit	religion_mix	proposed_decision	your_decision	your_kima_id	note	candidates
Tarshiha	74	A_autolink	name_exact	0.95	21809	Tarshiḥa (Israel)			entry-has-no-coordinate	Muslim 52, Christian 21, Not recorded 1					21809
Arara	70	A_autolink	name_exact	0.95	20918	Ar'ara (Israel)	32.49456	35.09411	in-region	Muslim 69, Not recorded 1	matched				20918
Yarka	40	A_autolink	name_exact	0.95	18267	Yirka (Israel)	32.93333	35.18333	in-region	Not recorded 34, Muslim 5, Druze 1	matched				18267
Ein Ghazal	38	A_autolink	name_exact	0.95	21329	Ein Ghazal (Israel)	32.63194	34.96736	in-region	Muslim 37, Not recorded 1	matched				21329
Mughar	35	A_autolink	name_exact	0.95	21974	Mughar (Israel)	32.89000	35.40833	in-region	Christian 17, Muslim 9, Not recorded 8	matched				21974
Wadi Salib	34	A_autolink	name_exact	0.95	19522	Wadi Salib (Haifa, Israel)	32.81110	35.00000	in-region	Muslim 33, Christian 1	matched				19522
Gaza	29	A_autolink	name_exact	0.95	12982	Gaza (Gaza Strip)	31.51667	34.45000	in-region	Muslim 25, Christian 4	matched				12982
Tamra	28	A_autolink	name_exact	0.95	20270	Tamra (Israel)	32.85115	35.20711	in-region	Muslim 28	matched				20270
Deir Hanna	19	A_autolink	name_exact	0.95	21739	Dair Hanna (Israel)	32.86241	35.37117	in-region	Muslim 15, Christian 4	matched				21739
Fassuta	14	A_autolink	name_exact	0.95	21519	Fassuta (Israel)	33.04944	35.30583	in-region	Christian 13, Muslim 1	matched				21519
Kafr Kanna	13	A_autolink	name_exact	0.95	20496	Kafr Kanna (Israel)	32.75000	35.35000	in-region	Muslim 10, Christian 3	matched				20496
Mt. Carmel|Mount Carmel	11	A_autolink	name_exact	0.95	1156	Karmel, Mount (Israel)	32.67250	35.02333	in-region	Muslim 6, Christian 5	matched				1156
Ararah	11	A_autolink	name_exact	0.95	20918	Ar'ara (Israel)	32.49456	35.09411	in-region	Muslim 11	matched				20918
